@relation 'ALLModels-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,3-weka.filters.unsupervised.attribute.Remove-R1-9,39-40,42-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-22,24-29'

@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #Severity {0,1,2,3}

@data
0.958776,0
0.957746,0
0.6606,0
0.998576,0
0.94873,0
0.503436,0
0.906006,0
0.920725,0
0.990504,0
0.995255,0
0.821519,0
0.938284,0
0.994777,0
0.987183,0
0.904585,0
0.779734,0
0.934957,0
0.573124,0
0.987208,0
0.868514,0
0.905535,0
0.964867,0
0.999527,0
0.950632,0
0.826721,0
0.412406,0
0.897943,0
0.958226,0
0.957754,0
0.780772,0
0.931638,0
0.602833,0
0.40081,0
0.906473,0
0.876098,0
0.914092,0
0.944961,0
0.969614,0
0.986707,0
0.927835,0
0.994777,0
0.930204,0
0.981492,0
0.973889,0
0.941133,0
0.934963,0
0.814398,0
0.977211,0
0.953001,0
0.988132,0
0.714396,0
0.82104,0
0.954899,0
0.99098,0
0.7574,0
0.996682,0
0.997632,0
0.792546,0
0.970565,0
0.655782,0
0.946355,0
0.937336,0
0.979602,0
0.930725,0
0.957751,0
0.930222,0
0.940182,0
0.93593,0
0.975319,0
0.997151,0
0.984332,0
0.915032,0
0.998102,0
0.992403,0
0.019969,0
0.850471,0
0.934483,0
0.964394,0
0.974363,0
0.984333,0
0.95064,0
0.927922,0
0.981484,0
0.971992,0
0.998587,0
0.92215,0
0.999525,0
0.988604,0
0.730912,0
0.953958,0
0.984809,0
0.955853,0
0.977688,0
0.956331,0
0.958228,0
0.968189,0
0.869905,0
0.984532,0
0.996676,0
0.707079,0
0.999529,0
0.988606,0
0.947312,0
