@relation 'ALLModels-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,3-weka.filters.unsupervised.attribute.Remove-R1-9,39-40,42-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-9,11-29'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Severity {0,1,2,3}

@data
0.696816,0
0.97304,0
0.952832,0
0.993252,0
0.979777,0
0.467767,0
0.952829,0
0.993252,0
0.993252,0
0.97304,0
0.993254,0
0.97304,0
0.999989,0
0.993259,0
0.986519,0
0.966305,0
0.986515,0
0.95284,0
0.946098,0
0.979777,0
0.986519,0
0.999989,0
0.993252,0
0.993252,0
0.952829,0
0.966312,0
0.952829,0
0.979778,0
0.97304,0
0.97978,0
0.979778,0
0.973041,0
0.993252,0
0.952829,0
0.952829,0
0.993256,0
0.952829,0
0.999989,0
0.999989,0
0.97304,0
0.999989,0
0.979777,0
0.919143,0
0.999989,0
0.999989,0
0.979778,0
0.952829,0
0.979777,0
0.979777,0
0.986515,0
0.575551,0
0.993252,0
0.97304,0
0.999989,0
0.979777,0
0.993252,0
0.986515,0
0.986518,0
0.966303,0
0.973045,0
0.993252,0
1,0
0.999989,0
0.865246,0
0.999989,0
0.993263,0
0.993252,0
0.993252,0
0.966306,0
0.993252,0
0.999989,0
0.993252,0
0.993252,0
0.986515,0
0.999989,0
0.97304,0
0.999989,0
0.979778,0
0.999989,0
1,0
0.946101,0
-1,0
0.986515,0
0.993252,0
0.97304,0
0.993252,0
0.993252,0
0.999989,0
0.979787,0
0.919143,0
0.97304,0
0.999999,0
0.959566,0
0.912406,0
0.979778,0
0.993252,0
0.986515,0
0.245425,0
0.999989,0
0.979778,0
0.999989,0
0.986515,0
0.979777,0
0.986515,0
0.986515,0
0.993252,0
0.993252,0
0.966304,0
0.999989,0
0.979778,0
0.993252,0
0.993252,0
0.993252,0
0.986515,0
0.993263,0
0.999989,0
0.993252,0
0.973043,0
0.993252,0
0.993252,0
0.993252,0
0.999989,0
0.973041,0
0.966303,0
0.999989,0
0.993252,0
0.999989,0
0.999989,0
0.979778,0
0.986515,0
0.993261,0
0.993252,0
0.979783,0
0.999999,0
0.999989,0
0.986515,0
0.986515,0
0.999989,0
0.999989,0
0.87872,0
0.979777,0
0.986515,0
1,0
0.845034,0
0.986515,0
0.986515,0
0.993252,0
0.973043,0
0.993252,0
0.986519,0
0.95283,0
0.993252,0
0.993252,0
0.939354,0
0.979787,0
0.973048,0
0.999989,0
0.999989,0
0.979778,0
0.999989,0
0.97304,0
0.993252,0
0.979778,0
0.999989,0
0.97304,0
0.986515,0
0.986515,0
0.932617,0
0.993252,0
0.993252,0
0.986515,0
0.993252,0
0.999989,0
0.993252,0
0.993252,0
0.966306,0
0.986515,0
0.973041,0
0.993252,0
0.999989,0
1,0
0.898934,0
0.993252,0
0.959566,0
0.999989,0
0.979777,0
0.939355,0
0.973041,3
0.966307,3
0.999989,3
0.973041,3
0.979777,3
0.999989,3
0.999989,3
0.993252,3
0.999989,3
0.973043,3
0.966303,3
0.912417,0
0.966303,0
0.973043,2
0.979788,2
0.979783,2
0.858508,2
0.979777,2
0.946102,2
0.831572,2
0.979777,3
0.979779,3
0.999989,3
0.973046,3
0.999989,3
0.97304,3
0.986515,3
0.973049,3
0.97304,3
0.999989,3
0.979782,3
0.993252,3
0.97304,3
0.986515,3
0.979778,3
0.986522,3
0.831569,3
0.973043,3
0.784412,3
0.838297,3
0.946092,3
0.979783,3
1,0
0.912406,0
0.973044,0
0.986515,0
0.979778,2
0.979787,2
0.993252,2
