@relation 'ALLModels-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,3-weka.filters.unsupervised.attribute.Remove-R1-9,39-40,42-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-27,29'

@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute #Severity {0,1,2,3}

@data
-0.918841,0
-0.916996,0
-0.382869,0
-0.997173,0
-0.899503,0
-0.13491,0
-0.817735,0
-0.845696,0
-0.981194,0
-0.990585,0
-0.661312,0
-0.879349,0
-0.989646,0
-0.974633,0
-0.81504,0
-0.58658,0
-0.872959,0
-0.241675,0
-0.974633,0
-0.747442,0
-0.816836,0
-0.930862,0
-0.999058,0
-0.903178,0
-0.670776,0
-0.003354,0
-0.802491,0
-0.917917,0
-0.916994,0
-0.588256,0
-0.86658,0
-0.288904,0
0.012598,0
-0.818634,0
-0.761568,0
-0.833041,0
-0.892161,0
-0.940134,0
-0.973696,0
-0.859303,0
-0.989646,0
-0.86385,0
-0.96341,0
-0.948497,0
-0.884835,0
-0.872959,0
-0.648452,0
-0.955015,0
-0.907779,0
-0.976506,0
-0.472847,0
-0.660453,0
-0.911462,0
-0.982132,0
-0.547371,0
-0.993407,0
-0.99529,0
-0.609326,0
-0.94199,0
-0.375046,0
-0.894913,0
-0.877522,0
-0.959677,0
-0.864759,0
-0.916995,0
-0.863848,0
-0.883005,0
-0.874782,0
-0.951289,0
-0.994349,0
-0.969018,0
-0.834846,0
-0.996231,0
-0.984948,0
0.47229,0
-0.714125,0
-0.872047,0
-0.929935,0
-0.949427,0
-0.969017,0
-0.903178,0
-0.858393,0
-0.96341,0
-0.944777,0
-0.997173,0
-0.848413,0
-0.999058,0
-0.977444,0
-0.501291,0
-0.90962,0
-0.969953,0
-0.913305,0
-0.955947,0
-0.914228,0
-0.917918,0
-0.93735,0
-0.750089,0
-0.969018,0
-0.993408,0
-0.460742,0
-0.999058,0
-0.977443,0
-0.896748,0
-0.994348,0
-0.849319,0
-0.999058,0
-0.918841,0
-0.66733,0
-0.993408,0
-0.637348,0
-0.86112,0
-0.999058,0
-0.999058,0
-0.999058,0
-0.820431,0
-0.959677,0
-0.903178,0
-0.922535,0
-0.957811,0
-0.855669,0
-0.740403,0
-0.98213,0
-0.74304,0
-0.98307,0
-0.999058,0
-0.900421,0
-0.934567,0
-0.97276,0
-0.819533,0
-0.935494,0
-0.846601,0
-0.997173,0
0.44781,0
-0.859302,0
-0.996232,0
-0.933641,0
-0.934567,0
-0.969017,0
-0.97276,0
-0.949427,0
-0.969953,0
-0.911462,0
-0.938277,0
-0.970888,0
-0.92901,0
-0.77131,0
-0.971824,0
-0.951289,0
-0.998115,0
-0.5226,0
-0.965278,0
-0.750088,0
-0.90134,0
-0.979318,0
1,0
-0.865668,0
-0.828532,0
-0.981194,0
-0.962476,0
-0.97838,0
-0.419153,0
-0.998115,0
-0.897666,0
-0.97838,0
-0.553175,0
-0.924385,0
-0.9087,0
-0.72024,0
-0.899503,0
-0.844791,0
-0.981194,0
-0.999058,0
-1,0
-0.996231,0
-0.996231,0
-0.951289,0
-0.917918,0
-0.956878,0
-0.86658,0
-0.984948,0
-0.860211,0
-0.834845,0
-0.986825,0
-0.981194,0
-0.898585,0
-0.110206,0
-0.896748,0
-0.48988,3
-0.27532,3
-0.849319,3
-0.40806,3
-0.864759,3
-0.815936,3
-0.761566,3
-0.485005,3
-0.938277,3
-0.8466,3
-0.869312,3
-0.639904,0
-0.868401,0
-0.697586,2
-0.379733,2
-0.450287,2
-0.674224,2
-0.933641,2
-0.739522,2
-0.415976,2
-0.950358,3
-0.783749,3
-0.996232,3
-0.573176,3
-0.817733,3
-0.869312,3
-0.99529,3
-0.339328,3
-0.78286,3
