@relation 'Ant16-Arrond5-weka.filters.unsupervised.attribute.Remove-R1-6,8-17,29'

@attribute #Normal numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric

@data
0,4166.64013,383,394.12942,253.66316,236,4155.70656,4149.14762,4155.64989,99.368,252.73306,0
0,2819.27384,384.00104,391.25567,246.67793,235.00169,2802.86889,2793.18331,2803.03728,81.5414,248.58399,0
0,4108.88914,383,394.12942,257.38881,240,4098.0338,4091.14972,4097.97535,99.368,256.45662,0
0,3642.08841,382.00002,391.34256,249.89998,235.00003,3629.61554,3622.12424,3629.81101,90.13878,252.72317,0
0,4249.47632,385,396.30922,255.8906,238,4238.68706,4232.13658,4238.68706,99.95999,255.8906,0
0,3643.18789,383.00015,389.16577,244.9204,235.00025,3630.61345,3623.14132,3630.74345,76.05919,246.84003,0
0,4179.76901,385,395.37956,256.32011,240,4168.91401,4162.13082,4168.9717,95.85927,257.25668,0
0,4248.66214,387,399.71115,261.84728,242,4237.91517,4231.14476,4237.85819,105.9481,260.92336,0
0,3880.24703,386.00001,396.8123,256.09569,239.00001,3868.3901,3861.13261,3868.51419,97.40637,257.96318,0
0,3881.24207,386.00011,394.20299,252.03373,239.00018,3869.38819,3862.12442,3869.57465,85.79627,254.88036,0
0,3985.63847,385.00003,395.83961,258.89766,242.00005,3974.37454,3967.1544,3974.31378,98.43272,257.96318,0
0,3820.4484,385.00022,394.27148,254.60754,240.00036,3808.56942,3801.14325,3808.63256,91.18114,255.55039,0
0,3699.08989,385.00026,394.0571,254.27544,240.00041,3686.8199,3679.148,3686.88514,90.24965,255.21951,0
0,3469.20639,383.00068,388.47651,245.75191,237.0011,3456.13556,3448.15791,3456.20428,72.89719,246.71644,0
0,4231.7331,387,399.71115,261.84728,242,4220.94302,4214.14535,4220.88581,105.9481,260.92336,0
0,3641.3043,384.00003,392.04209,253.61782,241.00004,3629.01116,3621.16915,3628.94489,86.40602,252.66777,0
0,4147.99904,386,397.51855,259.97885,242,4137.084,4130.1483,4137.02562,101.24228,259.04826,0
0,4174.79029,385,396.5476,259.97885,242,4164.03806,4157.14734,4163.98007,101.24228,259.04826,0
0,3634.34341,384.00081,390.14997,247.80032,238.00131,3621.82827,3614.14167,3621.96024,76.05919,249.72185,0
0,4249.56704,386,398.49341,261.46702,242,4238.91354,4232.14473,4238.85657,105.00476,260.54174,0
0,3179.27539,384,395.10125,258.32151,241,3165.1883,3156.19407,3165.11232,99.368,257.38881,0
0,384,384.00082,389.80123,246.28845,237.00133,237,31,240,73.82412,249.17664,0
0,2259.86393,384.0004,389.97436,248.48541,239.00065,2239.78794,2227.24449,2239.89486,75.58439,249.44739,0
0,2208.17685,387,399.46214,260.54174,241,2187.31731,2174.28172,2187.20735,105.00476,259.61703,0
1,3623.61767,386.00009,395.03418,244.85914,230.00016,3610.33364,3603.06717,3611.11797,86.83317,256.16401,8
0,4164.92557,386,397.51855,258.11819,240,4153.93897,4147.1313,4153.99687,100.56838,259.04826,0
0,4143.83059,384,395.10125,257.38881,240,4132.97423,4126.14008,4132.91628,99.0202,256.45662,0
0,4235.6251,386,398.24616,261.09002,242,4224.93645,4218.13703,4224.93645,103.73042,261.09002,0
0,4253.64138,387,399.21548,257.38687,238,4242.68076,4236.14459,4242.62478,104.06248,256.46247,0
0,4254.63723,387,399.46214,259.61703,240,4243.79182,4237.13642,4243.73538,104.67569,258.69287,0
0,4193.61801,384,395.33783,259.6151,242,4183.0061,4176.14667,4182.94836,100.30454,258.6832,0
0,4212.81307,387.00001,398.25243,259.6151,242.00002,4201.97442,4195.13778,4201.97442,99.95999,259.6151,0
0,4139.29559,378,389.51252,247.54192,229,4128.35621,4122.14859,4128.30086,100.30454,246.61711,0
0,4118.56783,380.0001,391.93877,249.23082,230.00017,4107.44458,4101.09559,4107.78493,100,254.77834,0
1,4023.36687,384.00001,394.86707,257.02918,240.00001,4012.18457,4005.12784,4012.3047,97.40637,258.89766,3
0,4034.4121,385.00002,397.27698,255.53865,236.00003,4022.92829,4016.11205,4023.16492,102.48902,259.23734,0
0,4111.16103,386.00001,397.51855,257.18865,239.00001,4099.97195,4093.11739,4100.14792,99.92998,259.97885,0
0,4235.17237,381,393.15391,261.6448,243,4224.99385,4218.14521,4224.93645,103.12129,260.71632,0
0,4169.53571,382.00001,393.63562,255.33116,237.00001,4158.75859,4152.12331,4158.87304,100.2447,257.18865,0
0,4245.13192,381,392.42452,250.3198,232,4234.3604,4228.13671,4234.3604,99.95999,250.3198,0
0,4172.79882,385.00001,396.78836,255.70491,237.00001,4161.75372,4155.1083,4161.98342,100.57833,259.41665,0
0,4252.37357,384,396.55643,255.00196,235,4241.51506,4235.12857,4241.57058,104.35516,255.92382,0
0,4235.6251,386,398.24616,261.09002,242,4224.93645,4218.13703,4224.93645,103.73042,261.09002,0
0,4231.55066,385,396.78836,257.5597,239,4220.77209,4214.13716,4220.77209,101.84302,257.5597,0
0,4185.28661,380,390.97826,254.23021,237,4174.73269,4168.12284,4174.8467,97.40637,256.09569,0
0,4130.88671,384.00001,395.81814,255.70491,237.00001,4119.82257,4113.13238,4119.88022,101.51355,256.63203,0
0,4195.79313,386.00001,396.58164,259.48025,243.00001,4185.06069,4178.1466,4185.00275,97.49872,258.544,0
0,4138.94503,385.00001,395.37956,258.19373,242.00002,4128.09944,4121.14863,4128.04094,96.56604,257.25668,0
0,4248.57117,386,398.24616,262.01718,243,4237.97239,4231.14476,4237.91517,104.06248,261.09002,0
0,4248.48043,385,397.27698,261.09002,242,4237.91517,4231.14476,4237.85819,104.06248,260.16341,0
0,4097.56525,379.00001,388.8573,253.40284,238.00001,4086.93577,4080.13345,4086.99413,93.04837,254.34229,0
0,3892.96096,363.00003,373.75125,242.89298,226.00005,3882.58316,3876.14048,3882.58316,94.92102,242.89298,0
0,4239.69964,387,398.72923,255.70491,237,4228.64671,4222.1369,4228.64671,101.84302,255.70491,0
0,4119.03217,385.00002,396.5476,256.25963,238.00003,4107.90032,4101.14094,4107.90032,100.90094,256.25963,0
0,4235.71635,387,398.72923,259.41665,241,4224.87929,4218.13703,4224.87929,101.84302,259.41665,0
0,2215.66988,323.00058,329.08661,202.07177,192.00098,2200.39269,2192.16628,2200.74533,68.54196,205.87618,4
