"Class Name","HastTest","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.zip.ZipShort","1","0","0","0","0","0","0","0","7","7","8","7","0","89","0.964827736798882","4","4166.64013","383","394.12942","253.66316","236","4155.70656","4149.14762","4155.64989","99.36799999999999","252.73306","0","32"
"org.apache.tools.zip.ZipOutputStream","0","0","0","0","0","0","0","0","25","8","99","5","3","1445","0.1081262681112","3","2819.27384","384.00104","391.25567","246.67793","235.00169","2802.86889","2793.18331","2803.03728","81.5414","248.58399","0",""
"org.apache.tools.zip.ZipLong","1","0","0","0","0","0","0","0","7","3","8","3","0","147","0.964827736798882","4","4108.88914","383","394.12942","257.38881","240","4098.0338","4091.14972","4097.97535","99.36799999999999","256.45662","0","34"
"org.apache.tools.zip.ZipFile","0","0","0","0","0","0","0","0","15","8","71","4","5","616","0.886367405356067","5","3642.08841","382.00002","391.34256","249.89998","235.00003","3629.61554","3622.12424","3629.81101","90.13878","252.72317","0",""
"org.apache.tools.zip.ZipExtraField","0","0","0","0","0","0","0","0","6","5","6","4","1","6","1","2","4249.47632","385","396.30922","255.8906","238","4238.68706","4232.13658","4238.68706","99.95999","255.8906","0",""
"org.apache.tools.zip.ZipEntry","1","0","0","0","0","0","0","0","31","8","77","5","3","615","0.656588357367656","4","3643.18789","383.00015","389.16577","244.9204","235.00025","3630.61345","3623.14132","3630.74345","76.05919","246.84003","0","74"
"org.apache.tools.zip.UnrecognizedExtraField","0","0","0","0","0","0","0","0","10","3","13","1","2","76","0.952571427009912","2","4179.76901","385","395.37956","256.32011","240","4168.91401","4162.13082","4168.9717","95.85927","257.25668","0",""
"org.apache.tools.zip.UnixStat","0","0","0","0","0","0","0","0","0","1","0","1","0","7","1","0","4248.66214","387","399.71115","261.84728","242","4237.91517","4231.14476","4237.85819","105.9481","260.92336","0",""
"org.apache.tools.zip.ExtraFieldUtils","1","0","0","0","0","0","0","0","8","4","39","1","3","377","0.916059540759976","1","3880.24703","386.00001","396.8123","256.09569","239.00001","3868.3901","3861.13261","3868.51419","97.40637","257.96318","0","71"
"org.apache.tools.zip.AsiExtraField","1","0","0","0","0","0","0","0","20","4","42","0","4","376","0.709856727542029","1","3881.24207","386.00011","394.20299","252.03373","239.00018","3869.38819","3862.12442","3869.57465","85.79627000000001","254.88036","0","95"
"org.apache.tools.tar.TarUtils","0","0","0","0","0","0","0","0","8","1","14","1","0","271","0.851980537760279","2","3985.63847","385.00003","395.83961","258.89766","242.00005","3974.37454","3967.1544","3974.31378","98.43272","257.96318","0",""
"org.apache.tools.tar.TarOutputStream","0","0","0","0","0","0","0","0","15","3","37","1","2","437","0.585269996967392","2","3820.4484","385.00022","394.27148","254.60754","240.00036","3808.56942","3801.14325","3808.63256","91.18114","255.55039","0",""
