Class Name,HastTest,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,7,7,8,7,0,89,0.964827737,4,4166.64,383,394.129,253.663,236,4155.707,4149.148,4155.65,99.368,252.733,0,32
org.apache.tools.zip.ZipOutputStream,0,0,0,0,0,0,0,0,0,25,8,99,5,3,1445,0.108126268,3,2819.274,384.001,391.256,246.678,235.002,2802.869,2793.183,2803.037,81.541,248.584,0,
org.apache.tools.zip.ZipLong,1,0,0,0,0,0,0,0,0,7,3,8,3,0,147,0.964827737,4,4108.889,383,394.129,257.389,240,4098.034,4091.15,4097.975,99.368,256.457,0,34
org.apache.tools.zip.ZipFile,0,0,0,0,0,0,0,0,0,15,8,71,4,5,616,0.886367405,5,3642.088,382,391.343,249.9,235,3629.616,3622.124,3629.811,90.139,252.723,0,
org.apache.tools.zip.ZipExtraField,0,0,0,0,0,0,0,0,0,6,5,6,4,1,6,1,2,4249.476,385,396.309,255.891,238,4238.687,4232.137,4238.687,99.96,255.891,0,
org.apache.tools.zip.ZipEntry,1,0,0,0,0,0,0,0,0,31,8,77,5,3,615,0.656588357,4,3643.188,383,389.166,244.92,235,3630.613,3623.141,3630.743,76.059,246.84,0,74
org.apache.tools.zip.UnrecognizedExtraField,0,0,0,0,0,0,0,0,0,10,3,13,1,2,76,0.952571427,2,4179.769,385,395.38,256.32,240,4168.914,4162.131,4168.972,95.859,257.257,0,
org.apache.tools.zip.UnixStat,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,0,4248.662,387,399.711,261.847,242,4237.915,4231.145,4237.858,105.948,260.923,0,
org.apache.tools.zip.ExtraFieldUtils,1,0,0,0,0,0,0,0,0,8,4,39,1,3,377,0.916059541,1,3880.247,386,396.812,256.096,239,3868.39,3861.133,3868.514,97.406,257.963,0,71
org.apache.tools.zip.AsiExtraField,1,0,0,0,0,0,0,0,0,20,4,42,0,4,376,0.709856728,1,3881.242,386,394.203,252.034,239,3869.388,3862.124,3869.575,85.796,254.88,0,95
org.apache.tools.tar.TarUtils,0,0,0,0,0,0,0,0,0,8,1,14,1,0,271,0.851980538,2,3985.638,385,395.84,258.898,242,3974.375,3967.154,3974.314,98.433,257.963,0,
org.apache.tools.tar.TarOutputStream,0,0,0,0,0,0,0,0,0,15,3,37,1,2,437,0.585269997,2,3820.448,385,394.271,254.608,240,3808.569,3801.143,3808.633,91.181,255.55,0,
org.apache.tools.tar.TarInputStream,0,0,0,0,0,0,0,0,0,16,3,41,1,2,559,0.55608644,2,3699.09,385,394.057,254.275,240,3686.82,3679.148,3686.885,90.25,255.22,0,
org.apache.tools.tar.TarEntry,1,0,0,0,0,0,0,0,0,35,6,73,4,2,790,0.277609923,4,3469.206,383.001,388.477,245.752,237.001,3456.136,3448.158,3456.204,72.897,246.716,0,8
org.apache.tools.tar.TarConstants,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,1,0,4231.733,387,399.711,261.847,242,4220.943,4214.145,4220.886,105.948,260.923,0,
org.apache.tools.tar.TarBuffer,0,0,0,0,0,0,0,0,0,21,2,35,2,0,617,0.854042049,3,3641.304,384,392.042,253.618,241,3629.011,3621.169,3628.945,86.406,252.668,0,
org.apache.tools.mail.SmtpResponseReader,0,0,0,0,0,0,0,0,0,5,1,19,1,0,108,0.959650107,1,4147.999,386,397.519,259.979,242,4137.084,4130.148,4137.026,101.242,259.048,0,
org.apache.tools.mail.MailPrintStream,0,0,0,0,0,0,0,0,0,5,1,9,1,0,81,0.961085242,2,4174.79,385,396.548,259.979,242,4164.038,4157.147,4163.98,101.242,259.048,0,
