@relation 'Ant15-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
0,4166.64,383,394.129,253.663,236,4155.707,4149.148,4155.65,99.368,252.733
0,2819.274,384.001,391.256,246.678,235.002,2802.869,2793.183,2803.037,81.541,248.584
0,4108.889,383,394.129,257.389,240,4098.034,4091.15,4097.975,99.368,256.457
0,3642.088,382,391.343,249.9,235,3629.616,3622.124,3629.811,90.139,252.723
0,4249.476,385,396.309,255.891,238,4238.687,4232.137,4238.687,99.96,255.891
0,3643.188,383,389.166,244.92,235,3630.613,3623.141,3630.743,76.059,246.84
0,4179.769,385,395.38,256.32,240,4168.914,4162.131,4168.972,95.859,257.257
0,4248.662,387,399.711,261.847,242,4237.915,4231.145,4237.858,105.948,260.923
0,3880.247,386,396.812,256.096,239,3868.39,3861.133,3868.514,97.406,257.963
0,3881.242,386,394.203,252.034,239,3869.388,3862.124,3869.575,85.796,254.88
0,3985.638,385,395.84,258.898,242,3974.375,3967.154,3974.314,98.433,257.963
0,3820.448,385,394.271,254.608,240,3808.569,3801.143,3808.633,91.181,255.55
0,3699.09,385,394.057,254.275,240,3686.82,3679.148,3686.885,90.25,255.22
0,3469.206,383.001,388.477,245.752,237.001,3456.136,3448.158,3456.204,72.897,246.716
0,4231.733,387,399.711,261.847,242,4220.943,4214.145,4220.886,105.948,260.923
0,3641.304,384,392.042,253.618,241,3629.011,3621.169,3628.945,86.406,252.668
0,4147.999,386,397.519,259.979,242,4137.084,4130.148,4137.026,101.242,259.048
0,4174.79,385,396.548,259.979,242,4164.038,4157.147,4163.98,101.242,259.048
0,3634.343,384.001,390.15,247.8,238.001,3621.828,3614.142,3621.96,76.059,249.722
0,4249.567,386,398.493,261.467,242,4238.914,4232.145,4238.857,105.005,260.542
0,3179.275,384,395.101,258.322,241,3165.188,3156.194,3165.112,99.368,257.389
0,384,384.001,389.801,246.288,237.001,237,31,240,73.824,249.177
0,2259.864,384,389.974,248.485,239.001,2239.788,2227.244,2239.895,75.584,249.447
0,2208.177,387,399.462,260.542,241,2187.317,2174.282,2187.207,105.005,259.617
1,3623.618,386,395.034,244.859,230,3610.334,3603.067,3611.118,86.833,256.164
0,4164.926,386,397.519,258.118,240,4153.939,4147.131,4153.997,100.568,259.048
0,4143.831,384,395.101,257.389,240,4132.974,4126.14,4132.916,99.02,256.457
0,4235.625,386,398.246,261.09,242,4224.936,4218.137,4224.936,103.73,261.09
0,4253.641,387,399.215,257.387,238,4242.681,4236.145,4242.625,104.062,256.462
0,4254.637,387,399.462,259.617,240,4243.792,4237.136,4243.735,104.676,258.693
0,4193.618,384,395.338,259.615,242,4183.006,4176.147,4182.948,100.305,258.683
0,4212.813,387,398.252,259.615,242,4201.974,4195.138,4201.974,99.96,259.615
0,4139.296,378,389.513,247.542,229,4128.356,4122.149,4128.301,100.305,246.617
0,4118.568,380,391.939,249.231,230,4107.445,4101.096,4107.785,100,254.778
1,4023.367,384,394.867,257.029,240,4012.185,4005.128,4012.305,97.406,258.898
0,4034.412,385,397.277,255.539,236,4022.928,4016.112,4023.165,102.489,259.237
0,4111.161,386,397.519,257.189,239,4099.972,4093.117,4100.148,99.93,259.979
0,4235.172,381,393.154,261.645,243,4224.994,4218.145,4224.936,103.121,260.716
0,4169.536,382,393.636,255.331,237,4158.759,4152.123,4158.873,100.245,257.189
0,4245.132,381,392.425,250.32,232,4234.36,4228.137,4234.36,99.96,250.32
0,4172.799,385,396.788,255.705,237,4161.754,4155.108,4161.983,100.578,259.417
0,4252.374,384,396.556,255.002,235,4241.515,4235.129,4241.571,104.355,255.924
0,4235.625,386,398.246,261.09,242,4224.936,4218.137,4224.936,103.73,261.09
0,4231.551,385,396.788,257.56,239,4220.772,4214.137,4220.772,101.843,257.56
0,4185.287,380,390.978,254.23,237,4174.733,4168.123,4174.847,97.406,256.096
0,4130.887,384,395.818,255.705,237,4119.823,4113.132,4119.88,101.514,256.632
0,4195.793,386,396.582,259.48,243,4185.061,4178.147,4185.003,97.499,258.544
0,4138.945,385,395.38,258.194,242,4128.099,4121.149,4128.041,96.566,257.257
0,4248.571,386,398.246,262.017,243,4237.972,4231.145,4237.915,104.062,261.09
0,4248.48,385,397.277,261.09,242,4237.915,4231.145,4237.858,104.062,260.163
0,4097.565,379,388.857,253.403,238,4086.936,4080.133,4086.994,93.048,254.342
0,3892.961,363,373.751,242.893,226,3882.583,3876.14,3882.583,94.921,242.893
0,4239.7,387,398.729,255.705,237,4228.647,4222.137,4228.647,101.843,255.705
0,4119.032,385,396.548,256.26,238,4107.9,4101.141,4107.9,100.901,256.26
0,4235.716,387,398.729,259.417,241,4224.879,4218.137,4224.879,101.843,259.417
