@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #Bugs numeric

@data
0,4166.640133,383.000002,394.12942,253.663162,236.000003,4155.706558,4149.147623,4155.649889,99.368003,252.733061,0
0,2819.273843,384.001036,391.255671,246.677928,235.001692,2802.868887,2793.183309,2803.037281,81.541401,248.58399,0
0,4108.889144,383.000002,394.12942,257.388811,240.000003,4098.033797,4091.149716,4097.975354,99.368003,256.456624,0
0,3642.088412,382.000017,391.342561,249.89998,235.000027,3629.615544,3622.124239,3629.811014,90.138782,252.723169,0
0,4249.476321,385,396.309223,255.890602,238,4238.687061,4232.136576,4238.687061,99.959992,255.890602,0
0,3643.18789,383.000154,389.165774,244.920395,235.000251,3630.613447,3623.141317,3630.74345,76.059187,246.840029,0
0,4179.769013,385.000003,395.379565,256.320112,240.000005,4168.914007,4162.130824,4168.971696,95.859272,257.256681,0
0,4248.662142,387,399.711146,261.847284,242,4237.915171,4231.144762,4237.858185,105.9481,260.92336,0
0,3880.247028,386.000009,396.812298,256.095685,239.000015,3868.390104,3861.132606,3868.514185,97.406365,257.963176,0
0,3881.242069,386.000109,394.202993,252.033728,239.000176,3869.388195,3862.124415,3869.574654,85.79627,254.880364,0
0,3985.638468,385.000028,395.839614,258.897663,242.000045,3974.374542,3967.154396,3974.313777,98.432718,257.963176,0
0,3820.448403,385.000223,394.27148,254.607541,240.000358,3808.569416,3801.143249,3808.632563,91.181138,255.550386,0
0,3699.089888,385.000256,394.057102,254.275441,240.00041,3686.819903,3679.147999,3686.885135,90.249654,255.219513,0
0,3469.206393,383.000681,388.476512,245.751907,237.001101,3456.135559,3448.157914,3456.204276,72.897188,246.716436,0
0,4231.733096,387,399.711146,261.847284,242,4220.943023,4214.145346,4220.885808,105.9481,260.92336,0
0,3641.304299,384.000028,392.04209,253.617823,241.000044,3629.01116,3621.169148,3628.944888,86.406018,252.667766,0
0,4147.999036,386.000002,397.518553,259.978845,242.000003,4137.083997,4130.148302,4137.025622,101.242284,259.048258,0
0,4174.790294,385.000002,396.547601,259.978845,242.000003,4164.038064,4157.147339,4163.980067,101.242284,259.048258,0
0,3634.343407,384.000813,390.149971,247.800323,238.001312,3621.828268,3614.141669,3621.960243,76.059187,249.721845,0
0,4249.567037,386,398.493413,261.467015,242,4238.91354,4232.144728,4238.856568,105.004762,260.541743,0
0,3179.275389,384.000002,395.101253,258.321505,241.000003,3165.188304,3156.194069,3165.11232,99.368003,257.388811,0
0,384,384.000819,389.801231,246.288449,237.001327,237,31,240,73.824115,249.176644,0
0,2259.863934,384.000404,389.974358,248.485412,239.000649,2239.787936,2227.244486,2239.894864,75.58439,249.447389,0
0,2208.17685,387,399.462138,260.541743,241,2187.317307,2174.28172,2187.207352,105.004762,259.617026,0
1,3623.617667,386.000093,395.034176,244.859143,230.000156,3610.333641,3603.067166,3611.117971,86.833173,256.16401,2
1,3623.617667,386.000093,395.034176,244.859143,230.000156,3610.333641,3603.067166,3611.117971,86.833173,256.16401,2
0,4164.92557,386,397.518553,258.11819,240,4153.938974,4147.131298,4153.99687,100.568385,259.048258,0
0,4143.830595,384.000003,395.101253,257.388811,240.000004,4132.974232,4126.140085,4132.916283,99.0202,256.456624,0
0,4235.625101,386,398.246155,261.090023,242,4224.936449,4218.13703,4224.936449,103.73042,261.090023,0
0,4253.641381,387,399.215481,257.386868,238,4242.680756,4236.144591,4242.624777,104.062481,256.462473,0
0,4254.637235,387,399.462138,259.617026,240,4243.791819,4237.136415,4243.735383,104.67569,258.692868,0
0,4193.618008,384.000001,395.33783,259.6151,242.000002,4183.006096,4176.146669,4182.948362,100.304536,258.683204,0
0,4212.813074,387.000013,398.252432,259.6151,242.000021,4201.974417,4195.137781,4201.974417,99.959992,259.6151,0
0,4139.295592,378.000002,389.512516,247.541916,229.000003,4128.35621,4122.14859,4128.300861,100.304536,246.617112,0
0,4118.567834,380.000104,391.938771,249.230817,230.000172,4107.444583,4101.095585,4107.784926,100,254.778335,0
1,4023.366874,384.000005,394.867066,257.029181,240.000008,4012.184567,4005.127838,4012.304699,97.406365,258.897663,1
0,4034.412101,385.00002,397.276981,255.538647,236.000032,4022.928287,4016.11205,4023.164923,102.489024,259.237343,0
0,4111.161028,386.000005,397.518553,257.188647,239.000008,4099.971951,4093.117394,4100.147924,99.929975,259.978845,0
