"Class Name","HastTest","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.zip.ZipShort","1","0","0","0","0","0","0","0","7","7","8","7","0","89","0.96482773679888","4","4166.6401332489","383.000001615","394.12942036849","253.66316248127","236.00000262095","4155.7065584567","4149.1476233077","4155.6498890065","99.368002898317","252.73306075779","0","32"
"org.apache.tools.zip.ZipOutputStream","0","0","0","0","0","0","0","0","25","8","99","5","3","1445","0.1081262681112","3","2819.2738426765","384.00103572615","391.25567088542","246.67792767088","235.00169241679","2802.868887408","2793.183309416","2803.0372812362","81.541400527585","248.5839898304","0",""
"org.apache.tools.zip.ZipLong","1","0","0","0","0","0","0","0","7","3","8","3","0","147","0.96482773679888","4","4108.8891442822","383.000001615","394.12942036849","257.38881094562","240.00000257727","4098.0337968348","4091.1497161556","4097.975353757","99.368002898317","256.45662401272","0","34"
"org.apache.tools.zip.ZipFile","0","0","0","0","0","0","0","0","15","8","71","4","5","616","0.88636740535607","5","3642.0884118868","382.000016901","391.34256093607","249.899979992","235.00002747312","3629.6155443793","3622.1242386202","3629.8110143642","90.1387818866","252.72316870441","0",""
"org.apache.tools.zip.ZipExtraField","0","0","0","0","0","0","0","0","6","5","6","4","1","6","1","2","4249.4763206776","385","396.30922270369","255.89060162499","238","4238.6870608716","4232.1365762461","4238.6870608716","99.959991996798","255.89060162499","0",""
"org.apache.tools.zip.ZipEntry","1","0","0","0","0","0","0","0","31","8","77","5","3","615","0.65658835736766","4","3643.1878897471","383.00015395761","389.1657744458","244.92039523078","235.00025091807","3630.6134467883","3623.1413165926","3630.7434500388","76.059187479226","246.84002916869","0","74"
"org.apache.tools.zip.UnrecognizedExtraField","0","0","0","0","0","0","0","0","10","3","13","1","2","76","0.95257142700991","2","4179.7690127566","385.00000292139","395.37956446938","256.32011235953","240.00000468639","4168.9140072686","4162.1308244696","4168.9716957542","95.859271852023","257.25668115717","0",""
"org.apache.tools.zip.UnixStat","0","0","0","0","0","0","0","0","0","1","0","1","0","7","1","0","4248.6621423691","387","399.71114570399","261.84728373615","242","4237.9151714021","4231.1447623545","4237.8581854517","105.94810050209","260.92336039535","0",""
"org.apache.tools.zip.ExtraFieldUtils","1","0","0","0","0","0","0","0","8","4","39","1","3","377","0.91605954075998","1","3880.2470282187","386.00000912694","396.81229819652","256.09568524284","239.00001474059","3868.3901044233","3861.1326058554","3868.5141850587","97.406365295087","257.96317566661","0","71"
"org.apache.tools.zip.AsiExtraField","1","0","0","0","0","0","0","0","20","4","42","0","4","376","0.70985672754203","1","3881.2420692351","386.00010904547","394.202993393","252.03372790164","239.00017611525","3869.3881945341","3862.1244153963","3869.574653628","85.796270315207","254.88036409265","0","95"
