Class Name,HastTest,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)"
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,7,7,8,7,0,89,0.964827737,4,4166.640133,383.0000016,394.1294204,253.6631625,236.0000026,4155.706558,4149.147623,4155.649889,99.3680029,252.7330608,0,32,255.0823364,335.1805484,4149.011844,4162.516907,89.53140721,4150.042168,89.68705982,746451.0054,17214440
org.apache.tools.zip.ZipOutputStream,0,0,0,0,0,0,0,0,0,25,8,99,5,3,1445,0.108126268,3,2819.273843,384.0010357,391.2556709,246.6779277,235.0016924,2802.868887,2793.183309,2803.037281,81.54140053,248.5839898,0,,1449.329339,279.4154613,2793.772127,2806.941752,1446.437084,2794.0068,1446.664517,10159894.1,7800997
org.apache.tools.zip.ZipLong,1,0,0,0,0,0,0,0,0,7,3,8,3,0,147,0.964827737,4,4108.889144,383.0000016,394.1294204,257.3888109,240.0000026,4098.033797,4091.149716,4097.975354,99.3680029,256.456624,0,34,280.4917192,337.9970414,4091.006156,4104.938855,147.1500122,4092.05694,147.2937802,1224371.009,16736520
org.apache.tools.zip.ZipFile,0,0,0,0,0,0,0,0,0,15,8,71,4,5,616,0.886367405,5,3642.088412,382.0000169,391.3425609,249.89998,235.0000275,3629.615544,3622.124239,3629.811014,90.13878189,252.7231687,0,,639.6682122,296.0067567,3622.332615,3634.075398,617.9569561,3622.99724,618.1345512,4841831.039,13119060
org.apache.tools.zip.ZipExtraField,0,0,0,0,0,0,0,0,0,6,5,6,4,1,6,1,2,4249.476321,385,396.3092227,255.8906016,238,4238.687061,4232.136576,4238.687061,99.959992,255.8906016,0,,241.0772667,338.7107911,4232.004814,4245.532829,8.755037088,4233.043822,8.854152359,50826.00077,17910065
org.apache.tools.zip.ZipEntry,1,0,0,0,0,0,0,0,0,31,8,77,5,3,615,0.656588357,4,3643.18789,383.000154,389.1657744,244.9203952,235.0002509,3630.613447,3623.141317,3630.74345,76.05918748,246.8400292,0,74,637.1447512,291.6659048,3623.393931,3634.721172,617.3036457,3623.656993,617.8371211,4834592.039,13126299
org.apache.tools.zip.UnrecognizedExtraField,0,0,0,0,0,0,0,0,0,10,3,13,1,2,76,0.952571427,2,4179.769013,385.0000029,395.3795645,256.3201124,240.0000047,4168.914007,4162.130824,4168.971696,95.85927185,257.2566812,0,,245.97652,335.9121909,4162.010128,4175.533619,76.55032672,4162.972976,76.75782933,638413.0046,17322478
org.apache.tools.zip.UnixStat,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,0,4248.662142,387,399.7111457,261.8472837,242,4237.915171,4231.144762,4237.858185,105.9481005,260.9233604,0,,247.0972543,345.09419,4231,4245.050176,6.983716113,4232.181589,6.998048887,59283.00041,17901608
org.apache.tools.zip.ExtraFieldUtils,1,0,0,0,0,0,0,0,0,8,4,39,1,3,377,0.916059541,1,3880.247028,386.0000091,396.8122982,256.0956852,239.0000147,3868.390104,3861.132606,3868.514185,97.4063653,257.9631757,0,71,429.9391276,318.3472946,3861.092643,3874.10196,377.9434936,3862.095934,378.0311049,3053362.023,14907529
org.apache.tools.zip.AsiExtraField,1,0,0,0,0,0,0,0,0,20,4,42,0,4,376,0.709856728,1,3881.242069,386.000109,394.2029934,252.0337279,239.0001761,3869.388195,3862.124415,3869.574654,85.79627032,254.8803641,0,95,427.5648725,317.1576895,3862.101041,3875.001032,377.0404534,3862.828497,377.3865774,3045642.023,14915249
org.apache.tools.tar.TarUtils,0,0,0,0,0,0,0,0,0,8,1,14,1,0,271,0.851980538,2,3985.638468,385.0000285,395.839614,258.8976632,242.0000453,3974.374542,3967.154396,3974.313777,98.43271814,257.9631757,0,,356.9965061,335.2163481,3967.012298,3981.137903,271.1540618,3968.066658,271.2928669,2223569.016,15737322
org.apache.tools.tar.TarOutputStream,0,0,0,0,0,0,0,0,0,15,3,37,1,2,437,0.585269997,2,3820.448403,385.0002234,394.2714801,254.6075411,240.0003583,3808.569416,3801.143249,3808.632563,91.1811384,255.5503864,0,,484.0800559,319.6576293,3801.085111,3814.417649,437.7249243,3801.950289,437.9686312,3513080.027,14447811
org.apache.tools.tar.TarInputStream,0,0,0,0,0,0,0,0,0,16,3,41,1,2,559,0.55608644,2,3699.089888,385.0002559,394.0571025,254.2754412,240.0004105,3686.819903,3679.147999,3686.885135,90.24965374,255.2195134,0,,594.7218527,317.044161,3679.10693,3692.635644,559.6838218,3679.958831,559.9238469,4425644.035,13535247
org.apache.tools.tar.TarEntry,1,0,0,0,0,0,0,0,0,35,6,73,4,2,790,0.277609923,4,3469.206393,383.0006813,388.4765115,245.7519074,237.0011009,3456.135559,3448.157914,3456.204276,72.89718787,246.7164364,0,8,807.5542015,294.8219802,3448.366468,3460.581454,791.5685616,3448.61262,792.163812,6072013.051,11888878
org.apache.tools.tar.TarConstants,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,1,0,4231.733096,387,399.7111457,261.8472837,242,4220.943023,4214.145346,4220.885808,105.9481005,260.9233604,0,,248.1540265,345.09419,4214,4228.106668,23.98313214,4215.186354,23.99328349,202848.0014,17758043
