@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.955483,0
0.279986,0
0.92668,0
0.692878,0
0.996952,0
0.693344,0
0.962136,0
0.996538,0
0.812087,0
0.812617,0
0.864924,0
0.782182,0
0.721381,0
0.606179,0
0.988062,0
0.692446,0
0.946182,0
0.959643,0
0.688958,0
0.997037,0
0.460807,0
-1,0
-0.001249,0
-0.027561,0
0.683543,1
0.954658,0
0.94413,0
0.990085,0
0.998919,0
0.999473,0
0.969116,0
0.978618,0
0.941825,0
0.931579,0
0.883896,1
0.88932,0
0.927765,0
0.990085,0
0.957093,0
0.994791,0
0.958646,0
0.998392,0
0.990085,0
0.988005,0
0.96507,0
0.93762,0
0.970142,0
0.941695,0
0.996567,0
0.996538,0
0.921196,0
0.819113,0
0.991938,0
0.931637,0
0.990056,0
-0.0208,1
0.997937,0
0.98745,0
0.940669,0
0.758259,0
0.843428,0
0.957093,0
0.891314,0
0.592289,1
0.826511,0
0.771621,1
0.536933,1
0.965099,0
0.947591,0
0.817447,0
0.900697,0
0.533411,0
0.998504,0
0.988005,0
0.900697,0
0.973988,0
0.981467,0
0.97396,0
0.882371,1
0.670421,1
0.977621,1
0.988062,1
0.894833,1
0.99651,1
0.998975,1
0.930698,0
0.958531,0
0.999144,0
0.901196,0
0.873777,0
1,0
0.954073,0
0.868792,0
0.962022,0
0.80349,0
0.850845,0
0.888234,0
0.898176,0
0.980194,0
0.990857,0
0.973988,0
0.976481,0
0.999445,0
0.931024,0
0.936211,1
0.952165,0
0.952577,1
0.972247,1
0.766574,0
0.81701,0
0.662382,0
0.381742,0
0.999445,0
0.977962,0
0.854774,0
0.990584,0
0.965512,0
0.651918,0
0.905683,0
0.987834,0
0.909642,0
0.976481,0
0.955197,0
0.998062,0
0.988448,0
0.931724,0
0.915232,0
0.757231,0
0.683129,0
0.888323,0
0.917237,0
0.541696,0
0.997395,0
-0.112955,0
0.52708,1
0.99953,0
0.999501,0
0.99953,0
0.998006,0
0.612794,0
0.889878,0
0.917795,0
0.930757,0
0.834517,0
0.937736,0
0.919231,0
0.998006,0
0.93322,0
0.998062,0
0.835545,0
0.962664,0
0.966652,0
0.981609,0
0.657633,0
0.769224,0
0.730384,0
0.923748,0
0.553977,1
0.934246,0
0.748823,0
0.984102,0
0.995071,0
0.935214,0
0.924246,0
0.956153,0
0.997977,0
0.953661,0
0.814487,0
0.591627,0
0.588313,0
0.9502,0
0.739788,0
0.81757,0
0.893368,0
0.915126,0
0.593723,0
0.86589,1
0.949203,1
0.758259,0
0.875422,0
0.739289,0
0.915742,0
0.658131,0
0.950698,0
0.83621,0
0.875422,0
0.997395,0
0.701383,0
0.708425,1
0.792555,1
0.984515,0
0.920026,0
0.885392,0
0.86944,0
0.846511,0
0.922252,0
0.90583,0
0.732345,0
-0.200428,1
0.542166,0
0.501717,1
0.498157,0
0.929759,0
0.903338,1
0.972136,0
0.928264,0
0.741846,0
0.798661,0
0.401097,0
0.952692,0
0.729355,0
0.914305,0
0.926124,0
0.997203,0
0.419977,0
0.782182,0
0.499218,1
0.645042,0
0.817071,0
0.970641,0
0.881842,0
0.909701,0
0.933162,0
0.579381,0
0.857356,0
0.927765,0
0.925771,0
0.976125,0
0.745334,1
0.924276,0
0.556503,0
0.691882,1
0.955127,0
0.93624,0
0.367287,0
0.980085,0
0.992051,0
0.980555,0
0.972107,0
0.947678,0
0.641191,1
0.956096,0
0.908792,0
0.749819,0
0.830468,0
0.998062,0
0.931754,0
0.861963,0
0.433382,0
0.952692,0
0.955655,0
0.821723,0
0.988561,0
0.983575,0
0.985071,0
0.985569,0
0.966125,0
0.983076,0
0.945684,0
0.970113,0
0.963133,0
0.968119,0
0.939087,0
0.999038,0
0.988561,0
0.61671,1
0.979586,0
0.90281,0
0.926739,0
0.866419,1
0.977592,0
0.967122,0
0.924745,0
0.922751,1
0.525832,0
0.887854,0
0.998975,0
0.842523,0
0.520605,1
0.900845,0
0.966652,0
0.904833,0
0.850498,0
0.955185,0
0.591835,0
0.626743,0
0.975456,0
0.892341,0
0.468774,1
0.507619,0
0.999225,0
0.881842,1
0.838528,0
0.779382,0
0.749441,1
0.640625,1
0.793687,1
0.978903,0
-0.009416,1
0.898293,0
0.970641,0
0.022143,0
0.997065,0
0.94877,0
0.798661,0
0.774239,0
0.871434,0
0.209729,1
0.948205,0
0.984045,0
0.98396,0
0.999389,0
0.939672,1
0.83926,0
0.784487,0
0.860756,0
0.955684,0
0.828444,0
0.807447,0
0.836511,0
0.937208,0
0.914276,0
0.946681,0
0.919759,0
0.875422,0
0.788661,0
0.925243,0
0.906798,0
0.913777,0
0.874893,0
0.956652,0
0.946681,0
0.891872,1
0.91627,1
0.999038,0
0.98878,0
0.924263,0
0.992963,0
0.986039,0
0.998975,0
0.132717,0
0.686001,1
0.874395,0
0.983076,0
0.829878,0
0.374436,0
0.997949,0
0.996342,0
0.918203,0
0.951438,0
0.729162,0
0.246102,1
