@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.954028,0.964528,0.955572,0.9577,0.859921,0
0.258009,0.946265,0.280459,0.313097,0.480422,0
0.924195,0.964528,0.926792,0.930129,0.859921,0
0.683056,0.946817,0.693034,0.707162,0.663446,0
0.99682,0.978381,0.996982,0.997152,0.872523,0
0.683624,0.932984,0.693532,0.707645,0.363714,0
0.96081,0.972473,0.962163,0.963872,0.785225,0
0.996399,1,0.996597,0.99668,1,0
0.806084,0.981578,0.812191,0.820782,0.818161,0
0.806598,0.964996,0.812689,0.821254,0.571001,0
0.860527,0.975396,0.865081,0.871183,0.84001,0
0.775193,0.965431,0.782339,0.792264,0.685636,0
0.712502,0.964068,0.721581,0.73427,0.665806,0
0.593749,0.928604,0.606462,0.624461,0.296401,0
0.987654,1,0.988128,0.988599,1,0
0.682651,0.951263,0.692733,0.706708,0.583981,0
0.944399,0.986066,0.946279,0.948668,0.899821,0
0.958238,0.979896,0.95973,0.961503,0.899821,0
0.679055,0.939238,0.689148,0.703367,0.363714,0
0.996866,0.992261,0.997095,0.997155,0.979918,0
0.443977,0.970704,0.461269,0.485666,0.859921,0
-1,0.937022,-1,-1,0.316133,0
-0.03097,0.938122,-0.000538,0.044059,0.353607,0
-0.057671,0.998418,-0.026723,0.018881,0.979918,0
0.673515,0.970278,0.683412,0.698102,0.593075,1
0.953143,0.986066,0.95469,0.956741,0.885475,0
0.942245,0.970704,0.944228,0.946763,0.852516,0
0.989664,0.99069,0.99012,0.990496,0.952789,0
0.998971,0.99685,0.998975,0.999057,0.959858,0
0.999486,0.998418,0.99953,0.999528,0.972912,0
0.967964,0.972207,0.969196,0.970535,0.879858,0
0.97788,0.99073,0.978662,0.979563,0.872523,0
0.939903,0.935187,0.941923,0.944865,0.879858,0
0.929195,0.950606,0.931488,0.934857,0.873375,0
0.880016,0.969216,0.88395,0.889235,0.818161,1
0.885722,0.984531,0.889311,0.894457,0.926362,0
0.925369,0.986066,0.927759,0.931064,0.871884,0
0.98943,0.958329,0.990149,0.9905,0.939822,0
0.955524,0.96139,0.957095,0.959115,0.878584,0
0.994575,0.953693,0.994823,0.99525,0.872523,0
0.95721,0.981426,0.95859,0.960534,0.885686,0
0.998316,0.979952,0.998394,0.998574,0.966089,0
0.989664,0.99069,0.99012,0.990496,0.952789,0
0.98756,0.981426,0.988042,0.988595,0.91261,0
0.963661,0.944502,0.965067,0.96672,0.818161,0
0.935559,0.97526,0.937665,0.940579,0.905596,0
0.969088,0.980112,0.970221,0.971486,0.820127,0
0.939722,0.972473,0.941795,0.94439,0.800271,0
0.996352,0.99069,0.996626,0.99668,0.959858,0
0.996305,0.984531,0.996597,0.99668,0.959858,0
0.918346,0.931023,0.921253,0.924892,0.725386,0
0.812652,0.835024,0.819274,0.827917,0.765252,0
0.991769,0.99376,0.991972,0.992398,0.91261,0
0.929435,0.979896,0.931715,0.934878,0.892554,0
0.989711,0.99376,0.990092,0.990496,0.91261,0
-0.0538,0.551179,-0.020198,0.027383,0.203685,1
0.998131,0.95217,0.997992,0.998582,0.939822,0
0.986951,0.970648,0.987488,0.98812,0.932688,0
0.938549,0.955377,0.940741,0.943435,0.81258,0
0.750211,0.938326,0.758497,0.769455,0.84001,0
0.838168,0.940085,0.843602,0.850743,0.780445,0
0.955524,0.962931,0.957181,0.959126,0.919809,0
0.88773,0.964842,0.891275,0.896352,0.730755,0
0.577811,0.699546,0.592359,0.611581,0.341166,1
0.820889,0.967743,0.826545,0.83456,0.784337,0
0.763631,0.86687,0.77154,0.782253,0.549159,1
0.522225,0.915366,0.536951,0.558342,0.306588,1
0.963802,0.969095,0.965067,0.966717,0.892132,0
0.945561,0.935187,0.947544,0.950075,0.845086,0
0.811332,0.932151,0.817458,0.826,0.798066,0
0.897258,0.931023,0.900654,0.905384,0.690183,0
0.518691,0.937878,0.533782,0.555063,0.653975,0
0.99841,0.989134,0.998533,0.998578,0.932688,0
0.987654,0.966196,0.987527,0.988542,0.393666,0
0.89755,0.976881,0.900569,0.905377,0.800271,0
0.973014,0.964488,0.974035,0.975281,0.925739,0
0.980591,0.946013,0.981481,0.982408,0.918976,0
0.972967,0.958329,0.974007,0.975281,0.925739,0
0.878523,0.96961,0.882485,0.887817,0.752879,1
0.659668,0.911688,0.670212,0.685734,0.536432,1
0.976851,0.99376,0.977665,0.978612,0.91261,1
0.987654,0.995297,0.988128,0.988599,0.939822,1
0.891428,0.983059,0.894909,0.899697,0.845302,1
0.996352,0.983059,0.996569,0.99668,0.859921,1
0.998924,0.99069,0.999032,0.999057,0.959858,1
0.928358,0.970704,0.930576,0.933903,0.806105,0
0.957067,0.962931,0.95859,0.960544,0.905596,0
0.999345,0.979952,0.999173,0.999528,0.972912,0
0.897724,0.932151,0.901181,0.905866,0.804566,0
0.869732,0.966285,0.873579,0.879698,0.722066,0
1,1,1,1,0.986295,0
0.952676,0.995297,0.954078,0.956262,0.918976,0
0.864295,0.933661,0.868828,0.87497,0.83145,0
