@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-21,23-27'

@attribute 'd(LOC, RFC, Ca)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.954565,0
0.266042,0
0.92532,0
0.686159,0
0.99673,0
0.686487,0
0.961176,0
0.996485,0
0.808073,0
0.80853,0
0.862439,0
0.777758,0
0.715903,0
0.598038,0
0.987879,0
0.686696,0
0.944806,0
0.95876,0
0.682251,0
0.996903,0
0.45254,0
-1,0
-0.017125,0
-0.041729,0
0.676602,1
0.953582,0
0.942639,0
0.989757,0
0.998843,0
0.999436,0
0.968293,0
0.978056,0
0.940243,0
0.930005,0
0.881032,1
0.886978,0
0.926076,0
0.989815,0
0.956084,0
0.994536,0
0.957632,0
0.998338,0
0.989757,0
0.987675,0
0.963932,0
0.936368,0
0.969221,0
0.940166,0
0.996426,0
0.996397,0
0.919076,0
0.815573,0
0.991668,0
0.930149,0
0.989699,0
-0.040681,1
0.997817,0
0.987082,0
0.939207,0
0.753325,0
0.839985,0
0.956055,0
0.888863,0
0.583536,1
0.822432,0
0.766813,1
0.526846,1
0.964072,0
0.946154,0
0.813824,0
0.898203,0
0.525027,0
0.998393,0
0.987144,0
0.89842,0
0.973183,0
0.980863,0
0.973155,0
0.879378,1
0.663346,1
0.9769,1
0.987732,1
0.892493,1
0.996252,1
0.9989,1
0.92897,0
0.957459,0
0.999102,0
0.89901,0
0.870807,0
1,0
0.95296,0
0.866019,0
0.961117,0
0.799369,0
0.847683,0
0.88568,0
0.895355,0
0.979656,0
0.99057,0
0.973183,0
0.975886,0
0.999407,0
0.929412,0
0.934326,1
0.951022,0
0.95119,1
0.9715,1
0.761123,0
0.81321,0
0.655255,0
0.369325,0
0.999407,0
0.977389,0
0.851347,0
0.990235,0
0.964604,0
0.64455,0
0.903161,0
0.987385,0
0.907314,0
0.975857,0
0.954101,0
0.997974,0
0.988008,0
0.929985,0
0.913099,0
0.751349,0
0.676406,0
0.885528,0
0.915081,0
0.531405,0
0.997209,0
-0.134818,0
0.517193,1
0.999493,0
0.999464,0
0.999493,0
0.997887,0
0.604583,0
0.887377,0
0.915594,0
0.929169,0
0.830853,0
0.936035,0
0.917242,0
0.997916,0
0.931449,0
0.997974,0
0.831897,0
0.961655,0
0.965848,0
0.981093,0
0.649973,0
0.764271,0
0.72387,0
0.922254,0
0.544427,1
0.932657,0
0.743238,0
0.983567,0
0.994849,0
0.933556,0
0.922446,0
0.955073,0
0.997829,0
0.9524,0
0.810066,0
0.582426,0
0.579474,0
0.948886,0
0.734294,0
0.813724,0
0.890758,0
0.913157,0
0.584971,0
0.862879,1
0.947873,1
0.753162,0
0.872425,0
0.733788,0
0.913754,0
0.65142,0
0.949448,0
0.831247,0
0.872478,0
0.997296,0
0.694725,0
0.701808,1
0.787638,1
0.984015,0
0.918273,0
0.882472,0
0.866349,0
0.843034,0
0.920421,0
0.903523,0
0.726629,0
-0.224494,1
0.531922,0
0.490292,1
0.487666,0
0.927962,0
0.900938,1
0.971331,0
0.926554,0
0.736253,0
0.794577,0
0.38945,0
0.951445,0
0.723463,0
0.912464,0
0.924325,0
0.997014,0
0.408816,0
0.777302,0
0.488478,1
0.636769,0
0.813001,0
0.969756,0
0.878893,0
0.907563,0
0.931555,0
0.570423,0
0.854725,0
0.925992,0
0.923749,0
0.975467,0
0.740455,1
0.922588,0
0.546971,0
0.685098,1
0.953671,0
0.934738,0
0.35686,0
0.979431,0
0.991811,0
0.980051,0
0.971359,0
0.946552,0
0.633941,1
0.954901,0
0.906668,0
0.743842,0
0.826795,0
0.997974,0
0.930015,0
0.858729,0
0.421907,0
0.951501,0
0.954595,0
0.81831,0
0.988181,0
0.983089,0
0.984666,0
0.985143,0
0.965198,0
0.982641,0
0.944412,0
0.969277,0
0.962246,0
0.967366,0
0.937434,0
0.998994,0
0.988181,0
0.608235,1
0.978953,0
0.900565,0
0.924922,0
0.863554,1
0.976843,0
0.966239,0
0.923008,0
0.920762,1
0.515808,0
0.885322,0
0.9989,0
0.838497,0
0.510662,1
0.898092,0
0.965705,0
0.902648,0
0.847192,0
0.954061,0
0.583573,0
0.61924,0
0.97473,0
0.889428,0
0.457395,1
0.497145,0
0.999183,0
0.879272,1
0.834588,0
0.774381,0
0.743743,1
0.633642,1
0.788644,1
0.978346,0
-0.03028,1
0.896233,0
0.969728,0
0.003811,0
0.996961,0
0.947434,0
0.794066,0
0.768862,0
0.868932,0
0.194663,1
0.946861,0
0.983566,0
0.983509,0
0.999351,0
0.938111,1
0.835062,0
0.77918,0
0.857294,0
0.954455,0
0.824685,0
0.803333,0
0.833126,0
0.935721,0
0.912209,0
0.945368,0
0.918322,0
0.872837,0
0.784283,0
0.923458,0
0.904533,0
0.911703,0
0.872244,0
0.955607,0
0.945312,0
0.889402,1
0.914402,1
0.998994,0
0.988403,0
0.92249,0
0.992453,0
0.985592,0
0.9989,0
0.115935,0
0.679505,1
0.871598,0
0.98267,0
0.826142,0
0.361242,0
0.997801,0
0.996082,0
0.91617,0
0.950256,0
0.723692,0
0.230955,1
