@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-20,22-27'

@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.957698,0
0.313457,0
0.930123,0
0.70733,0
0.99715,0
0.707834,0
0.963877,0
0.996672,0
0.820829,0
0.821309,0
0.87118,0
0.792304,0
0.734319,0
0.624632,0
0.988591,0
0.706737,0
0.94867,0
0.961497,0
0.703506,0
0.997148,0
0.485652,0
-1,0
0.044115,0
0.018836,0
0.698289,1
0.956746,0
0.946775,0
0.990493,0
0.99905,0
0.999525,0
0.970531,0
0.97956,0
0.944896,0
0.93489,0
0.889277,1
0.894483,0
0.931082,0
0.990493,0
0.959124,0
0.995253,0
0.960549,0
0.998575,0
0.990493,0
0.988592,0
0.966739,0
0.940584,0
0.971484,0
0.944395,0
0.996672,0
0.996673,0
0.924924,0
0.827967,0
0.992396,0
0.934884,0
0.990494,0
0.029074,1
0.998591,0
0.988119,0
0.943442,0
0.769497,0
0.850775,0
0.959125,0
0.896392,0
0.611964,1
0.834644,0
0.782348,1
0.558733,1
0.966733,0
0.950104,0
0.826045,0
0.905442,0
0.555126,0
0.998574,0
0.98861,0
0.905427,0
0.97529,0
0.982418,0
0.975291,0
0.887861,1
0.685945,1
0.978612,1
0.988592,1
0.899715,1
0.996674,1
0.99905,1
0.93394,0
0.960555,0
0.999531,0
0.905898,0
0.879777,0
1,0
0.956274,0
0.875004,0
0.963878,0
0.812756,0
0.857898,0
0.893549,0
0.903094,0
0.981474,0
0.991447,0
0.97529,0
0.977662,0
0.999525,0
0.934418,0
0.939181,1
0.95437,0
0.954859,1
0.974381,1
0.777674,0
0.825577,0
0.678339,0
0.412228,0
0.999525,0
0.979585,0
0.861734,0
0.990969,0
0.967208,0
0.668369,0
0.910205,0
0.989102,0
0.913999,0
0.977662,0
0.958776,0
0.998099,0
0.989071,0
0.93489,0
0.91973,0
0.768667,0
0.698893,0
0.89356,0
0.921117,0
0.564258,0
0.997626,0
-0.061887,0
0.549126,1
0.999525,0
0.999525,0
0.999525,0
0.998099,0
0.630816,0
0.894964,0
0.921592,0
0.933932,0
0.842221,0
0.940596,0
0.923011,0
0.998099,0
0.936319,0
0.998099,0
0.843169,0
0.964353,0
0.968152,0
0.982413,0
0.673623,0
0.779973,0
0.743023,0
0.927272,0
0.57481,1
0.937261,0
0.760514,0
0.98479,0
0.995247,0
0.938217,0
0.927757,0
0.958173,0
0.9981,0
0.955801,0
0.82326,0
0.611038,0
0.607581,0
0.952472,0
0.751939,0
0.826052,0
0.898301,0
0.91921,0
0.612823,0
0.872159,1
0.951521,1
0.769512,0
0.881196,0
0.751463,0
0.91968,0
0.673969,0
0.952946,0
0.844369,0
0.881192,0
0.997624,0
0.715417,0
0.722072,1
0.802364,1
0.985267,0
0.92396,0
0.890709,0
0.875491,0
0.853627,0
0.925856,0
0.910179,0
0.744817,0
-0.145042,1
0.564091,0
0.525157,1
0.521595,0
0.932989,0
0.907805,1
0.973383,0
0.931558,0
0.753848,0
0.807982,0
0.428834,0
0.954848,0
0.74198,0
0.918245,0
0.929666,0
0.997631,0
0.44687,0
0.792346,0
0.523194,1
0.661852,0
0.825594,0
0.971959,0
0.887384,0
0.913982,0
0.936314,0
0.599014,0
0.864054,0
0.931085,0
0.929195,0
0.977184,0
0.757117,1
0.927752,0
0.577184,0
0.706387,1
0.957238,0
0.939161,0
0.396312,0
0.980989,0
0.992395,0
0.981462,0
0.973383,0
0.95009,0
0.657837,1
0.958179,0
0.913025,0
0.761523,0
0.838418,0
0.998099,0
0.934889,0
0.868363,0
0.459807,0
0.954846,0
0.957697,0
0.830328,0
0.989068,0
0.984315,0
0.98574,0
0.986216,0
0.96768,0
0.983838,0
0.948191,0
0.971483,0
0.964826,0
0.969579,0
0.942029,0
0.999534,0
0.989068,0
0.634691,1
0.980513,0
0.907322,0
0.930137,0
0.872623,1
0.978614,0
0.96863,0
0.92823,0
0.92634,1
0.548254,0
0.893064,0
0.99905,0
0.849871,0
0.542938,1
0.905452,0
0.968156,0
0.909221,0
0.857422,0
0.957222,0
0.610815,0
0.644056,0
0.976715,0
0.897375,0
0.49365,1
0.530655,0
0.999528,0
0.887358,1
0.849744,0
0.790579,0
0.761539,1
0.657339,1
0.803872,1
0.982776,0
0.051461,1
0.903034,0
0.971959,0
0.066875,0
0.997148,0
0.95318,0
0.808026,0
0.784783,0
0.877363,0
0.247083,1
0.950571,0
0.98479,0
0.984792,0
0.999526,0
0.942495,1
0.847072,0
0.794813,0
0.867452,0
0.957701,0
0.836524,0
0.816567,0
0.844105,0
0.940113,0
0.918255,0
0.949144,0
0.923467,0
0.881171,0
0.798487,0
0.928708,0
0.911129,0
0.91778,0
0.8807,0
0.958648,0
0.949146,0
0.896865,1
0.920149,1
0.999534,0
0.98955,0
0.928261,0
0.993353,0
0.986692,0
0.99905,0
0.174202,0
0.700616,1
0.880232,0
0.983838,0
0.837955,0
0.403977,0
0.9981,0
0.996678,0
0.926278,0
0.953904,0
0.741954,0
0.281954,1
