@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-25,27'

@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.91688,0
0.131348,0
-0.863661,0
-0.460841,0
-0.99434,0
-0.461647,0
-0.92891,0
-0.993399,0
-0.659995,0
-0.660855,0
-0.752396,0
-0.608803,0
-0.507186,0
-0.323855,0
-0.977412,0
-0.460039,0
-0.899362,0
-0.924279,0
-0.454396,0
-0.994341,0
-0.10913,0
1,0
0.447735,0
0.473704,0
-0.445555,1
-0.915031,0
-0.895684,0
-0.981167,0
-0.998113,0
-0.999056,0
-0.941909,0
-0.95962,0
-0.89201,0
-0.872782,0
-0.786127,1
-0.795953,0
-0.865482,0
-0.981167,0
-0.919652,0
-0.990572,0
-0.922427,0
-0.997169,0
-0.981167,0
-0.977412,0
-0.934475,0
-0.883759,0
-0.943769,0
-0.891093,0
-0.993398,0
-0.993398,0
-0.85365,0
-0.67292,0
-0.984927,0
-0.872782,0
-0.981167,0
0.464969,1
-0.997169,0
-0.976473,0
-0.889258,0
-0.568427,0
-0.71461,0
-0.919652,0
-0.799532,0
-0.303201,1
-0.685024,0
-0.591075,1
-0.219265,1
-0.934475,0
-0.902122,0
-0.669468,0
-0.816582,0
-0.214119,0
-0.997169,0
-0.977409,0
-0.816583,0
-0.95122,0
-0.965229,0
-0.95122,0
-0.783451,1
-0.424768,1
-0.957751,1
-0.977412,1
-0.805805,1
-0.993398,1
-0.998113,1
-0.870955,0
-0.922427,0
-0.999056,0
-0.817483,0
-0.768332,0
-1,0
-0.914108,0
-0.75947,0
-0.92891,0
-0.645409,0
-0.727744,0
-0.794164,0
-0.812086,0
-0.963359,0
-0.983046,0
-0.95122,0
-0.955885,0
-0.999056,0
-0.871869,0
-0.88101,1
-0.910416,0
-0.911338,1
-0.949356,1
-0.582665,0
-0.668606,0
-0.41205,0
-0.002182,0
-0.999056,0
-0.95962,0
-0.734768,0
-0.982107,0
-0.935404,0
-0.395445,0
-0.825588,0
-0.97835,0
-0.83281,0
-0.955885,0
-0.918727,0
-0.996226,0
-0.97835,0
-0.872781,0
-0.843668,0
-0.566751,0
-0.446358,0
-0.794163,0
-0.846388,0
-0.227383,0
-0.995283,0
0.553705,0
-0.204572,1
-0.999056,0
-0.999056,0
-0.999056,0
-0.996226,0
-0.333856,0
-0.796847,0
-0.847295,0
-0.870956,0
-0.698915,0
-0.883757,0
-0.850018,0
-0.996226,0
-0.875522,0
-0.996226,0
-0.700655,0
-0.929837,0
-0.937262,0
-0.96523,0
-0.404129,0
-0.586868,0
-0.521965,0
-0.858198,0
-0.244451,1
-0.877351,0
-0.552584,0
-0.96991,0
-0.990572,0
-0.87918,0
-0.859107,0
-0.917803,0
-0.996226,0
-0.913184,0
-0.664295,0
-0.301676,0
-0.296353,0
-0.906728,0
-0.537653,0
-0.669468,0
-0.803114,0
