@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.88932,0
0.209729,1
0.936383,1
0.835545,0
0.936211,1
0.697023,1
0.886009,1
0.999445,0
0.488389,1
0.925771,0
0.55227,1
0.917237,0
0.948449,1
0.776036,1
0.554212,1
0.132717,0
0.942717,1
0.967122,0
0.994791,0
0.634674,1
0.919759,0
0.946681,0
0.691882,1
0.925523,1
1,0
0.486015,1
0.949607,1
0.532733,1
0.958646,0
0.988062,0
0.931579,0
0.826511,0
0.934179,1
0.701475,1
-0.191439,1
0.988561,0
0.915237,1
0.865967,1
0.468774,1
0.882371,1
0.90281,0
-0.027561,0
0.749441,1
0.046425,1
0.97396,0
0.692446,0
0.592289,1
0.991938,0
0.61671,1
0.551113,1
0.49967,1
0.898293,0
0.749819,0
0.588313,0
0.810373,1
0.738716,1
0.983076,0
0.882189,1
0.970113,0
0.957093,0
0.957458,1
0.996538,0
0.75878,1
0.869261,1
0.739289,0
0.846511,0
0.928264,0
0.769224,0
0.908792,0
0.528876,1
0.924276,0
0.931754,0
0.922751,1
0.997065,0
0.952165,0
0.868792,0
0.568801,1
0.998062,0
0.874893,0
0.970142,0
0.996952,0
0.988561,0
0.999038,0
0.997395,0
0.996538,0
0.977621,1
0.949203,1
0.936547,1
0.654482,1
0.990857,0
-0.181317,1
0.641191,1
0.640625,1
0.988448,0
0.679947,1
0.727444,1
0.918203,0
0.931637,0
0.891314,0
0.857356,0
0.998062,0
0.507619,0
0.939672,1
0.865978,1
0.937208,0
0.94175,1
0.871434,0
0.990085,0
0.419977,0
0.882163,1
0.557208,1
0.956652,0
0.917968,1
0.983575,0
0.743227,1
0.520535,1
0.732345,0
0.882084,1
0.885932,1
0.988005,0
0.798661,0
0.956096,0
0.850845,0
0.999445,0
0.616391,1
0.688958,0
0.972107,0
0.884239,1
0.975456,0
0.641104,1
0.93322,0
0.893189,1
0.760469,1
0.836511,0
0.898437,1
0.501559,1
0.640888,1
0.793249,1
0.792731,1
0.875422,0
0.917581,1
0.771621,1
0.583553,1
0.997937,0
0.686568,1
0.990584,0
0.891872,1
0.692878,0
0.68061,1
0.734478,1
0.218428,1
0.953345,1
0.988062,1
0.963133,0
0.931724,0
0.553977,1
0.527936,1
0.950313,1
