@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.889311,0
0.209969,1
0.938136,1
0.835421,0
0.936142,1
0.681235,1
0.890903,1
0.999474,0
0.517154,1
0.925593,0
0.545561,1
0.917152,0
0.933894,1
0.776088,1
0.584089,1
0.133047,0
0.947546,1
0.967032,0
0.994823,0
0.614707,1
0.919817,0
0.946661,0
0.691753,1
0.93823,1
1,0
0.428925,1
0.939648,1
0.525633,1
0.95859,0
0.988128,0
0.931488,0
0.826545,0
0.956236,1
0.687728,1
0.498342,1
0.988569,0
0.896146,1
0.866086,1
0.468681,1
0.882485,1
0.902675,0
-0.026723,0
0.749472,1
0.064612,1
0.974007,0
0.692733,0
0.592359,1
0.991972,0
0.616519,1
0.547122,1
0.499356,1
0.898396,0
0.749562,0
0.588436,0
0.824864,1
0.697041,1
0.98306,0
0.882304,1
0.970106,0
0.957095,0
0.952656,1
0.996597,0
0.729312,1
0.876351,1
0.73935,0
0.846621,0
0.928257,0
0.769233,0
0.908857,0
0.527455,1
0.924301,0
0.931715,0
0.922633,1
0.997124,0
0.952113,0
0.868828,0
0.555017,1
0.998092,0
0.874894,0
0.970221,0
0.996982,0
0.988569,0
0.999093,0
0.997453,0
0.996597,0
0.977665,1
0.948983,1
0.939058,1
0.642446,1
0.99081,0
0.175609,1
0.641347,1
0.640917,1
0.988401,0
0.675352,1
0.72841,1
0.918291,0
0.931715,0
0.891275,0
0.857519,0
0.998092,0
0.507509,0
0.939629,1
0.866096,1
0.937195,0
0.909978,1
0.871557,0
0.99012,0
0.419722,0
0.882153,1
0.506446,1
0.956654,0
0.917331,1
0.983587,0
0.696537,1
0.492,1
0.732346,0
0.883891,1
0.867837,1
0.987527,0
0.798712,0
0.956156,0
0.850835,0
0.999474,0
0.613864,1
0.689148,0
0.972156,0
0.893294,1
0.975474,0
0.641248,1
0.933181,0
0.887019,1
0.755773,1
0.836537,0
0.897991,1
0.499479,1
0.641058,1
0.793636,1
0.79289,1
0.875304,0
0.919236,1
0.77154,1
0.532936,1
0.997992,0
0.686824,1
0.990647,0
0.891861,1
0.693034,0
0.671197,1
0.694747,1
0.13048,1
0.944152,1
0.988128,1
0.96316,0
0.931601,0
0.553947,1
0.522673,1
0.949133,1
0.519801,1
0.95973,0
0.579305,0
0.903231,1
0.807289,0
0.921253,0
0.550921,1
0.933986,1
0.927759,0
0.600871,1
0.817111,0
0.886787,1
0.461269,0
0.784402,0
0.60837,1
0.792578,1
0.24538,1
0.686532,1
0.667286,1
0.90669,0
0.860827,0
0.95264,0
0.954962,0
0.771539,1
0.55594,0
0.900654,0
0.943604,1
0.893392,1
0.88336,1
0.525727,0
0.946279,0
0.850515,0
0.433233,0
0.707312,1
0.938622,1
0.999173,0
0.730167,0
0.666647,1
-0.128301,1
0.591395,0
0.812689,0
0.812191,0
0.937608,0
0.518792,1
0.962604,0
0.984085,0
0.968142,0
0.980183,0
-0.050384,1
0.87546,1
0.758143,1
0.659237,1
0.367699,0
0.793693,1
0.990149,0
0.980626,0
0.974035,0
0.500735,1
0.065803,1
0.637391,1
0.94669,0
0.981727,1
0.542028,0
0.521601,1
0.998161,1
0.921755,1
0.259553,1
0.606462,0
0.966705,0
0.866047,1
0.926618,0
0.981622,0
0.942622,1
0.925525,1
0.838648,0
0.677475,1
0.657388,0
0.927672,0
0.869261,1
0.962359,1
0.869385,0
0.926149,0
0.949238,1
0.878192,1
0.99012,0
0.343446,1
0.909622,0
0.955258,0
0.910565,1
0.986106,0
0.972099,0
0.997228,1
0.875246,0
0.923861,0
0.956315,1
0.976056,0
0.774152,0
0.573895,1
0.683948,1
0.401179,0
0.721581,0
0.974035,0
0.687511,1
0.947774,0
0.920201,1
0.246481,1
0.693325,1
0.95049,1
0.759003,1
0.88395,1
0.977523,0
0.954078,0
0.763581,1
0.540236,1
0.843602,0
0.599328,1
0.914308,0
0.924156,0
0.919996,1
0.997095,0
0.998394,0
0.990051,1
0.991072,1
0.873579,0
0.790763,1
0.981481,0
0.67604,1
0.926792,0
0.999067,0
0.897896,1
0.913751,0
0.889644,1
0.525492,1
0.526857,1
0.955131,0
0.898391,1
0.881839,0
0.779489,0
0.7015,0
0.888199,0
0.920113,0
0.608825,1
0.996373,0
0.940741,0
0.909766,0
-0.113617,0
0.87483,1
0.817609,0
0.947924,1
0.978032,0
0.997425,0
0.98447,0
0.987796,0
0.990092,0
0.829853,0
0.885017,1
0.988042,0
0.881231,1
0.947666,1
0.922308,0
0.532647,1
0.97227,1
0.995103,0
0.99726,0
0.905064,0
0.233488,1
0.889839,0
0.593744,0
0.52107,1
0.932025,1
0.508958,1
0.96659,0
0.881868,1
0.933914,1
0.699944,1
0.739692,0
0.716826,1
0.890031,1
0.542345,1
0.998975,0
0.937665,0
0.984028,0
0.886472,1
0.885297,0
-0.081267,1
0.934293,0
0.502055,1
0.930576,0
0.305505,1
0.8283,0
0.862856,1
0.956071,0
-0.015274,1
0.683412,1
0.861912,0
0.520662,1
0.904813,0
0.985523,0
0.819274,0
0.817111,0
0.342446,1
0.961993,0
0.314949,1
0.658736,1
0.817458,0
0.915773,0
0.887643,0
0.729201,0
0.991871,1
-1,0
0.915188,0
0.996626,0
0.952197,1
0.590851,1
0.994591,1
0.948013,1
0.997951,0
0.374467,0
0.830621,0
0.637472,1
0.957181,0
0.836775,1
0.998533,0
0.868134,1
0.999032,1
0.683485,1
0.652103,0
0.787567,1
0.788689,0
0.888113,0
0.900683,0
0.998092,0
0.877158,1
0.882011,1
0.658144,0
-0.099941,1
0.998064,0
0.941795,0
0.728958,1
0.99939,0
0.902403,1
0.80348,0
0.280459,0
0.965067,0
0.999254,0
0.893404,1
0.699668,1
0.52168,1
0.49191,1
0.946797,1
0.764268,1
0.690137,1
0.52459,1
0.933124,0
0.979516,0
0.381897,0
0.866337,1
0.872801,1
0.728019,1
0.498121,0
0.8832,1
0.915242,0
0.741871,0
0.536064,1
0.9424,1
0.544607,1
0.95247,1
0.962163,0
0.829605,1
0.999004,0
0.719512,1
0.900569,0
0.955629,0
0.998035,0
0.763313,1
0.901181,0
0.93877,0
0.937704,1
0.970604,0
0.562949,1
0.947998,1
0.953579,0
0.917622,0
0.999558,0
0.93069,0
0.341988,1
0.997492,1
0.330008,1
0.536818,1
0.874455,0
0.944228,0
0.910644,1
0.945694,0
0.948214,0
0.655396,1
0.997979,0
0.698886,1
0.95859,0
0.834307,0
0.894909,1
0.982262,1
0.703712,1
0.978961,0
0.686193,1
0.745264,1
0.985053,0
0.639145,1
0.580888,1
0.948836,0
0.448105,1
0.950705,0
0.937796,1
0.54118,0
0.766166,1
0.99953,0
0.782091,0
0.705586,1
0.891008,1
0.657069,1
