@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.942364,0
0.761236,1
0.942364,1
0.917663,0
0.942364,1
0.884406,1
0.971735,1
0.958831,0
0.904225,1
0.917665,0
0.888163,1
0.92591,0
0.921606,1
0.87159,1
0.814973,1
0.695364,0
0.928557,1
0.942381,0
0.909429,0
0.956445,1
0.975299,0
0.958831,0
0.860027,1
0.970119,1
0.967065,0
0.757385,1
0.940189,1
0.889278,1
0.950597,0
0.991766,0
0.892963,0
0.942365,0
0.980369,1
0.928814,1
0.764727,1
0.975299,0
0.975299,1
0.946833,1
0.860035,1
0.983533,1
0.91768,0
0.983532,0
0.843564,1
0.755537,1
0.942367,0
0.983533,0
0.785941,1
0.950597,0
0.851798,1
0.87743,1
0.798282,1
0.975299,0
0.86826,0
0.925897,0
0.92472,1
0.883585,1
0.967065,0
0.975927,1
0.967065,0
0.950597,0
0.723863,1
0.991766,0
0.87455,1
0.96735,1
0.93413,0
0.983533,0
0.967065,0
0.934142,0
0.975299,0
0.861168,1
0.975299,0
0.958831,0
0.925914,1
1,0
0.950597,0
0.925896,0
0.827796,1
0.991766,0
0.950597,0
1,0
0.958831,0
0.975299,0
0.843559,0
0.950597,0
0.991766,0
0.991766,1
0.909442,1
0.942364,1
0.960641,1
0.901195,0
0.772537,1
0.958831,1
0.975301,1
0.925907,0
0.887996,1
0.828317,1
-1,0
0.958831,0
0.93414,0
0.967065,0
0.991766,0
0.86003,0
0.942364,1
0.936535,1
0.958831,0
0.910456,1
0.991766,0
0.991766,0
0.818872,0
0.951324,1
0.771533,1
0.967065,0
0.951719,1
0.975299,0
0.845919,1
0.870181,1
0.92591,0
0.956323,1
0.98284,1
0.810624,0
0.958832,0
0.967065,0
0.909429,0
0.958831,0
0.845486,1
0.958842,0
0.983532,0
0.952783,1
0.93413,0
0.961341,1
0.950597,0
0.975299,1
0.887675,1
0.950597,0
0.966489,1
0.808636,1
0.96808,1
0.869063,1
0.867961,1
0.925897,0
0.961085,1
0.884745,1
0.73673,1
0.810624,0
0.887767,1
1,0
0.958831,1
0.93413,0
0.889893,1
0.941361,1
0.674406,1
0.932529,1
0.991766,1
0.975299,0
0.925896,0
0.892962,1
0.86166,1
0.909434,1
0.814894,1
0.991766,0
0.88474,0
0.93413,1
0.851793,0
0.958831,0
0.883233,1
0.956818,1
0.967065,0
0.872534,1
0.950599,0
0.975299,1
0.983532,0
0.860029,0
0.854276,1
0.821151,1
0.775963,1
0.814728,1
0.918334,1
0.925896,0
0.917663,0
0.958831,0
0.909445,0
0.851621,1
0.769458,0
0.909444,0
0.92296,1
0.947471,1
