@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.979012,0
0.730599,1
0.970487,1
0.975814,0
0.970391,1
0.966664,1
0.975378,1
0.965192,0
0.923614,1
0.975814,0
0.916967,1
0.951551,0
0.985843,1
0.847643,1
0.77309,1
0.601194,0
0.989261,1
0.987729,0
0.895069,0
0.925765,1
0.980699,0
0.970391,0
0.896347,1
0.97465,1
0.986191,0
0.756401,1
0.970917,1
0.900116,1
0.980699,0
0.994882,0
0.937038,0
0.954872,0
0.97798,1
0.923734,1
0.759682,1
0.987729,0
0.975139,1
0.970208,1
0.908493,1
0.953845,1
0.980699,0
0.982586,0
0.827947,1
0.711369,1
0.940601,0
0.917171,0
0.762526,1
0.94576,0
0.897399,1
0.881841,1
0.819297,1
0.975469,0
0.953185,0
0.914244,0
0.986287,1
0.902466,1
0.984199,0
0.957008,1
0.980699,0
0.959727,0
0.809873,1
0.987729,0
0.897672,1
0.96146,1
0.923124,0
0.975814,0
0.992934,0
0.944305,0
0.980699,0
0.882778,1
0.989447,0
0.982568,0
0.984199,1
1,0
0.980699,0
0.935301,0
0.793906,1
1,0
0.960367,0
0.972485,0
0.947508,0
0.987729,0
0.835463,0
0.947821,0
0.994882,0
0.989447,1
0.989447,1
0.971875,1
0.950048,1
0.91961,0
0.733359,1
0.96269,1
0.920131,1
0.94931,0
0.950016,1
0.890816,1
-0.661124,0
0.950982,0
0.948262,0
0.940656,0
1,0
0.86519,0
0.971957,1
0.961242,1
0.970391,0
0.948313,1
0.992934,0
0.996451,0
0.911352,0
0.971004,1
0.76914,1
0.980699,0
0.978503,1
0.987729,0
0.886156,1
0.884539,1
0.911875,0
0.971647,1
0.959511,1
0.899521,0
0.979175,0
0.946073,0
0.931878,0
0.965192,0
0.900647,1
0.88944,0
0.973795,0
0.964305,1
0.933507,0
0.950577,1
0.973795,0
0.972568,1
0.928776,1
0.960367,0
0.979318,1
0.828593,1
0.937958,1
0.805117,1
0.889595,1
0.979175,0
0.976537,1
0.905294,1
0.779978,1
0.793411,0
0.950201,1
0.992934,0
0.972485,1
0.917692,0
0.932347,1
0.981414,1
0.655815,1
0.926794,1
0.984199,1
0.973795,0
0.977232,0
0.929063,1
0.898557,1
0.985707,1
0.865524,1
0.977232,0
0.901097,0
0.982568,1
0.887479,0
0.932933,0
0.905533,1
0.973628,1
0.985992,0
0.920911,1
0.960367,0
0.976113,1
0.961611,0
0.910922,0
0.926569,1
0.832904,1
0.715251,1
0.869694,1
0.963544,1
0.967018,0
0.857942,0
0.989447,0
0.945005,0
0.902662,1
0.883477,0
0.915251,0
0.988247,1
0.980474,1
0.968283,1
0.86359,0
0.977232,0
0.982568,0
0.880395,0
0.955006,1
0.970724,1
0.869927,0
0.929285,0
0.923428,1
0.718368,1
0.804369,0
0.937998,0
0.967018,0
0.989447,0
0.789498,1
0.982568,0
0.992934,0
0.977232,0
0.851515,0
-0.173329,1
0.95774,1
0.865133,1
0.808796,1
0.982568,0
0.801845,1
0.992934,0
0.968477,0
0.94931,0
0.920173,1
0.721915,1
0.896673,1
0.977232,0
0.986531,1
0.725904,0
0.874417,1
0.968447,1
0.98027,1
0.789214,1
0.861149,0
0.992934,0
0.958226,1
0.987729,0
0.996451,0
0.987317,1
0.981164,1
-0.257643,0
0.897669,1
0.96269,0
0.979175,0
0.959645,1
0.835035,1
0.979175,0
