@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.926362,0
0.186659,1
0.835822,1
0.774091,0
0.812142,1
0.746464,1
0.798654,1
0.972912,0
0.527447,1
0.774091,0
0.438037,1
0.751073,0
0.86963,1
0.564303,1
0.257851,1
-0.112016,0
0.861113,1
0.920226,0
0.872523,0
0.581092,1
0.905596,0
0.83145,0
0.458748,1
0.885608,1
0.986295,0
0.194619,1
0.855463,1
0.493412,1
0.885686,0
1,0
0.873375,0
0.784337,0
0.888838,1
0.629595,1
-0.216289,1
0.939202,0
0.879001,1
0.902711,1
0.417539,1
0.752879,1
0.861848,0
0.979918,0
0.52183,1
-0.493905,1
0.925739,0
0.583981,0
0.341166,1
0.91261,0
0.319446,1
0.468161,1
0.1633,1
0.932688,0
0.598705,0
0.494851,0
0.818285,1
0.499257,1
0.918976,0
0.762213,1
0.898769,0
0.878584,0
0.840401,1
0.959858,0
0.526895,1
0.830142,1
0.562171,0
0.825251,0
0.9124,0
0.643146,0
0.905596,0
0.305861,1
0.898769,0
0.845086,0
0.888013,1
0.979918,0
0.879433,0
0.83145,0
0.334544,1
0.972912,0
0.76413,0
0.820127,0
0.872523,0
0.939202,0
0.979918,0
0.979918,0
1,0
0.91261,1
0.851119,1
0.879618,1
0.695268,1
0.892132,0
-0.785529,1
0.723784,1
0.586812,1
0.9124,0
0.582301,1
0.525328,1
0.693441,0
0.892554,0
0.730755,0
0.84001,0
0.972912,0
0.070754,0
0.885686,1
0.871972,1
0.83145,0
0.827419,1
0.932688,0
0.952789,0
0.414556,0
0.821065,1
0.313853,1
0.898769,0
0.885893,1
0.939202,0
0.471674,1
0.363465,1
0.421462,0
0.820476,1
0.835649,1
0.393666,0
0.824816,0
0.81258,0
0.798066,0
0.972912,0
0.297234,1
0.363714,0
0.872523,0
0.844918,1
0.885475,0
0.65213,1
0.838712,0
0.827764,1
0.57327,1
0.76413,0
0.828173,1
-0.100798,1
0.702245,1
0.574032,1
0.575021,1
0.800271,0
0.885598,1
0.549159,1
0.263469,1
0.939822,0
0.670605,1
0.939822,0
0.784337,1
0.663446,0
0.579225,1
0.739927,1
0.136254,1
0.883119,1
0.939822,1
0.865377,0
0.841307,0
0.510831,1
0.374118,1
0.833736,1
0.046417,1
0.899821,0
0.306588,0
0.826558,1
0.5157,0
