@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.984531,0
0.911984,1
0.979315,1
0.969216,0
0.989237,1
0.973629,1
0.978522,1
0.992261,0
0.931027,1
0.963036,0
0.931442,1
0.978661,0
0.98924,1
0.924014,1
0.718666,1
0.741846,0
0.984977,1
0.99685,0
0.953693,0
0.948925,1
0.987592,0
0.983059,0
0.937536,1
0.985951,1
1,0
0.690175,1
0.969509,1
0.94762,1
0.981426,0
1,0
0.950606,0
0.967743,0
0.99241,1
0.958197,1
0.814422,1
0.99685,0
0.984604,1
0.975531,1
0.928792,1
0.96961,1
0.987592,0
0.998418,0
0.913927,1
0.85934,1
0.958329,0
0.951263,0
0.699546,1
0.99376,0
0.955175,1
0.936429,1
0.663871,1
0.982971,0
0.946817,0
0.94999,0
0.994717,1
0.907091,1
0.995297,0
0.959265,1
0.99376,0
0.96139,0
0.90329,1
0.984531,0
0.900675,1
0.962883,1
0.953855,0
0.969216,0
0.995297,0
0.891019,0
0.987592,0
0.903432,1
0.97526,0
0.978381,0
0.989134,1
0.998418,0
0.987592,0
0.933661,0
0.849569,1
0.998418,0
0.978661,0
0.980112,0
0.978381,0
0.99685,0
0.998418,0
0.986106,0
1,0
0.99376,1
0.99376,1
0.980812,1
0.9596,1
0.950606,0
0.851293,1
0.951028,1
0.952551,1
0.976809,0
0.928971,1
0.912603,1
-1,0
0.979896,0
0.964842,0
0.956857,0
0.998418,0
0.909949,0
0.97526,1
0.973719,1
0.983059,0
0.974384,1
0.989134,0
0.99069,0
0.923814,0
0.963353,1
0.676479,1
0.987592,0
0.988368,1
0.99685,0
0.931482,1
0.924995,1
0.951295,0
0.962733,1
0.970001,1
0.966196,0
0.970704,0
0.967743,0
0.932151,0
0.998418,0
0.949392,1
0.939238,0
0.99073,0
0.962331,1
0.955223,0
0.951849,1
0.966035,0
0.970227,1
0.952533,1
0.978661,0
0.989918,1
0.703076,1
0.951316,1
0.869262,1
0.870281,1
0.976881,0
0.985023,1
0.86687,1
0.638297,1
0.95217,0
0.969694,1
0.995297,0
0.980112,1
0.946817,0
0.915071,1
0.969758,1
0.626644,1
0.963119,1
0.995297,1
0.99073,0
0.979896,0
0.94633,1
0.923948,1
0.984156,1
0.724873,1
0.979896,0
0.946622,0
0.99073,1
0.935204,0
0.931023,0
0.944499,1
0.976448,1
0.986066,0
0.95486,1
0.960098,0
0.97686,1
0.970704,0
0.961559,0
0.952946,1
0.892588,1
0.876882,1
0.865351,1
0.966526,1
0.981578,0
0.920099,0
0.99376,0
0.895326,0
0.931987,1
0.909949,0
0.931023,0
0.991242,1
0.987756,1
0.961486,1
0.907707,0
0.986066,0
0.972207,0
0.914223,0
0.971449,1
0.979352,1
0.979952,0
0.961196,0
0.960698,1
0.87421,1
0.903537,0
0.964996,0
0.981578,0
0.987592,0
0.645066,1
0.978381,0
0.982971,0
0.992237,0
0.898202,0
0.746637,1
0.969321,1
0.882433,1
0.73212,1
0.984555,0
0.862033,1
0.958329,0
0.979896,0
0.964488,0
0.951966,1
0.713428,1
0.948299,1
0.986066,0
0.995068,1
0.867273,0
0.928523,1
0.987502,1
0.98642,1
0.600352,1
0.928604,0
0.989134,0
0.969216,1
0.99685,0
0.99685,0
0.983019,1
0.989189,1
-0.61861,0
0.922153,1
0.963415,0
0.976881,0
0.967179,1
0.930741,1
0.989237,0
0.955377,0
0.984907,1
0.967262,1
0.99069,0
0.639292,1
0.975396,0
0.612481,0
0.989314,1
0.976809,0
0.99685,0
0.995249,1
0.971034,0
0.96139,0
0.992517,1
0.981426,0
0.976881,0
0.658284,1
0.96122,1
0.94896,0
0.964068,0
0.964488,0
0.949637,1
0.976881,0
0.986758,1
0.846008,1
0.921525,1
0.988027,1
0.867393,1
0.969216,1
0.99685,0
0.995297,0
0.905759,1
0.942026,1
0.940085,0
0.946351,1
0.969216,0
0.995297,0
0.991455,1
0.992261,0
0.979952,0
0.992501,1
0.991307,1
0.966285,0
0.873544,1
0.946013,0
0.961215,1
0.964528,0
0.979952,0
0.986611,1
0.981578,0
0.978949,1
0.654636,1
0.871631,1
0.979896,0
0.988034,1
0.995297,0
0.818028,0
0.950298,0
0.895326,0
0.893601,0
0.788756,1
0.983059,0
0.955377,0
0.952462,0
0.912939,0
0.969216,1
0.964068,0
0.991946,1
0.983059,0
0.96139,0
0.855425,0
0.915243,0
0.99376,0
0.939238,0
0.979021,1
0.981426,0
0.969485,1
0.988603,1
0.975806,0
0.930896,1
0.86284,1
0.99685,0
0.979896,0
0.958741,0
0.867483,1
0.969216,0
0.916074,0
0.882925,1
0.947655,1
0.90112,1
0.99685,0
0.958353,1
0.983533,1
0.956399,1
0.92637,0
0.963259,1
0.974568,1
0.923484,1
0.99685,0
0.97526,0
0.967557,0
0.975387,1
0.986066,0
-0.189764,1
0.966285,0
0.850104,1
0.970704,0
0.835895,1
0.947727,0
0.989748,1
0.982971,0
0.184464,1
0.970278,1
0.969216,0
0.952551,1
0.995297,0
0.995297,0
0.835024,0
0.951028,0
0.927547,1
0.995297,0
0.84564,1
0.962272,1
0.932151,0
0.955377,0
0.979896,0
0.966285,0
0.989069,1
0.937022,0
0.909611,0
0.99069,0
0.977656,1
0.947193,1
0.993601,1
0.97933,1
0.987592,0
0.892107,0
0.963415,0
0.946354,1
0.962931,0
0.974268,1
0.989134,0
0.969216,1
0.99069,1
0.942895,1
0.94011,0
0.871527,1
0.974401,0
0.935187,0
0.960607,0
0.998418,0
0.978709,1
0.964129,1
0.976881,0
0.816313,1
0.989134,0
0.972473,0
0.891081,1
0.992261,0
0.986888,1
0.927712,0
0.946265,0
0.944502,0
0.992261,0
0.977622,1
0.973785,1
0.935248,1
0.929464,1
0.978251,1
0.90641,1
0.972556,1
0.910443,1
0.94896,0
0.99069,0
0.392797,0
0.99685,1
0.990281,1
0.975836,1
0.942502,0
0.969239,1
0.835288,0
0.960098,0
0.886245,1
0.993672,1
0.952551,1
0.959864,1
0.972473,0
0.989347,1
0.99069,0
0.9121,1
0.976881,0
0.995297,0
0.998418,0
0.913258,1
0.932151,0
0.93389,0
0.986437,1
0.987592,0
0.722409,1
0.986196,1
0.989134,0
0.960098,0
0.992261,0
0.989237,0
0.907145,1
0.991544,1
0.900018,1
0.919819,1
0.972473,0
0.970704,0
0.984554,1
0.99376,0
0.989134,0
0.941287,1
0.987592,0
0.962043,1
0.962931,0
0.964842,0
0.983059,1
0.993946,1
0.920034,1
-0.302577,0
0.962721,1
0.978381,1
0.995297,0
0.936585,1
0.940974,1
0.907459,0
0.689415,1
0.969095,0
0.990636,1
0.813665,0
0.927961,1
0.998418,0
0.946273,0
0.963699,1
0.979506,1
0.916094,1
0.970221,1
0.992261,0
0.991525,1
0.952551,0
0.969537,1
0.945445,0
0.973726,0
0.951185,1
0.989532,1
0.980109,1
0.99376,0
0.96222,1
0.935187,0
0.99685,0
0.921453,0
0.989876,1
0.96769,1
0.953855,0
0.978086,1
0.932984,0
-0.364497,1
0.97979,1
0.99073,0
0.958329,0
0.935807,0
0.961668,1
0.989488,1
0.938122,0
0.995205,1
0.983059,0
0.923697,1
0.992237,0
0.967743,0
0.020111,1
0.986298,0
0.966285,0
0.66883,1
0.978381,0
0.935187,0
0.937878,1
0.964528,0
0.970648,0
0.927665,1
0.747852,1
0.976809,0
0.981315,1
0.900064,0
0.911688,1
0.979896,0
0.937536,0
0.940569,1
0.975396,1
0.969095,0
0.972207,0
0.551179,1
0.887686,1
0.634739,1
0.971219,1
0.993729,1
0.954964,0
0.658012,0
0.984531,0
0.942006,0
0.992261,0
0.990984,1
0.928246,1
0.990344,1
0.934793,1
0.981578,0
0.995187,1
0.029309,1
0.984092,1
0.87768,1
0.718961,1
0.783958,1
0.959236,1
0.902975,0
0.962721,0
0.967743,0
0.944658,1
0.858626,0
0.987755,1
0.915575,1
0.970648,0
0.976225,1
0.99376,0
0.849053,0
0.986066,1
0.853452,0
0.491883,0
0.966808,0
0.896793,0
0.925968,0
0.987552,1
0.969527,1
0.937715,1
0.821523,1
0.942681,0
0.986066,0
0.963964,1
0.95786,0
0.97055,1
0.973011,0
0.930092,1
0.974378,1
0.938326,0
0.976881,0
0.879747,0
0.968573,1
0.847221,1
-0.345998,1
0.942676,1
0.989134,0
0.988583,1
0.99249,1
0.890036,1
0.978394,1
0.99685,0
0.983167,1
0.660838,1
0.951613,1
0.981578,0
0.930931,1
0.965431,0
0.99685,0
0.937878,0
0.947654,1
0.983059,1
0.719571,0
0.972207,0
0.668642,1
0.771092,1
0.975396,0
0.995297,0
0.964528,0
0.902016,1
0.915366,1
