@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P270.0-S1-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.954028,0
0.258009,0
0.924195,0
0.683056,0
0.99682,0
0.683624,0
0.96081,0
0.996399,0
0.806084,0
0.806598,0
0.860527,0
0.775193,0
0.712502,0
0.593749,0
0.987654,0
0.682651,0
0.944399,0
0.958238,0
0.679055,0
0.996866,0
0.443977,0
-1,0
-0.03097,0
-0.057671,0
0.673515,1
0.953143,0
0.942245,0
0.989664,0
0.998971,0
0.999486,0
0.967964,0
0.97788,0
0.939903,0
0.929195,0
0.880016,1
0.885722,0
0.925369,0
0.98943,0
0.955524,0
0.994575,0
0.95721,0
0.998316,0
0.989664,0
0.98756,0
0.963661,0
0.935559,0
0.969088,0
0.939722,0
0.996352,0
0.996305,0
0.918346,0
0.812652,0
0.991769,0
0.929435,0
0.989711,0
-0.0538,1
0.998131,0
0.986951,0
0.938549,0
0.750211,0
0.838168,0
0.955524,0
0.88773,0
0.577811,1
0.820889,0
0.763631,1
0.522225,1
0.963802,0
0.945561,0
0.811332,0
0.897258,0
0.518691,0
0.99841,0
0.987654,0
0.89755,0
0.973014,0
0.980591,0
0.972967,0
0.878523,1
0.659668,1
0.976851,1
0.987654,1
0.891428,1
0.996352,1
0.998924,1
0.928358,0
0.957067,0
0.999345,0
0.897724,0
0.869732,0
1,0
0.952676,0
0.864295,0
0.960906,0
0.796937,0
0.845782,0
0.884352,0
0.894209,0
0.97924,0
0.990413,0
0.973014,0
0.975634,0
0.999486,0
0.928681,0
0.93416,1
0.950571,0
0.950894,1
0.97125,1
0.759261,0
0.81102,0
0.651722,0
0.358893,0
0.999439,0
0.977833,0
0.849651,0
0.990226,0
0.964364,0
0.640936,0
0.902741,0
0.987564,0
0.906806,0
0.97554,0
0.952552,0
0.997942,0
0.988027,0
0.929435,0
0.911983,0
0.748772,0
0.670344,0
0.884111,0
0.914569,0
0.527119,0
0.997194,0
-0.145616,0
0.51155,1
0.999439,0
0.999439,0
0.999439,0
0.997895,0
0.600481,0
0.886187,0
0.914938,0
0.928503,0
0.829115,0
0.935655,0
0.916529,0
0.997942,0
0.930882,0
0.997942,0
0.830143,0
0.961325,0
0.965487,0
0.980967,0
0.646696,0
0.761212,0
0.721804,0
0.921061,0
0.539851,1
0.931958,0
0.740709,0
0.983444,0
0.994856,0
0.933132,0
0.921818,0
0.954638,0
0.997895,0
0.952114,0
0.80845,0
0.578746,0
0.575325,0
0.948465,0
0.731248,0
0.811687,0
0.889787,0
0.91203,0
0.5808,0
0.861505,1
0.947533,1
0.750473,0
0.871324,0
0.730946,0
0.912832,0
0.647266,0
0.948884,0
0.82912,0
0.871324,0
0.997334,0
0.691844,0
0.699145,1
0.78578,1
0.982997,0
0.916985,0
0.881658,0
0.865254,0
0.841453,0
0.919712,0
0.90279,0
0.723805,0
-0.234463,1
0.527753,0
0.484734,1
0.482383,0
0.927378,0
0.900219,1
0.971193,0
0.925932,0
0.733462,0
0.792154,0
0.382395,0
0.950989,0
0.720669,0
0.911386,0
0.923633,0
0.997334,0
0.401682,0
0.774986,0
0.481186,1
0.633197,0
0.811071,0
0.96965,0
0.878108,0
0.90666,0
0.930882,0
0.566144,0
0.852665,0
0.92532,0
0.923167,0
0.975213,0
0.737165,1
0.921672,0
0.5423,0
0.682029,1
0.953045,0
0.934064,0
0.347749,0
0.979235,0
0.991675,0
0.979843,0
0.971193,0
0.945894,0
0.629637,1
0.95459,0
0.905826,0
0.741631,0
0.825002,0
0.997942,0
0.929435,0
0.857392,0
0.415525,0
0.951133,0
0.954219,0
0.81576,0
0.988168,0
0.983024,0
0.984567,0
0.985082,0
0.965021,0
0.98251,0
0.943932,0
0.969136,0
0.961934,0
0.967078,0
0.936958,0
0.999345,0
0.988168,0
0.604702,1
0.978862,0
0.899656,0
0.924389,0
0.862169,1
0.976851,0
0.966049,0
0.922332,0
0.920226,1
0.510757,0
0.884179,0
0.998924,0
0.835521,0
0.505529,1
0.897501,0
0.965535,0
0.901762,0
0.845566,0
0.953609,0
0.578919,0
0.614858,0
0.974511,0
0.888857,0
0.451997,1
0.492009,0
0.999439,0
0.877861,1
0.827682,0
0.772023,0
0.741422,1
0.629236,1
0.786718,1
0.973554,0
-0.046044,1
0.894978,0
0.969602,0
-0.006951,0
0.996913,0
0.948461,0
0.792103,0
0.76697,0
0.867261,0
0.186102,1
0.946456,0
0.983397,0
0.98335,0
0.999439,0
0.937616,1
0.834105,0
0.777659,0
0.856165,0
0.954219,0
0.822794,0
0.801202,0
0.831272,0
0.935141,0
0.911483,0
0.944913,0
0.91714,0
0.871424,0
0.781927,0
0.922797,0
0.903769,0
0.910969,0
0.87086,0
0.9552,0
0.944913,0
0.888343,1
0.91354,1
0.999486,0
0.988171,0
0.921522,0
0.992751,0
0.985455,0
0.998971,0
0.105595,0
0.676028,1
0.870296,0
0.982462,0
0.824336,0
0.354844,0
0.997895,0
0.996352,0
0.909788,0
0.94949,0
0.720404,0
0.222877,1
0.661714,1
0.666384,1
0.680469,1
0.884214,1
0.87948,1
0.888202,1
0.174828,1
-0.047054,1
0.576618,1
0.490663,1
0.596877,1
0.778606,1
0.751304,1
0.762963,1
0.52214,1
0.518233,1
0.87859,1
0.878865,1
0.891309,1
0.743867,1
0.685335,1
0.643775,1
0.998482,1
0.985126,1
0.992273,1
0.946162,1
0.9882,1
0.983547,1
0.882929,1
0.886266,1
0.891754,1
0.988659,1
0.950377,1
0.978007,1
0.954139,1
0.977018,1
0.997019,1
0.942293,1
0.913062,1
0.936889,1
0.90156,1
0.947114,1
0.952388,1
0.943088,1
0.52388,1
0.464426,1
0.598142,1
0.512162,1
0.526518,1
0.564432,1
0.888513,1
0.864762,1
0.878143,1
0.943397,1
0.941756,1
0.703611,1
0.629585,1
0.786603,1
0.770391,1
-0.117546,1
-0.007577,1
-0.214717,1
0.501486,1
0.492229,1
0.482431,1
0.882173,1
0.881714,1
0.45498,1
0.519411,1
0.483407,1
0.824985,1
0.680937,1
0.722418,1
0.747261,1
0.661711,1
0.722,1
0.667678,1
0.656746,1
0.585124,1
0.562391,1
0.555813,1
0.8712,1
0.870024,1
0.884399,1
0.936302,1
0.928417,1
0.45748,1
0.50865,1
0.532796,1
0.516173,1
0.457715,1
0.885133,1
0.879425,1
0.877981,1
0.747608,1
0.729624,1
0.749799,1
0.670233,1
0.600484,1
0.639176,1
0.78639,1
0.785834,1
0.770688,1
0.169054,1
0.165519,1
0.033624,1
0.291493,1
0.389097,1
0.917155,1
0.947449,1
0.935532,1
0.890783,1
0.896082,1
0.913996,1
0.919164,1
0.899222,1
0.646706,1
0.637872,1
0.40474,1
0.41018,1
0.286969,1
