@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P270.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.979316,0
0.984491,0
0.979316,0
0.974147,0
0.989655,0
0.979317,0
0.989655,0
0.999993,0
0.994824,0
0.994825,0
0.989655,0
0.989656,0
0.989656,0
0.97932,0
0.999993,0
0.984486,0
0.994824,0
0.989655,0
0.98449,0
0.994824,0
0.984486,0
0.98449,0
0.984488,0
0.999993,0
0.994825,1
0.994824,0
0.984486,0
0.994824,0
0.999993,0
0.999993,0
0.984486,0
0.999993,0
0.95347,0
0.963809,0
0.984486,1
0.989655,0
0.994824,0
0.968978,0
0.974147,0
0.968978,0
0.989655,0
0.984486,0
0.994824,0
0.989655,0
0.963809,0
0.984486,0
0.994824,0
0.989655,0
0.994824,0
0.989655,0
0.958639,0
0.875932,0
0.999993,0
0.989655,0
0.999993,0
0.669165,1
0.963809,0
0.979316,0
0.974147,0
0.95864,0
0.963809,0
0.974147,0
0.984489,0
0.782893,1
0.984486,0
0.912123,1
0.963815,1
0.979316,0
0.95347,0
0.95347,0
0.958645,0
0.968981,0
0.994824,0
0.999993,0
0.989657,0
0.974149,0
0.95864,0
0.968979,0
0.989655,1
0.948302,1
0.999993,1
0.999993,1
0.994824,1
0.994824,1
0.994824,1
0.984488,0
0.974149,0
0.984486,0
0.953471,0
0.984491,0
0.999993,0
0.999993,0
0.95347,0
0.999993,0
0.95347,0
0.95347,0
0.95347,0
0.906948,0
0.922455,0
0.963809,0
0.974149,0
0.979316,0
0.999993,0
0.963809,0
0.999994,1
0.994824,0
0.974147,1
0.891439,1
0.989661,0
0.974147,0
0.97415,0
0.529601,0
0.994824,0
0.994824,0
0.92763,0
0.999993,0
0.984486,0
0.974148,0
0.994824,0
0.932798,0
0.989657,0
