@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P270.0-S1-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.917785,0
0.878729,0
0.952836,0
0.917692,0
0.947508,0
0.862313,0
0.960367,0
0.994882,0
0.967018,0
0.937998,0
0.967018,0
0.944305,0
0.941191,0
0.861149,0
0.994882,0
0.917171,0
0.977232,0
0.977232,0
0.88944,0
0.99129,0
0.961611,0
0.884308,0
0.886857,0
0.982586,0
0.950082,1
0.977232,0
0.952836,0
0.996451,0
0.952891,0
0.973886,0
0.973795,0
0.982568,0
0.860215,0
0.937038,0
0.975814,1
0.979012,0
0.985992,0
0.992934,0
0.959727,0
0.895069,0
0.980699,0
0.947821,0
0.996451,0
0.96322,0
0.949438,0
0.954487,0
0.972485,0
0.960367,0
0.996451,0
0.987729,0
0.932933,0
0.825158,0
0.94576,0
0.950982,0
0.980699,0
0.476711,1
0.793411,0
0.94931,0
0.954872,0
0.967018,0
0.939438,0
0.96322,0
0.948262,0
0.762526,1
0.954872,0
0.905294,1
0.873991,1
0.971957,0
0.947508,0
0.931878,0
0.915251,0
0.90254,0
0.975469,0
0.899521,0
0.935301,0
0.94931,0
0.94931,0
0.940601,0
0.953845,1
0.899446,1
0.989447,1
0.984199,1
0.970391,1
0.961611,1
0.9703,1
0.961611,0
0.94576,0
0.869927,0
0.931878,0
0.92513,0
0.986191,0
0.958024,0
0.935301,0
0.94931,0
0.921804,0
0.931878,0
0.938755,0
0.861359,0
0.851515,0
0.91961,0
0.94931,0
0.935301,0
0.965192,0
0.885498,0
0.970391,1
0.980699,0
0.947508,1
0.69982,1
0.893658,0
0.93617,0
0.869528,0
0.551158,0
0.965192,0
0.769766,0
0.904189,0
0.992934,0
0.942242,0
0.875527,0
0.878729,0
0.750459,0
