@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P270.0-S1-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.859921,0
0.480422,0
0.859921,0
0.663446,0
0.872523,0
0.363714,0
0.785225,0
1,0
0.818161,0
0.571001,0
0.84001,0
0.685636,0
0.665806,0
0.296401,0
1,0
0.583981,0
0.899821,0
0.899821,0
0.363714,0
0.979918,0
0.859921,0
0.316133,0
0.353607,0
0.979918,0
0.593075,1
0.885475,0
0.852516,0
0.952789,0
0.959858,0
0.972912,0
0.879858,0
0.872523,0
0.879858,0
0.873375,0
0.818161,1
0.926362,0
0.871884,0
0.939822,0
0.878584,0
0.872523,0
0.885686,0
0.966089,0
0.952789,0
0.91261,0
0.818161,0
0.905596,0
0.820127,0
0.800271,0
0.959858,0
0.959858,0
0.725386,0
0.765252,0
0.91261,0
0.892554,0
0.91261,0
0.203685,1
0.939822,0
0.932688,0
0.81258,0
0.84001,0
0.780445,0
0.919809,0
0.730755,0
0.341166,1
0.784337,0
0.549159,1
0.306588,1
0.892132,0
0.845086,0
0.798066,0
0.690183,0
0.653975,0
0.932688,0
0.393666,0
0.800271,0
0.925739,0
0.918976,0
0.925739,0
0.752879,1
0.536432,1
0.91261,1
0.939822,1
0.845302,1
0.859921,1
0.959858,1
0.806105,0
0.905596,0
0.972912,0
0.804566,0
0.722066,0
0.986295,0
0.918976,0
0.83145,0
0.9124,0
0.730755,0
0.798066,0
0.820782,0
0.298444,0
0.85842,0
0.892132,0
0.925739,0
0.859921,0
0.972912,0
0.721149,0
0.812142,1
0.879433,0
0.832535,1
0.885475,1
0.572489,0
0.730755,0
0.516084,0
0.306588,0
0.972912,0
0.859921,0
0.718396,0
0.939822,0
0.892554,0
0.556052,0
0.350223,0
0.9124,0
0.804566,0
0.925739,0
0.832535,0
0.972912,0
0.9124,0
0.841307,0
0.670636,0
0.219594,0
0.374316,0
0.692046,0
0.751073,0
-0.185734,0
0.892554,0
0.072803,0
0.273156,1
0.972912,0
0.979918,0
0.966089,0
0.939822,0
0.39696,0
0.798066,0
0.733036,0
0.818379,0
0.69623,0
0.867512,0
0.76413,0
0.972912,0
0.838712,0
0.972912,0
0.774091,0
0.845086,0
0.932688,0
0.945903,0
0.656703,0
0.643146,0
0.438135,0
0.899821,0
0.510831,1
0.785225,0
0.549159,0
0.918976,0
0.952789,0
0.835788,0
0.89382,0
0.899821,0
0.892132,0
0.899821,0
0.598583,0
-0.10333,0
0.494851,0
0.865377,0
0.502215,0
0.643384,0
0.7593,0
0.685636,0
0.227102,0
0.832535,1
0.851119,1
0.593075,0
0.706882,0
0.562171,0
0.798066,0
0.800271,0
0.898769,0
-0.011776,0
0.800271,0
0.979918,0
0.62335,0
0.753443,1
0.567151,1
0.932688,0
0.81258,0
0.847027,0
0.812142,0
0.825251,0
0.745305,0
0.926362,0
0.421462,0
-0.936135,1
-0.611862,0
-0.114397,1
0.449337,0
0.806105,0
0.826558,1
0.932688,0
0.9124,0
0.751073,0
0.663446,0
0.557552,0
0.838712,0
0.716903,0
0.811265,0
0.798066,0
0.899821,0
0.414556,0
0.712532,0
0.260205,1
0.171971,0
0.757499,0
0.932688,0
0.906015,0
0.765252,0
0.603343,0
0.306588,0
0.84001,0
0.812142,0
0.774091,0
0.885686,0
0.815208,1
0.898769,0
0.009362,0
0.458748,1
0.697971,0
0.85842,0
0.85842,0
0.9124,0
0.939202,0
0.899821,0
0.872523,0
0.859921,0
0.723784,1
0.81258,0
0.905596,0
0.598705,0
0.752879,0
0.972912,0
0.845086,0
0.791766,0
0.262595,0
0.885686,0
0.898769,0
0.725386,0
0.939202,0
0.939202,0
0.918976,0
0.9124,0
0.885686,0
0.918976,0
0.898769,0
0.898769,0
0.865377,0
0.885475,0
0.485635,0
0.972912,0
0.939202,0
0.319446,1
0.926362,0
0.861848,0
0.90853,0
0.90853,1
0.926362,0
0.920226,0
0.89382,0
0.888013,1
0.479377,0
0.82536,0
0.945903,0
0.541357,0
0.528829,1
0.651125,0
0.926362,0
0.906015,0
0.845086,0
0.865377,0
0.510831,0
0.77141,0
0.885475,0
0.774091,0
0.417539,1
0.070754,0
0.972912,0
0.824816,1
0.349518,0
0.496145,0
0.52183,1
0.586812,1
0.575833,1
0.892554,0
-1,1
0.932688,0
0.892132,0
0.443612,0
0.979918,0
0.832535,0
0.824816,0
0.794642,0
0.932688,0
0.186659,1
0.918976,0
0.932688,0
0.899821,0
0.966089,0
0.885686,1
0.634293,0
0.723555,0
0.460861,0
0.906015,0
0.722066,0
0.5157,0
0.76413,0
0.83145,0
0.804566,0
0.83145,0
0.905596,0
0.820127,0
0.69681,0
0.83145,0
0.78567,0
0.804566,0
0.76413,0
0.898769,0
0.878584,0
0.784337,1
0.885475,1
0.979918,0
0.898769,0
0.785225,0
0.721149,0
0.939822,0
0.952789,0
-0.112016,0
0.630692,1
0.777995,0
0.932688,0
0.629491,0
0.206633,0
0.91261,0
0.852516,0
0.693441,0
0.750847,0
0.571001,0
-0.026991,1
0.582301,1
0.591615,1
0.733947,1
0.793898,1
0.77249,1
0.788384,1
0.218714,1
0.197661,1
0.311484,1
0.287568,1
0.32864,1
0.554673,1
0.54117,1
0.540341,1
0.288037,1
0.511112,1
0.804905,1
0.796604,1
0.789359,1
0.548472,1
0.533501,1
0.539068,1
0.917211,1
0.938725,1
0.915456,1
0.904743,1
0.949471,1
0.891466,1
0.837677,1
0.842158,1
0.865896,1
0.935323,1
0.869507,1
0.88183,1
0.912121,1
0.909646,1
0.946892,1
0.83417,1
0.813147,1
0.815151,1
0.828104,1
0.868772,1
0.871297,1
0.853656,1
0.308358,1
0.382236,1
0.294902,1
0.427365,1
0.513584,1
0.343168,1
0.833109,1
0.806299,1
0.826375,1
0.831447,1
0.862671,1
0.806773,1
0.717529,1
0.568359,1
0.492059,1
0.148072,1
-0.3148,1
0.238495,1
-0.033794,1
-0.023894,1
-0.107377,1
0.825097,1
0.823862,1
0.358635,1
0.265427,1
0.270339,1
0.830835,1
0.757969,1
0.767572,1
0.465107,1
0.530567,1
0.486791,1
0.723056,1
0.682818,1
0.495891,1
0.495039,1
0.308553,1
0.858357,1
0.861854,1
0.882199,1
0.885744,1
0.888008,1
0.466168,1
0.310003,1
0.527367,1
0.414388,1
0.512293,1
0.836185,1
0.824432,1
0.824187,1
0.548565,1
0.466528,1
0.545404,1
0.589769,1
0.546135,1
0.541187,1
0.574019,1
0.573932,1
0.568809,1
0.165326,1
-0.542914,1
-0.478218,1
0.122599,1
0.227787,1
0.885676,1
0.868102,1
0.886761,1
0.805185,1
0.80552,1
0.886169,1
0.887688,1
0.854208,1
0.589648,1
0.642974,1
0.043635,1
0.303406,1
0.236497,1
