@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-6,8-10'

@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.894457,0
0.246465,1
0.939353,1
0.8431,0
0.939135,1
0.675163,1
0.895564,1
0.999528,0
0.502679,1
0.929143,0
0.559434,1
0.921071,0
0.947234,1
0.79827,1
0.575445,1
0.173311,0
0.942542,1
0.968612,0
0.99525,0
0.6153,1
0.923466,0
0.949128,0
0.706178,1
0.941148,1
1,0
0.364716,1
0.948328,1
0.547684,1
0.960534,0
0.988599,0
0.934857,0
0.83456,0
0.960893,1
0.683534,1
0.281299,1
0.989063,0
0.911145,1
0.872395,1
0.49321,1
0.887817,1
0.907279,0
0.018881,0
0.761343,1
0.125935,1
0.975281,0
0.706708,0
0.611581,1
0.992398,0
0.634389,1
0.561969,1
0.52417,1
0.903029,0
0.761319,0
0.607319,0
0.864594,1
0.768102,1
0.983834,0
0.887418,1
0.971474,0
0.959115,0
0.962318,1
0.99668,0
0.734094,1
0.876963,1
0.75136,0
0.853587,0
0.931539,0
0.779882,0
0.913008,0
0.556573,1
0.92774,0
0.934864,0
0.926297,1
0.997155,0
0.95435,0
0.87497,0
0.609078,1
0.998102,0
0.880671,0
0.971486,0
0.997152,0
0.989063,0
0.999532,0
0.997631,0
0.99668,0
0.978612,1
0.951483,1
0.941769,1
0.693959,1
0.991436,0
0.114951,1
0.657724,1
0.657261,1
0.989059,0
0.686291,1
0.712657,1
0.925371,0
0.934878,0
0.896352,0
0.864053,0
0.998102,0
0.530289,0
0.942469,1
0.872368,1
0.940096,0
0.952176,1
0.877359,0
0.990496,0
0.44661,0
0.887725,1
0.562608,1
0.958639,0
0.9209,1
0.984309,0
0.735146,1
0.543478,1
0.744705,0
0.888387,1
0.881865,1
0.988542,0
0.80794,0
0.958171,0
0.85785,0
0.999528,0
0.620898,1
0.703367,0
0.973383,0
0.893239,1
0.976707,0
0.657328,1
0.936286,0
0.895554,1
0.767436,1
0.844068,0
0.901449,1
0.523726,1
0.657513,1
0.802844,1
0.802545,1
0.881133,0
0.924207,1
0.782253,1
0.528131,1
0.998582,0
0.710115,1
0.990976,0
0.896834,1
0.707162,0
0.696614,1
0.725753,1
0.04004,1
0.963037,1
0.988599,1
0.964823,0
0.934851,0
0.574505,1
0.535447,1
0.953683,1
0.578717,1
0.961503,0
0.598749,0
0.907757,1
0.816463,0
0.924892,0
0.566068,1
0.923753,1
0.931064,0
0.613455,1
0.825525,0
0.907343,1
0.485666,0
0.794596,0
0.580458,1
0.803382,1
0.260696,1
0.76645,1
0.683195,1
0.911085,0
0.867368,0
0.954829,0
0.957193,0
0.773284,1
0.576851,0
0.905384,0
0.946678,1
0.898336,1
0.88874,1
0.547878,0
0.948668,0
0.857378,0
0.459453,0
0.704404,1
0.940303,1
0.999528,0
0.742782,0
0.689215,1
-0.081213,1
0.610615,0
0.821254,0
0.820782,0
0.940558,0
0.533692,1
0.964337,0
0.984785,0
0.969576,0
0.981457,0
-0.130521,1
0.886237,1
0.761512,1
0.618806,1
0.396284,0
0.803647,1
0.9905,0
0.981468,0
0.975281,0
0.531342,1
0.033501,1
0.658057,1
0.949132,0
0.981434,1
0.563557,0
0.553538,1
0.998144,1
0.921876,1
