@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.885722,0
0.186102,1
0.935789,1
0.830143,0
0.93416,1
0.655355,1
0.88592,1
0.999439,0
0.475249,1
0.923167,0
0.535101,1
0.914569,0
0.929739,1
0.78472,1
0.504544,1
0.105595,0
0.943198,1
0.966049,0
0.994575,0
0.576318,1
0.91714,0
0.944913,0
0.682029,1
0.931644,1
1,0
0.23208,1
0.946624,1
0.511388,1
0.95721,0
0.987654,0
0.929195,0
0.820889,0
0.952854,1
0.641995,1
0.221623,1
0.988168,0
0.909275,1
0.861783,1
0.451997,1
0.878523,1
0.899656,0
-0.057671,0
0.741422,1
-0.144909,1
0.972967,0
0.682651,0
0.577811,1
0.991769,0
0.604702,1
0.533694,1
0.48414,1
0.894978,0
0.741631,0
0.575325,0
0.822813,1
0.746141,1
0.98251,0
0.878033,1
0.969136,0
0.955524,0
0.969076,1
0.996305,0
0.749555,1
0.875059,1
0.730946,0
0.841453,0
0.925932,0
0.761212,0
0.905826,0
0.514523,1
0.921672,0
0.929435,0
0.920226,1
0.996913,0
0.950571,0
0.864295,0
0.512876,1
0.997942,0
0.87086,0
0.969088,0
0.99682,0
0.988168,0
0.999486,0
0.997334,0
0.996399,0
0.976851,1
0.947533,1
0.936415,1
0.63876,1
0.990413,0
-0.111913,1
0.629637,1
0.629236,1
0.988027,0
0.661714,1
0.670489,1
0.909788,0
0.929435,0
0.88773,0
0.852665,0
0.997942,0
0.492009,0
0.937616,1
0.861717,1
0.935141,0
0.924625,1
0.867261,0
0.989664,0
0.401682,0
0.879977,1
0.534782,1
0.9552,0
0.918257,1
0.983024,0
