@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.885722,0.984531,0.889311,0.894457,0.926362,0
0.186102,0.911984,0.209969,0.246465,0.186659,1
0.935789,0.979315,0.938136,0.939353,0.835822,1
0.830143,0.969216,0.835421,0.8431,0.774091,0
0.93416,0.989237,0.936142,0.939135,0.812142,1
0.655355,0.973629,0.681235,0.675163,0.746464,1
0.88592,0.978522,0.890903,0.895564,0.798654,1
0.999439,0.992261,0.999474,0.999528,0.972912,0
0.475249,0.931027,0.517154,0.502679,0.527447,1
0.923167,0.963036,0.925593,0.929143,0.774091,0
0.535101,0.931442,0.545561,0.559434,0.438037,1
0.914569,0.978661,0.917152,0.921071,0.751073,0
0.929739,0.98924,0.933894,0.947234,0.86963,1
0.78472,0.924014,0.776088,0.79827,0.564303,1
0.504544,0.718666,0.584089,0.575445,0.257851,1
0.105595,0.741846,0.133047,0.173311,-0.112016,0
0.943198,0.984977,0.947546,0.942542,0.861113,1
0.966049,0.99685,0.967032,0.968612,0.920226,0
0.994575,0.953693,0.994823,0.99525,0.872523,0
0.576318,0.948925,0.614707,0.6153,0.581092,1
0.91714,0.987592,0.919817,0.923466,0.905596,0
0.944913,0.983059,0.946661,0.949128,0.83145,0
0.682029,0.937536,0.691753,0.706178,0.458748,1
0.931644,0.985951,0.93823,0.941148,0.885608,1
1,1,1,1,0.986295,0
0.23208,0.690175,0.428925,0.364716,0.194619,1
0.946624,0.969509,0.939648,0.948328,0.855463,1
0.511388,0.94762,0.525633,0.547684,0.493412,1
0.95721,0.981426,0.95859,0.960534,0.885686,0
0.987654,1,0.988128,0.988599,1,0
0.929195,0.950606,0.931488,0.934857,0.873375,0
0.820889,0.967743,0.826545,0.83456,0.784337,0
