@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P583.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.989655,0
0.963814,1
0.989753,1
0.984486,0
0.999994,1
0.984838,1
0.993542,1
0.994824,0
0.974387,1
0.979317,0
0.964645,1
0.994829,0
0.997069,1
0.962294,1
0.867836,1
0.839752,0
0.99349,1
1,0
0.968978,0
0.980323,1
0.994824,0
0.994824,0
0.974148,1
0.990629,1
0.999993,0
0.732354,1
0.982621,1
0.983058,1
0.989655,0
0.999993,0
0.963809,0
0.984486,0
0.998182,1
0.986055,1
0.87956,1
0.999993,0
0.994824,1
0.987607,1
0.968981,1
0.989655,1
0.994831,0
0.999993,0
0.953472,1
0.929348,1
0.968979,0
0.984486,0
0.782893,1
0.999993,0
0.994826,1
0.968347,1
0.84507,1
0.989655,0
0.974147,0
0.984486,0
0.992575,1
0.920539,1
0.999993,0
0.981497,1
0.999993,0
0.974147,0
0.973533,1
0.989655,0
0.920389,1
0.984466,1
0.984486,0
0.984486,0
0.999993,0
0.927629,0
0.994824,0
0.947112,1
0.984486,0
0.989655,0
0.994831,1
0.999993,0
0.994824,0
0.95347,0
0.836489,1
0.999993,0
0.994824,0
0.994824,0
0.989655,0
0.999993,0
0.999993,0
0.989655,0
0.999993,0
0.999993,1
0.999999,1
0.993042,1
0.98595,1
0.963809,0
0.933206,1
0.974147,1
0.984486,1
0.98449,0
0.993736,1
0.948491,1
-1,0
0.989655,0
0.984489,0
0.974147,0
0.999993,0
0.96898,0
0.984486,1
0.989108,1
0.994824,0
0.978653,1
0.994824,0
0.994824,0
0.963814,0
0.975949,1
0.735312,1
0.994824,0
0.994825,1
0.999993,0
0.954206,1
0.964644,1
0.98966,0
0.977631,1
0.988273,1
0.999993,0
0.984486,0
0.984486,0
0.95347,0
0.999993,0
0.963649,1
0.98449,0
0.999993,0
0.978704,1
0.968978,0
0.983042,1
0.979316,0
0.9906,1
0.987163,1
0.994824,0
0.997373,1
