@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.86,-0.942387,-0.935223,-0.942149,-1,-0.957999,0.929656,-0.979328,0.954028,0.979316,0.964528,0.921139,0.942364,0.955572,0.9577,0.955483,0.859921,0.917785,-0.983732,0.933037,0.957698,0.954565,-0.957764,0.957271,-0.957336,-0.91688,0.916879,0
-0.5,-0.934156,-0.198381,-0.958678,-0.828571,-0.318075,-0.783748,-0.984496,0.258009,0.984491,0.946265,0.858036,0.934144,0.280459,0.313097,0.279986,0.480422,0.878729,-0.352797,0.556366,0.313457,0.266042,-0.312624,0.307234,-0.306756,0.131348,-0.131348,0
-0.86,-0.975309,-0.935223,-0.975207,-1,-0.930628,0.929656,-0.979328,0.924195,0.979316,0.964528,0.954795,0.975299,0.926792,0.930129,0.92668,0.859921,0.952836,-0.970308,0.952062,0.930123,0.92532,-0.930369,0.929474,-0.929717,-0.863661,0.863661,0
-0.7,-0.934156,-0.425101,-0.966942,-0.714286,-0.709297,0.772734,-0.97416,0.683056,0.974147,0.946817,0.887143,0.93413,0.693034,0.707162,0.692878,0.663446,0.917692,-0.780551,0.668434,0.70733,0.686159,-0.706524,0.704623,-0.70398,-0.460841,0.460841,0
-0.88,-0.958848,-0.951417,-0.966942,-0.942857,-0.997168,1,-0.989664,0.99682,0.989655,0.978381,0.941261,0.958831,0.996982,0.997152,0.996952,0.872523,0.947508,-0.991131,0.956883,0.99715,0.99673,-0.996169,0.997059,-0.996089,-0.99434,0.99434,0
-0.38,-0.934156,-0.376518,-0.958678,-0.828571,-0.709769,0.313176,-0.979328,0.683624,0.979317,0.932984,0.842159,0.934132,0.693532,0.707645,0.693344,0.363714,0.862313,-0.781884,0.639113,0.707834,0.686487,-0.706835,0.70494,-0.704123,-0.461647,0.461647,0
-0.8,-0.975309,-0.894737,-0.991736,-0.885714,-0.964134,0.905142,-0.989664,0.96081,0.989655,0.972473,0.945141,0.975299,0.962163,0.963872,0.962136,0.785226,0.960367,-0.988543,0.937979,0.963877,0.961176,-0.963936,0.963469,-0.963534,-0.92891,0.92891,0
-1,-0.99177,-1,-0.991736,-1,-0.996697,1,-1,0.996399,0.999993,1,0.995072,0.991766,0.996597,0.99668,0.996538,1,0.994882,-0.98795,1,0.996672,0.996485,-0.997011,0.996645,-0.996979,-0.993399,0.993399,0
-0.84,-0.967078,-0.684211,-0.991736,-0.828571,-0.822086,0.83212,-0.994832,0.806084,0.994824,0.981578,0.943113,0.967065,0.812191,0.820782,0.812087,0.818161,0.967018,-0.891353,0.819335,0.820829,0.808073,-0.820639,0.819239,-0.819094,-0.659995,0.659995,0
-0.6,-0.967078,-0.659919,-1,-0.771429,-0.822558,0.419714,-0.994832,0.806598,0.994825,0.964996,0.906419,0.967066,0.812689,0.821254,0.812617,0.571001,0.937998,-0.892607,0.8113,0.821309,0.80853,-0.821068,0.81959,-0.819403,-0.660855,0.660855,0
-0.84,-0.99177,-0.88664,-0.991736,-1,-0.872109,0.703962,-0.989664,0.860527,0.989655,0.975396,0.968426,0.991767,0.865081,0.871183,0.864924,0.84001,0.967018,-0.929889,0.933279,0.87118,0.862439,-0.871412,0.870038,-0.870268,-0.752396,0.752396,0
-0.7,-0.975309,-0.700405,-0.991736,-0.885714,-0.793771,0.17054,-0.989664,0.775193,0.989656,0.965431,0.92967,0.975302,0.782339,0.792264,0.782182,0.685636,0.944305,-0.86275,0.828186,0.792304,0.777758,-0.792215,0.790407,-0.790358,-0.608803,0.608803,0
-0.68,-0.975309,-0.668016,-0.991736,-0.885714,-0.736196,0.112172,-0.989664,0.712502,0.989656,0.964068,0.92667,0.975302,0.721581,0.73427,0.721381,0.665806,0.941191,-0.804296,0.810533,0.734319,0.715903,-0.73423,0.731929,-0.731889,-0.507186,0.507185,0
-0.3,-0.950617,-0.408907,-0.966942,-0.885714,-0.627183,-0.44478,-0.979328,0.593749,0.97932,0.928604,0.849671,0.950606,0.606462,0.624461,0.606179,0.296401,0.861149,-0.691854,0.660431,0.624632,0.598038,-0.623981,0.621029,-0.620545,-0.323855,0.323855,0
-1,-0.99177,-1,-0.991736,-1,-0.988674,1,-1,0.987654,0.999993,1,0.995072,0.991766,0.988128,0.988599,0.988062,1,0.994882,-0.987392,1,0.988591,0.987879,-0.988929,0.988498,-0.988831,-0.977412,0.977412,0
-0.58,-0.983539,-0.716599,-0.983471,-1,-0.708825,0.708084,-0.984496,0.682651,0.984486,0.951263,0.920729,0.983533,0.692733,0.706708,0.692446,0.583981,0.917171,-0.774398,0.832018,0.706737,0.686696,-0.70676,0.704079,-0.704132,-0.460039,0.460039,0
-0.9,-0.99177,-0.846154,-0.991736,-1,-0.949033,0.9193,-0.994832,0.944399,0.994824,0.986066,0.978193,0.991766,0.946279,0.948668,0.946182,0.899821,0.977232,-0.985263,0.909936,0.94867,0.944806,-0.948603,0.948187,-0.948121,-0.899362,0.899362,0
-0.9,-0.99177,-0.927126,-0.991736,-1,-0.961774,0.92217,-0.989664,0.958238,0.989655,0.979896,0.978193,0.991766,0.95973,0.961503,0.959643,0.899821,0.977232,-0.985706,0.956883,0.961497,0.95876,-0.96171,0.961126,-0.961335,-0.924279,0.924279,0
-0.38,-0.958848,-0.449393,-0.983471,-0.828571,-0.705521,-0.580636,-0.984496,0.679055,0.98449,0.939238,0.868175,0.958842,0.689148,0.703367,0.688958,0.363714,0.88944,-0.776127,0.691361,0.703506,0.682251,-0.702863,0.700626,-0.700118,-0.454396,0.454396,0
-0.98,-0.99177,-0.975709,-0.991736,-1,-0.997168,0.989796,-0.994832,0.996866,0.994824,0.992261,0.991636,0.991766,0.997095,0.997155,0.997037,0.979918,0.99129,-0.989549,0.985539,0.997148,0.996903,-0.99731,0.997113,-0.99727,-0.994341,0.994341,0
-0.86,-0.983539,-0.935223,-0.983471,-1,-0.489382,0.929604,-0.984496,0.443977,0.984486,0.970704,0.963221,0.983532,0.461269,0.485666,0.460807,0.859921,0.961611,-0.53428,0.956843,0.485652,0.45254,-0.485917,0.481417,-0.48167,-0.10913,0.10913,0
-0.34,-0.950617,-0.643725,-0.983471,-0.771429,1,-0.585936,-0.984496,-1,0.98449,0.937022,0.854518,0.950608,-1,-1,-1,0.316133,0.884308,1,0.792261,-1,-1,1,-1,1,1,-1,0
-0.36,-0.967078,-0.676113,-0.983471,-0.885714,-0.050967,-0.114,-0.984496,-0.03097,0.984488,0.938122,0.874364,0.96707,-0.000538,0.044059,-0.001249,0.353607,0.886857,-0.053654,0.809809,0.044115,-0.017125,-0.044164,0.035928,-0.036032,0.447735,-0.447735,0
