@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-18,20-27'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.983732,0
-0.352797,0
-0.970308,0
-0.780551,0
-0.991131,0
-0.781884,0
-0.988543,0
-0.98795,0
-0.891353,0
-0.892607,0
-0.929889,0
-0.86275,0
-0.804296,0
-0.691854,0
-0.987392,0
-0.774398,0
-0.985263,0
-0.985706,0
-0.776127,0
-0.989549,0
-0.53428,0
1,0
-0.053654,0
-0.023708,0
-0.771466,1
-0.771466,1
-0.98589,0
-0.985742,0
-0.99074,0
-0.989053,0
-0.988529,0
-0.990115,0
-0.990218,0
-0.985576,0
-0.977512,0
-0.953335,1
-0.951643,0
-0.976291,0
-0.989687,0
-0.986304,0
-0.991053,0
-0.987358,0
-0.988519,0
-0.99074,0
-0.990015,0
-0.993509,0
-0.976959,0
-0.992434,0
-0.984575,0
-0.989536,0
-0.989535,0
-0.977598,0
-0.894329,0
-0.990359,0
-0.976181,0
-0.991264,0
-0.037284,1
-0.989568,0
-0.990481,0
-0.982668,0
-0.840772,0
-0.918841,0
-0.9868,0
-0.955005,0
-0.679178,1
-0.679178,1
-0.679178,1
-0.679178,1
-0.907506,0
-0.854375,1
-0.623226,1
-0.991498,0
-0.987331,0
-0.893368,0
-0.964551,0
-0.613153,0
-0.989577,0
-1,0
-0.961435,0
-0.99236,0
-0.992281,0
-0.992353,0
-0.953526,1
-0.757651,1
-0.992623,1
-0.990021,1
-0.956837,1
-0.991646,1
-0.989054,1
-0.979284,0
-0.988312,0
-0.988527,0
-0.960603,0
-0.94455,0
-0.988002,0
-0.986157,0
-0.937115,0
-0.9875,0
-0.883105,0
-0.923455,0
-0.953436,0
-0.966863,0
-0.990502,0
-0.990278,0
-0.99236,0
-0.9898,0
-0.988529,0
-0.977662,0
-0.986375,1
-0.985403,0
-0.989958,1
-0.990403,1
-0.853878,0
-0.89458,0
-0.749025,0
-0.459975,0
-0.988529,0
-0.990094,0
-0.930524,0
-0.991309,0
-0.989599,0
-0.738704,0
-0.969675,0
-0.9921,0
-0.970443,0
-0.990319,0
-0.986589,0
-0.989042,0
-0.992164,0
-0.980303,0
-0.972529,0
-0.846768,0
-0.769763,0
-0.956787,0
-0.974662,0
-0.629254,0
-0.990614,0
0.059609,0
-0.611626,1
-0.988529,0
-0.988529,0
-0.988529,0
-0.98957,0
-0.69948,0
-0.954306,0
-0.975859,0
-0.977064,0
-0.911801,0
-0.98444,0
-0.973813,0
-0.989041,0
-0.982029,0
-0.989042,0
-0.912721,0
-0.98972,0
-0.98841,0
-0.990738,0
-0.746575,0
-0.852893,0
-0.821158,0
-0.969994,0
-0.640043,1
-0.640043,1
-0.979855,0
-0.835189,0
-0.992161,0
-0.990537,0
-0.98174,0
-0.975134,0
-0.986949,0
-0.990097,0
-0.988446,0
-0.89782,0
-0.680373,0
-0.675148,0
-0.987023,0
-0.824573,0
-0.895623,0
-0.959158,0
-0.969947,0
-0.680769,0
-0.937083,1
-0.986596,1
-0.841993,0
-0.946563,0
-0.824079,0
-0.970761,0
-0.742158,0
-0.986263,0
-0.927741,0
-0.945883,0
-0.989029,0
-0.789635,0
-0.797231,1
-0.797231,1
-0.797231,1
-0.87826,1
-0.87826,1
-0.991694,0
-0.970864,0
-0.955571,0
-0.941666,0
-0.922431,0
-0.973944,0
-0.966615,0
-0.817902,0
0.151469,1
-0.629605,0
-0.588932,1
-0.588932,1
-0.581873,0
-0.979652,0
-0.965659,1
-0.965659,1
-0.991404,0
-0.97702,0
-0.827533,0
-0.877601,0
-0.479097,0
-0.987569,0
-0.815788,0
-0.967315,0
-0.976676,0
-0.990609,0
-0.498356,0
-0.866516,0
-0.583873,1
-0.583873,1
-0.735671,0
-0.897246,0
-0.992053,0
-0.95241,0
-0.967639,0
-0.979276,0
-0.665765,0
-0.924087,0
-0.977625,0
-0.979972,0
-0.990763,0
-0.826325,1
-0.973394,0
-0.642767,0
-0.779825,1
-0.992946,0
-0.979979,0
-0.439408,0
-0.992567,0
-0.98984,0
-0.990042,0
-0.990369,0
-0.982079,0
-0.726269,1
-0.988902,0
-0.966621,0
-0.839177,0
-0.907606,0
-0.989042,0
-0.980319,0
-0.935739,0
-0.51386,0
-0.986592,0
-0.986268,0
-0.895843,0
-0.991124,0
-0.991038,0
-0.990196,0
-0.990784,0
-0.990288,0
-0.989919,0
-0.983126,0
-0.990891,0
-0.987856,0
-0.988312,0
-0.984673,0
-0.988526,0
-0.991124,0
-0.705038,1
-0.705038,1
-0.991957,0
-0.96292,0
-0.977475,0
-0.935858,1
-0.993136,0
-0.99007,0
-0.974549,0
-0.976844,1
-0.610739,0
-0.95278,0
-0.989054,0
-0.924269,0
-0.604695,1
-0.968479,0
-0.990951,0
-0.963926,0
-0.924696,0
-0.987077,0
-0.67658,0
-0.711587,0
-0.991656,0
-0.962417,0
-0.5524,1
-0.592236,0
-0.988528,0
