@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-22,24-27'

@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.957764,0
-0.312624,0
-0.930369,0
-0.706524,0
-0.996169,0
-0.706835,0
-0.963936,0
-0.997011,0
-0.820639,0
-0.821068,0
-0.871412,0
-0.792215,0
-0.73423,0
-0.623981,0
-0.988929,0
-0.70676,0
-0.948603,0
-0.96171,0
-0.702863,0
-0.99731,0
-0.485917,0
1,0
-0.044164,0
-0.019076,0
-0.697544,1
-0.697544,1
-0.956847,0
-0.946488,0
-0.990677,0
-0.998114,0
-0.999222,0
-0.970588,0
-0.979756,0
-0.943803,0
-0.934723,0
-0.888899,1
-0.894496,0
-0.931097,0
-0.990776,0
-0.95917,0
-0.993415,0
-0.960619,0
-0.99788,0
-0.990677,0
-0.988683,0
-0.966172,0
-0.940741,0
-0.971376,0
-0.944234,0
-0.996942,0
-0.996859,0
-0.924378,0
-0.827673,0
-0.992147,0
-0.934921,0
-0.990537,0
-0.025777,1
-0.992019,0
-0.987981,0
-0.943365,0
-0.769352,0
-0.850532,0
-0.959142,0
-0.896254,0
-0.610429,1
-0.610429,1
-0.610429,1
-0.610429,1
-0.834053,0
-0.781992,1
-0.557361,1
-0.966503,0
-0.949706,0
-0.825982,0
-0.904871,0
-0.555077,0
-0.998369,0
-0.985968,0
-0.905169,0
-0.974878,0
-0.982025,0
-0.974795,0
-0.887306,1
-0.685128,1
-0.978566,1
-0.988804,1
-0.899673,1
-0.996051,1
-0.998689,1
-0.933744,0
-0.960356,0
-0.995382,0
-0.905753,0
-0.879291,0
-1,0
-0.956216,0
-0.874885,0
-0.963839,0
-0.812482,0
-0.857714,0
-0.893246,0
-0.901915,0
-0.98038,0
-0.990868,0
-0.974878,0
-0.977631,0
-0.998916,0
-0.93415,0
-0.938556,1
-0.954435,0
-0.954321,1
-0.970996,1
-0.77661,0
-0.825437,0
-0.677582,0
-0.409919,0
-0.998916,0
-0.977459,0
-0.861056,0
-0.991081,0
-0.967035,0
-0.667561,0
-0.909356,0
-0.984165,0
-0.913348,0
-0.977561,0
-0.953048,0
-0.998403,0
-0.988544,0
-0.934688,0
-0.91837,0
-0.76744,0
-0.697322,0
-0.893045,0
-0.920689,0
-0.561471,0
-0.996217,0
0.063762,0
-0.548213,1
-0.99975,0
-0.999513,0
-0.999747,0
-0.998005,0
-0.630107,0
-0.89487,0
-0.921161,0
-0.933989,0
-0.841939,0
-0.940311,0
-0.922781,0
-0.998181,0
-0.93603,0
-0.998403,0
-0.842924,0
-0.964357,0
-0.968338,0
-0.982583,0
-0.672614,0
-0.779618,0
-0.741727,0
-0.927504,0
-0.573783,1
-0.573783,1
-0.937257,0
-0.759935,0
-0.984815,0
-0.995391,0
-0.938028,0
-0.927679,0
-0.958217,0
-0.99755,0
-0.95565,0
-0.82242,0
-0.609367,0
-0.606619,0
-0.952401,0
-0.751538,0
-0.825913,0
-0.897993,0
-0.918966,0
-0.611775,0
-0.871955,1
-0.951439,1
-0.769189,0
-0.880834,0
-0.751073,0
-0.919551,0
-0.673779,0
-0.952958,0
-0.840902,0
-0.880901,0
-0.997003,0
-0.714542,0
-0.72114,1
-0.72114,1
-0.72114,1
-0.801425,1
-0.801425,1
-0.985126,0
-0.923765,0
-0.890193,0
-0.875169,0
-0.853378,0
-0.925804,0
-0.909959,0
