@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-24,26-27'

@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.957336,0
-0.306756,0
-0.929717,0
-0.70398,0
-0.996089,0
-0.704123,0
-0.963534,0
-0.996979,0
-0.819094,0
-0.819403,0
-0.870268,0
-0.790358,0
-0.731889,0
-0.620545,0
-0.988831,0
-0.704132,0
-0.948121,0
-0.961335,0
-0.700118,0
-0.99727,0
-0.48167,0
1,0
-0.036032,0
-0.011299,0
-0.694944,1
-0.694944,1
-0.956441,0
-0.945971,0
-0.990575,0
-0.998085,0
-0.999209,0
-0.970275,0
-0.979521,0
-0.943272,0
-0.934165,0
-0.887909,1
-0.893628,0
-0.930488,0
-0.99066,0
-0.958786,0
-0.993313,0
-0.960265,0
-0.997855,0
-0.990575,0
-0.988544,0
-0.965815,0
-0.940214,0
-0.971039,0
-0.943664,0
-0.996887,0
-0.996804,0
-0.923623,0
-0.826148,0
-0.992038,0
-0.934331,0
-0.990413,0
-0.017466,1
-0.991945,0
-0.987847,0
-0.942802,0
-0.767378,0
-0.849185,0
-0.958757,0
-0.895307,0
-0.606995,1
-0.606995,1
-0.606995,1
-0.606995,1
-0.832614,0
-0.780038,1
-0.553469,1
-0.966193,0
-0.949241,0
-0.824492,0
-0.903973,0
-0.551262,0
-0.998329,0
-0.9857,0
-0.904343,0
-0.97464,0
-0.98185,0
-0.974557,0
-0.886254,1
-0.682413,1
-0.978344,1
-0.988672,1
-0.898779,1
-0.995953,1
-0.998661,1
-0.933149,0
-0.95999,0
-0.995342,0
-0.904908,0
-0.878231,0
-1,0
-0.95583,0
-0.873797,0
-0.963519,0
-0.810852,0
-0.856482,0
-0.892335,0
-0.900891,0
-0.980162,0
-0.99076,0
-0.97464,0
-0.977365,0
-0.998902,0
-0.933456,0
-0.937996,1
-0.954034,0
-0.953901,1
-0.97071,1
-0.774642,0
-0.82389,0
-0.67473,0
-0.404825,0
-0.998902,0
-0.977199,0
-0.859828,0
-0.990968,0
-0.966708,0
-0.664649,0
-0.908424,0
-0.984016,0
-0.912566,0
-0.977345,0
-0.952583,0
-0.998375,0
-0.988427,0
-0.934125,0
-0.917554,0
-0.765223,0
-0.694546,0
-0.89207,0
-0.919952,0
-0.557474,0
-0.996151,0
0.072723,0
-0.544263,1
-0.999736,0
-0.999498,0
-0.999736,0
-0.997955,0
-0.626805,0
-0.89394,0
-0.920437,0
-0.933389,0
-0.840568,0
-0.939801,0
-0.922054,0
-0.998152,0
-0.935458,0
-0.998375,0
-0.841585,0
-0.964012,0
-0.968043,0
-0.982419,0
-0.669868,0
-0.777681,0
-0.739418,0
-0.92685,0
-0.570133,1
-0.570133,1
-0.936637,0
-0.757801,0
-0.984663,0
-0.995328,0
-0.937495,0
-0.927075,0
-0.957857,0
-0.997504,0
-0.95527,0
-0.820834,0
-0.605766,0
-0.6032,0
-0.951969,0
-0.749318,0
-0.824332,0
-0.897088,0
-0.918146,0
-0.608271,0
-0.87082,1
-0.951029,1
-0.767172,0
-0.879773,0
-0.74886,0
-0.918801,0
-0.67108,0
-0.952534,0
-0.839275,0
-0.879878,0
-0.996965,0
-0.712042,0
-0.718827,1
-0.718827,1
-0.718827,1
