@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.955572,0
0.280459,0
0.926792,0
0.693034,0
0.996982,0
0.693532,0
0.962163,0
0.996597,0
0.812191,0
0.812689,0
0.865081,0
0.782339,0
0.721581,0
0.606462,0
0.988128,0
0.692733,0
0.946279,0
0.95973,0
0.689148,0
0.997095,0
0.461269,0
-1,0
-0.000538,0
-0.026723,0
0.683412,1
0.683412,1
0.95469,0
0.944228,0
0.99012,0
0.998975,0
0.99953,0
0.969196,0
0.978662,0
0.941923,0
0.931488,0
0.88395,1
0.889311,0
0.927759,0
0.990149,0
0.957095,0
0.994823,0
0.95859,0
0.998394,0
0.99012,0
0.988042,0
0.965067,0
0.937665,0
0.970221,0
0.941795,0
0.996626,0
0.996597,0
0.921253,0
0.819274,0
0.991972,0
0.931715,0
0.990092,0
-0.020198,1
0.997992,0
0.987488,0
0.940741,0
0.758497,0
0.843602,0
0.957181,0
0.891275,0
0.592359,1
0.592359,1
0.592359,1
0.592359,1
0.826545,0
0.77154,1
0.536951,1
0.965067,0
0.947544,0
0.817458,0
0.900654,0
0.533782,0
0.998533,0
0.987527,0
0.900569,0
0.974035,0
0.981481,0
0.974007,0
0.882485,1
0.670212,1
0.977665,1
0.988128,1
0.894909,1
0.996569,1
0.999032,1
0.930576,0
0.95859,0
0.999173,0
0.901181,0
0.873579,0
1,0
0.954078,0
0.868828,0
0.961993,0
0.80348,0
0.850835,0
0.888113,0
0.897828,0
0.980183,0
0.99081,0
0.974035,0
0.976555,0
0.999474,0
0.931131,0
0.936142,1
0.952113,0
0.95247,1
0.97227,1
0.766409,0
0.817111,0
0.662528,0
0.381897,0
0.999474,0
0.978032,0
0.854675,0
0.990647,0
0.965565,0
