@relation 'Ant16BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.964528,0
0.946265,0
0.964528,0
0.946817,0
0.978381,0
0.932984,0
0.972473,0
1,0
0.981578,0
0.964996,0
0.975396,0
0.965431,0
0.964068,0
0.928604,0
1,0
0.951263,0
0.986066,0
0.979896,0
0.939238,0
0.992261,0
0.970704,0
0.937022,0
0.938122,0
0.998418,0
0.970278,1
0.970278,1
0.986066,0
0.970704,0
0.99069,0
0.99685,0
0.998418,0
0.972207,0
0.99073,0
0.935187,0
0.950606,0
0.969216,1
0.984531,0
0.986066,0
0.958329,0
0.96139,0
0.953693,0
0.981426,0
0.979952,0
0.99069,0
0.981426,0
0.944502,0
0.97526,0
0.980112,0
0.972473,0
0.99069,0
0.984531,0
0.931023,0
0.835024,0
0.99376,0
0.979896,0
0.99376,0
0.551179,1
0.95217,0
0.970648,0
0.955377,0
0.938326,0
0.940085,0
0.962931,0
0.964842,0
0.699546,1
0.699546,1
0.699546,1
0.699546,1
0.967743,0
0.86687,1
0.915366,1
0.969095,0
0.935187,0
0.932151,0
0.931023,0
0.937878,0
0.989134,0
0.966196,0
0.976881,0
0.964488,0
0.946013,0
0.958329,0
0.96961,1
0.911688,1
0.99376,1
0.995297,1
0.983059,1
0.983059,1
0.99069,1
0.970704,0
0.962931,0
0.979952,0
0.932151,0
0.966285,0
1,0
0.995297,0
0.933661,0
0.995297,0
0.927712,0
0.932151,0
0.935187,0
0.849053,0
0.898202,0
0.950606,0
0.964488,0
0.964528,0
0.998418,0
0.935807,0
0.989237,1
0.987592,0
0.959864,1
0.86284,1
0.962721,0
0.951028,0
0.937536,0
0.392797,0
0.992261,0
0.983059,0
0.896793,0
0.995297,0
0.973726,0
0.94011,0
0.958741,0
0.915243,0
0.975396,0
0.958329,0
0.612481,0
0.998418,0
0.976809,0
0.979896,0
0.835288,0
0.853452,0
0.491883,0
0.895326,0
0.978661,0
0.813665,0
0.96139,0
0.912939,0
0.871631,1
0.992261,0
0.992261,0
0.992261,0
0.989134,0
0.942681,0
0.969216,0
0.960098,0
0.989237,0
0.964842,0
0.987592,0
0.966285,0
0.998418,0
0.966035,0
0.998418,0
0.969216,0
0.978381,0
0.989134,0
0.99685,0
0.963415,0
0.891019,0
0.961196,0
0.96139,0
0.94633,1
0.94633,1
0.966285,0
0.953855,0
0.982971,0
0.99685,0
0.992237,0
0.995297,0
0.982971,0
0.987592,0
0.989134,0
0.945445,0
0.903537,0
0.94999,0
0.979896,0
0.92637,0
0.964068,0
0.967743,0
0.909611,0
0.916074,0
0.969216,1
0.99376,1
0.95786,0
0.971034,0
0.953855,0
0.955377,0
0.976881,0
0.969095,0
0.658012,0
0.976881,0
0.986106,0
0.950298,0
0.975396,1
0.975396,1
0.975396,1
0.937878,1
0.937878,1
0.855425,0
0.893601,0
0.986066,0
0.989237,0
0.969216,0
0.975806,0
0.99685,0
0.951295,0
0.902016,1
0.867273,0
0.783958,1
0.783958,1
0.942502,0
0.976881,0
0.99073,1
0.99073,1
0.99685,0
0.995297,0
0.960098,0
0.966808,0
0.94896,0
0.972207,0
0.966285,0
0.969216,0
0.955377,0
0.979896,0
0.923814,0
0.946273,0
0.634739,1
0.634739,1
0.858626,0
0.960098,0
0.99685,0
0.995297,0
0.952462,0
0.94896,0
0.946622,0
0.956857,0
0.976881,0
0.963036,0
0.981426,0
0.978381,1
0.97526,0
0.909949,0
0.937536,1
0.895326,0
0.978381,0
0.984555,0
0.970648,0
0.984531,0
0.979896,0
0.99073,0
0.976881,0
0.951028,1
0.967743,0
0.987592,0
0.946817,0
0.963415,0
0.998418,0
0.978381,0
0.969216,0
0.914223,0
0.99376,0
0.99376,0
0.900064,0
0.99685,0
0.99685,0
0.995297,0
0.995297,0
0.99376,0
0.995297,0
0.99376,0
0.99376,0
0.99073,0
0.992237,0
0.93389,0
0.979952,0
0.99685,0
0.955175,1
0.955175,1
0.99069,0
0.987592,0
0.99685,0
0.99685,1
0.99685,0
0.99685,0
0.995297,0
0.989134,1
0.907707,0
0.979896,0
0.99069,0
0.719571,0
0.952551,1
0.960607,0
0.99685,0
0.995297,0
0.972207,0
0.979896,0
0.952551,0
0.967743,0
0.955223,0
0.981578,0
0.928792,1
0.909949,0
0.992261,0
0.958353,1
-0.61861,0
0.818028,0
0.913927,1
0.913927,1
0.952551,1
0.862033,1
-0.302577,0
-0.364497,1
0.982971,0
0.987592,0
0.954964,0
0.998418,0
0.907459,0
0.970704,0
0.976881,0
0.989134,0
0.911984,1
0.911984,1
0.911984,1
0.911984,1
0.989134,0
0.976809,0
0.967557,0
0.992261,0
0.97526,1
0.942006,0
0.961559,0
0.920099,0
0.995297,0
0.947727,0
0.935204,0
0.978661,0
0.983059,0
0.981578,0
0.983059,0
0.987592,0
0.986298,0
0.974401,0
0.983059,0
0.981578,0
0.981578,0
0.978661,0
0.987592,0
0.986066,0
0.980112,1
0.986066,1
0.998418,0
0.925968,0
0.879747,0
0.973011,0
0.976809,0
0.99685,0
0.741846,0
0.962721,1
0.972473,0
0.989134,0
0.939238,0
0.892107,0
0.987592,0
0.983059,0
-1,0
0.902975,0
0.921453,0
0.846008,1
