@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-9,11-28'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.979316,0
0.984491,0
0.979316,0
0.974147,0
0.989655,0
0.979317,0
0.989655,0
0.999993,0
0.994824,0
0.994825,0
0.989655,0
0.989656,0
0.989656,0
0.97932,0
0.999993,0
0.984486,0
0.994824,0
0.989655,0
0.98449,0
0.994824,0
0.984486,0
0.98449,0
0.984488,0
0.999993,0
0.994825,1
0.994824,0
0.984486,0
0.994824,0
0.999993,0
0.999993,0
0.984486,0
0.999993,0
0.95347,0
0.963809,0
0.984486,0
0.989655,0
0.994824,0
0.968978,0
0.974147,0
0.968978,0
0.989655,0
0.984486,0
0.994824,0
0.989655,0
0.963809,0
0.984486,0
0.994824,0
0.989655,0
0.994824,0
0.989655,0
0.958639,0
0.875932,0
0.999993,0
0.989655,0
0.999993,0
0.669165,1
0.963809,0
0.979316,0
0.974147,0
0.95864,0
0.963809,0
0.974147,0
0.984489,0
0.782893,1
0.984486,0
0.912123,1
0.963815,0
0.979316,0
0.95347,0
0.95347,0
0.958645,0
0.968981,0
0.994824,0
0.999993,0
0.989657,0
0.974149,0
0.95864,0
0.968979,0
0.989655,1
0.948302,1
0.999993,1
0.999993,1
0.994824,1
0.994824,1
0.994824,1
0.984488,0
0.974149,0
0.984486,0
0.953471,0
0.984491,0
0.999993,0
0.999993,0
0.95347,0
0.999993,0
0.95347,0
0.95347,0
0.95347,0
0.906948,0
0.922455,0
0.963809,0
0.974149,0
0.979316,0
0.999993,0
0.963809,0
0.999994,0
0.994824,0
0.974147,0
0.891439,1
0.989661,0
0.974147,0
0.97415,0
0.529601,0
0.994824,0
0.994824,0
0.92763,0
0.999993,0
0.984486,0
0.974148,0
0.994824,0
0.932798,0
0.989657,0
0.968978,0
0.68467,0
0.999993,0
0.98449,0
0.989655,0
0.881101,0
0.917292,0
0.612301,0
0.927624,0
0.994829,0
0.896616,0
0.974147,0
0.968983,0
0.927631,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.984492,0
0.984491,0
0.979318,0
0.999993,0
0.98449,0
0.994824,0
0.984486,0
0.999993,0
0.979316,0
0.999993,0
0.984486,0
0.989655,0
0.994824,0
0.999993,0
0.984486,0
0.927629,0
0.994831,0
0.974147,0
0.979317,0
0.984486,0
0.984488,0
0.989655,0
0.999993,0
0.999999,0
0.999999,0
0.989655,0
0.994824,0
0.994831,0
0.974154,0
0.968984,0
0.984486,0
0.989655,0
0.963809,0
0.989656,0
0.984486,0
0.943132,0
0.968984,0
0.984486,0
0.999999,0
0.984491,0
0.989655,0
0.984486,0
0.974147,0
0.989655,0
0.979316,0
0.762216,0
0.989655,0
0.989655,0
0.979317,0
0.98966,0
0.96898,0
0.881101,0
0.922455,0
0.994829,0
0.999993,0
0.984486,0
0.994824,0
0.999993,0
0.98966,0
0.984492,0
0.953477,0
0.870769,0
0.979319,0
0.989655,0
0.999994,1
0.999993,0
0.999993,0
0.979317,0
0.989661,0
0.979321,0
0.984486,0
0.984486,0
0.984486,0
0.974147,0
0.989655,0
0.963814,0
0.968982,0
0.731194,1
0.922458,0
0.979317,0
0.999993,0
0.999993,0
0.974147,0
0.979316,0
0.98966,0
0.974147,0
0.989655,0
0.979317,0
0.989655,0
0.989655,0
0.984486,0
0.968979,0
0.974148,0
0.92763,0
0.989655,0
0.994824,0
0.979316,0
0.989655,0
0.989655,0
0.999993,0
0.989655,0
0.974147,0
0.984486,0
0.994824,0
0.974147,0
0.984486,0
0.999993,0
0.989655,0
0.98449,0
0.963814,0
0.999993,0
0.999993,0
0.932793,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.999993,0
0.968978,0
0.984486,0
0.999993,0
0.994826,1
0.994831,0
0.994831,0
1,0
1,0
1,0
1,0
1,0
0.994831,0
0.948308,0
0.989655,0
0.994824,0
0.788061,0
0.984486,0
0.984492,0
0.999993,0
0.999993,0
0.984486,0
0.989655,0
0.984492,0
0.984486,0
0.968978,0
0.994824,0
0.968981,0
0.96898,0
0.994824,0
0.974147,0
-0.344,0
0.875933,0
0.953472,0
0.984486,0
0.90695,1
-0.121732,0
-0.04418,0
0.989655,0
0.994824,0
0.989655,0
0.999993,0
0.932793,0
0.984486,0
0.989655,0
0.994824,0
0.963814,1
0.994824,0
0.984486,0
0.979316,0
0.994824,0
0.984486,0
0.968978,0
0.979317,0
0.963809,0
0.999993,0
0.968978,0
0.968978,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.999993,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.994824,0
0.994824,1
0.994824,1
0.999993,0
0.943132,0
0.912116,0
0.994824,0
0.984486,0
0.999993,0
0.839752,0
0.989656,0
0.989655,0
0.994824,0
0.968978,0
0.948308,0
0.994824,0
0.994824,0
-1,0
0.932793,0
0.95864,0
0.92246,0
