@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-11,13-28'

@attribute 'd( WMC,CBO)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.921139,0
0.858036,0
0.954795,0
0.887143,0
0.941261,0
0.842159,0
0.945141,0
0.995072,0
0.943113,0
0.906419,0
0.968426,0
0.92967,0
0.92667,0
0.849671,0
0.995072,0
0.920729,0
0.978193,0
0.978193,0
0.868175,0
0.991636,0
0.963221,0
0.854518,0
0.874364,0
0.983278,0
0.841606,1
0.961384,0
0.954795,0
0.988231,0
0.954778,0
0.974924,0
0.974907,0
0.974907,0
0.865841,0
0.881098,0
0.951546,0
0.938081,0
0.952987,0
0.993242,0
0.936207,0
0.890936,0
0.939583,0
0.933233,0
0.988231,0
0.956339,0
0.926261,0
0.939583,0
0.973689,0
0.962066,0
0.996606,0
0.988231,0
0.918787,0
0.823844,0
0.939583,0
0.944594,0
0.973114,0
0.455077,1
0.801639,0
0.94299,0
0.948328,0
0.968426,0
0.941984,0
0.964724,0
0.899688,0
0.695022,1
0.914576,0
0.823937,1
0.784192,0
0.939583,0
0.907691,0
0.884213,0
0.867957,0
0.898106,0
0.968094,0
0.732282,0
0.862426,0
0.94299,0
0.934632,0
0.934632,0
0.947342,1
0.767538,1
0.981509,1
0.984855,1
0.954795,1
0.963221,1
0.971494,1
0.895946,0
0.939583,0
0.866808,0
0.892613,0
0.82717,0
0.970048,0
0.934632,0
0.904339,0
0.917931,0
0.865932,0
0.884213,0
0.865841,0
0.720762,0
0.832456,0
0.889437,0
0.94299,0
0.937957,0
0.958232,0
0.890232,0
0.921139,0
0.939583,0
0.890936,0
0.695338,1
0.787617,0
0.913433,0
0.832159,0
0.47577,0
0.958232,0
0.778997,0
0.832252,0
0.993242,0
0.936207,0
0.846544,0
0.652565,0
0.727502,0
0.884213,0
0.934632,0
0.488018,0
0.991636,0
0.917931,0
0.911074,0
0.751791,0
0.797446,0
0.646464,0
0.871145,0
0.89447,0
0.386995,0
0.927824,0
0.624985,0
0.749675,0
0.983278,0
0.983278,0
0.983278,0
0.976472,0
0.867227,0
0.926261,0
0.88604,0
0.929546,0
0.849082,0
0.922847,0
0.911342,0
0.974924,0
0.932861,0
0.991636,0
0.892613,0
0.941261,0
0.984855,0
0.97986,0
0.82055,0
0.887143,0
0.803592,0
0.978193,0
0.829471,0
0.953601,0
0.858036,0
0.968094,0
0.988231,0
0.894343,0
0.926279,0
0.934632,0
0.939583,0
0.934632,0
0.824643,0
0.654218,0
0.857853,0
0.944594,0
0.82652,0
0.901108,0
0.897728,0
0.887143,0
0.78006,0
0.959984,0
0.897782,0
0.841606,0
0.874364,0
0.875109,0
0.931443,0
0.904339,0
0.964724,0
0.545532,0
0.904339,0
0.949894,0
0.881062,0
0.850663,0
0.821537,0
0.938081,0
0.889311,0
0.919446,0
0.921139,0
0.959984,0
0.938859,0
0.954778,0
0.846691,0
0.51351,0
0.593926,0
0.68059,0
0.803592,0
0.912736,0
0.916076,1
0.963133,0
0.959721,0
0.911342,0
0.890232,0
0.843984,0
0.932861,0
0.852371,0
0.943113,0
0.90615,0
0.877634,0
0.743777,0
0.874364,0
0.620748,1
0.734144,0
0.919785,0
0.963133,0
0.934632,0
0.916593,0
0.878069,0
0.79283,0
0.943113,0
0.921139,0
0.892613,0
0.947959,0
0.899311,0
0.964724,0
0.64367,0
0.789413,0
0.871145,0
0.958074,0
0.958074,0
0.951353,0
0.963133,0
0.969786,0
0.966488,0
0.971651,0
0.921904,0
0.939883,0
0.964724,0
0.81932,0
0.930379,0
0.991636,0
0.941261,0
0.917842,0
0.738366,0
0.947959,0
0.956339,0
0.842602,0
0.971494,0
0.971494,0
0.959721,0
0.951353,0
0.939583,0
0.959721,0
0.956339,0
0.956339,0
0.958074,0
0.961384,0
0.769846,0
0.833733,0
0.971494,0
0.763736,1
0.946427,0
0.906132,0
0.921406,0
0.921406,0
0.946427,0
0.938081,0
0.926279,0
0.917931,0
0.741286,0
0.877634,0
0.963133,0
0.818463,0
0.846544,0
0.873273,0
0.954778,0
0.951353,0
0.941261,0
0.944594,0
0.820941,0
0.914576,0
0.919446,0
0.884213,0
0.783586,0
0.739662,0
0.891675,0
0.929546,0
-0.230379,0
0.658688,0
0.77533,0
0.914987,0
0.750599,1
-0.022874,0
-1,0
0.968094,0
0.956339,0
0.812153,0
1,0
0.320468,0
0.937957,0
0.895946,0
0.984855,0
0.655367,1
0.968094,0
0.968094,0
0.944594,0
0.933233,0
0.931213,0
0.805618,0
0.830528,0
0.838079,0
0.951353,0
0.843966,0
0.789904,0
0.919785,0
0.937957,0
0.926261,0
0.937957,0
0.964724,0
0.973689,0
0.901826,0
0.937957,0
0.901018,0
0.926261,0
0.919785,0
0.956339,0
0.952987,0
0.931443,1
0.961384,1
0.841993,0
0.872764,0
0.802015,0
0.924199,0
0.976472,0
0.963133,0
0.538384,0
0.915166,0
0.936684,0
0.976472,0
0.841606,0
0.721854,0
0.947959,0
0.904339,0
-0.602516,0
0.865932,0
0.846544,0
0.660939,0
