@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R29,31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-8,10-28'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.954028,0
0.258009,0
0.924195,0
0.683056,0
0.99682,0
0.683624,0
0.96081,0
0.996399,0
0.806084,0
0.806598,0
0.860527,0
0.775193,0
0.712502,0
0.593749,0
0.987654,0
0.682651,0
0.944399,0
0.958238,0
0.679055,0
0.996866,0
0.443977,0
-1,0
-0.03097,0
-0.057671,0
0.673515,1
0.953143,0
0.942245,0
0.989664,0
0.998971,0
0.999486,0
0.967964,0
0.97788,0
0.939903,0
0.929195,0
0.880016,1
0.885722,0
0.925369,0
0.98943,0
0.955524,0
0.994575,0
0.95721,0
0.998316,0
0.989664,0
0.98756,0
0.963661,0
0.935559,0
0.969088,0
0.939722,0
0.996352,0
0.996305,0
0.918346,0
0.812652,0
0.991769,0
0.929435,0
0.989711,0
-0.0538,0
0.998131,0
0.986951,0
0.938549,0
0.750211,0
0.838168,0
0.955524,0
0.88773,0
0.577811,1
0.820889,0
0.763631,0
0.522225,1
0.963802,0
0.945561,0
0.811332,0
0.897258,0
0.518691,0
0.99841,0
0.987654,0
0.89755,0
0.973014,0
0.980591,0
0.972967,0
0.878523,0
0.659668,0
0.976851,0
0.987654,0
0.891428,0
0.996352,0
0.998924,0
0.928358,0
0.957067,0
0.999345,0
0.897724,0
0.869732,0
1,0
0.952676,0
0.864295,0
0.960906,0
0.796937,0
0.845782,0
0.884352,0
0.894209,0
0.97924,0
0.990413,0
0.973014,0
0.975634,0
0.999486,0
0.928681,0
0.93416,1
0.950571,0
0.950894,1
0.97125,0
0.759261,0
0.81102,0
0.651722,0
0.358893,0
0.999439,0
0.977833,0
0.849651,0
0.990226,0
0.964364,0
0.640936,0
0.902741,0
0.987564,0
0.906806,0
0.97554,0
0.952552,0
0.997942,0
0.988027,0
0.929435,0
0.911983,0
0.748772,0
0.670344,0
0.884111,0
0.914569,0
0.527119,0
0.997194,0
-0.145616,0
0.51155,1
0.999439,0
0.999439,0
0.999439,0
0.997895,0
0.600481,0
0.886187,0
0.914938,0
0.928503,0
0.829115,0
0.935655,0
0.916529,0
0.997942,0
0.930882,0
0.997942,0
0.830143,0
0.961325,0
0.965487,0
0.980967,0
0.646696,0
0.761212,0
0.721804,0
0.921061,0
0.539851,1
0.931958,0
0.740709,0
0.983444,0
0.994856,0
0.933132,0
0.921818,0
0.954638,0
0.997895,0
0.952114,0
0.80845,0
0.578746,0
0.575325,0
0.948465,0
0.731248,0
0.811687,0
0.889787,0
0.91203,0
0.5808,0
0.861505,1
0.947533,1
0.750473,0
0.871324,0
0.730946,0
0.912832,0
0.647266,0
0.948884,0
0.82912,0
0.871324,0
0.997334,0
0.691844,0
0.699145,1
0.78578,1
0.982997,0
0.916985,0
0.881658,0
0.865254,0
0.841453,0
0.919712,0
0.90279,0
0.723805,0
-0.234463,1
0.527753,0
0.484734,1
0.482383,0
0.927378,0
0.900219,1
0.971193,0
0.925932,0
0.733462,0
0.792154,0
0.382395,0
0.950989,0
0.720669,0
0.911386,0
0.923633,0
0.997334,0
0.401682,0
0.774986,0
0.481186,1
0.633197,0
0.811071,0
0.96965,0
0.878108,0
0.90666,0
0.930882,0
0.566144,0
0.852665,0
0.92532,0
0.923167,0
0.975213,0
0.737165,1
0.921672,0
0.5423,0
0.682029,1
0.953045,0
0.934064,0
0.347749,0
0.979235,0
0.991675,0
0.979843,0
0.971193,0
0.945894,0
0.629637,1
0.95459,0
0.905826,0
0.741631,0
0.825002,0
0.997942,0
0.929435,0
0.857392,0
0.415525,0
0.951133,0
0.954219,0
0.81576,0
0.988168,0
0.983024,0
0.984567,0
0.985082,0
0.965021,0
0.98251,0
0.943932,0
0.969136,0
0.961934,0
0.967078,0
0.936958,0
0.999345,0
0.988168,0
0.604702,1
0.978862,0
0.899656,0
0.924389,0
0.862169,1
0.976851,0
0.966049,0
0.922332,0
0.920226,1
0.510757,0
0.884179,0
0.998924,0
0.835521,0
0.505529,1
0.897501,0
0.965535,0
0.901762,0
0.845566,0
0.953609,0
0.578919,0
0.614858,0
0.974511,0
0.888857,0
0.451997,1
0.492009,0
0.999439,0
0.877861,1
0.827682,0
0.772023,0
0.741422,1
0.629236,1
0.786718,0
0.973554,0
-0.046044,1
0.894978,0
0.969602,0
-0.006951,0
0.996913,0
0.948461,0
0.792103,0
0.76697,0
0.867261,0
0.186102,1
0.946456,0
0.983397,0
0.98335,0
0.999439,0
0.937616,1
0.834105,0
0.777659,0
0.856165,0
0.954219,0
0.822794,0
0.801202,0
0.831272,0
0.935141,0
0.911483,0
0.944913,0
0.91714,0
0.871424,0
0.781927,0
0.922797,0
0.903769,0
0.910969,0
0.87086,0
0.9552,0
0.944913,0
0.888343,0
0.91354,0
0.999486,0
0.988171,0
0.921522,0
0.992751,0
0.985455,0
0.998971,0
0.105595,0
0.676028,1
0.870296,0
0.982462,0
0.824336,0
0.354844,0
0.997895,0
0.996352,0
0.909788,0
0.94949,0
0.720404,0
0.222877,1
