@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R29,31'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Nbugs numeric

@data
7,7,8,7,0,89,0.964828,4,4166.640133,383.000002,394.12942,253.663162,236.000003,4155.706558,4149.147623,4155.649889,99.368003,252.733061,255.082336,335.180548,4149.011844,4162.516907,89.531407,4150.042168,89.68706,746451.0054,17214440,8888,0
25,8,99,5,3,1445,0.108126,3,2819.273843,384.001036,391.255671,246.677928,235.001692,2802.868887,2793.183309,2803.037281,81.541401,248.58399,1449.329339,279.415461,2793.772127,2806.941752,1446.437084,2794.0068,1446.664517,10159894.1,7800997,5773,0
7,3,8,3,0,147,0.964828,4,4108.889144,383.000002,394.12942,257.388811,240.000003,4098.033797,4091.149716,4097.975354,99.368003,256.456624,280.491719,337.997041,4091.006156,4104.938855,147.150012,4092.05694,147.29378,1224371.009,16736520,8888,0
15,8,71,4,5,616,0.886367,5,3642.088412,382.000017,391.342561,249.89998,235.000027,3629.615544,3622.124239,3629.811014,90.138782,252.723169,639.668212,296.006757,3622.332615,3634.075398,617.956956,3622.99724,618.134551,4841831.039,13119060,7401,0
6,5,6,4,1,6,1,2,4249.476321,385,396.309223,255.890602,238,4238.687061,4232.136576,4238.687061,99.959992,255.890602,241.077267,338.710791,4232.004814,4245.532829,8.755037,4233.043822,8.854152,50826.00077,17910065,9077,0
31,8,77,5,3,615,0.656588,4,3643.18789,383.000154,389.165774,244.920395,235.000251,3630.613447,3623.141317,3630.74345,76.059187,246.840029,637.144751,291.665905,3623.393931,3634.721172,617.303646,3623.656993,617.837121,4834592.039,13126299,4931,0
10,3,13,1,2,76,0.952571,2,4179.769013,385.000003,395.379565,256.320112,240.000005,4168.914007,4162.130824,4168.971696,95.859272,257.256681,245.97652,335.912191,4162.010128,4175.533619,76.550327,4162.972976,76.757829,638413.0046,17322478,8334,0
0,1,0,1,0,7,1,0,4248.662142,387,399.711146,261.847284,242,4237.915171,4231.144762,4237.858185,105.9481,260.92336,247.097254,345.09419,4231,4245.050176,6.983716,4232.181589,6.998049,59283.00041,17901608,10247,0
8,4,39,1,3,377,0.91606,1,3880.247028,386.000009,396.812298,256.095685,239.000015,3868.390104,3861.132606,3868.514185,97.406365,257.963176,429.939128,318.347295,3861.092643,3874.10196,377.943494,3862.095934,378.031105,3053362.023,14907529,8672,0
20,4,42,0,4,376,0.709857,1,3881.242069,386.000109,394.202993,252.033728,239.000176,3869.388195,3862.124415,3869.574654,85.79627,254.880364,427.564872,317.15769,3862.101041,3875.001032,377.040453,3862.828497,377.386577,3045642.023,14915249,6605,0
