@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R29,31-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-14,16-28'

@attribute 'd(LOC, Ce)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.9577,0
0.313097,0
0.930129,0
0.707162,0
0.997152,0
0.707645,0
0.963872,0
0.99668,0
0.820782,0
0.821254,0
0.871183,0
0.792264,0
0.73427,0
0.624461,0
0.988599,0
0.706708,0
0.948668,0
0.961503,0
0.703367,0
0.997155,0
0.485666,0
-1,0
0.044059,0
0.018881,0
0.698102,1
0.956741,0
0.946763,0
0.990496,0
0.999057,0
0.999528,0
0.970535,0
0.979563,0
0.944865,0
0.934857,0
0.889235,1
0.894457,0
0.931064,0
0.9905,0
0.959115,0
0.99525,0
0.960534,0
0.998574,0
0.990496,0
0.988595,0
0.96672,0
0.940579,0
0.971486,0
0.94439,0
0.99668,0
0.99668,0
0.924892,0
0.827917,0
0.992398,0
0.934878,0
0.990496,0
0.027383,0
0.998582,0
0.98812,0
0.943435,0
0.769455,0
0.850743,0
0.959126,0
0.896352,0
0.611581,1
0.611581,1
0.611581,1
0.83456,0
0.782253,0
0.558342,1
0.966717,0
0.950075,0
0.826,0
0.905384,0
0.555063,0
0.998578,0
0.988542,0
0.905377,0
0.975281,0
0.982408,0
0.975281,0
0.887817,0
0.685734,0
0.978612,0
0.988599,0
0.899697,0
0.99668,0
0.999057,0
0.933903,0
0.960544,0
0.999528,0
0.905866,0
0.879698,0
1,0
0.956262,0
0.87497,0
0.963865,0
0.812686,0
0.85785,0
0.893493,0
0.902969,0
0.981457,0
0.991436,0
0.975281,0
0.977665,0
0.999528,0
0.934407,0
0.939135,1
0.95435,0
0.954822,1
0.97433,0
0.77749,0
0.825532,0
0.67816,0
0.411452,0
0.999528,0
0.979567,0
0.861643,0
0.990976,0
0.967203,0
0.668178,0
0.910095,0
0.989059,0
0.913947,0
0.977658,0
0.958647,0
0.998102,0
0.989059,0
0.934851,0
0.919655,0
0.768464,0
0.698609,0
0.89349,0
0.921071,0
0.563539,0
0.997627,0
-0.063013,0
0.548818,1
0.999528,0
0.999532,0
0.999525,0
0.998106,0
0.630624,0
0.894929,0
0.921537,0
0.933909,0
0.842141,0
0.940558,0
0.922979,0
0.998102,0
0.936286,0
0.998102,0
0.8431,0
0.964337,0
0.968154,0
0.982411,0
0.673372,0
0.779882,0
0.742782,0
0.927277,0
0.574505,1
0.574505,1
0.937251,0
0.760385,0
0.984785,0
0.99525,0
0.938175,0
0.927726,0
0.958153,0
0.998091,0
0.955776,0
0.823129,0
0.610615,0
0.607319,0
0.952452,0
0.751826,0
0.826004,0
0.898247,0
0.919187,0
0.612545,0
0.87213,1
0.951483,1
0.769409,0
0.881127,0
0.75136,0
0.919659,0
0.673871,0
0.952935,0
0.844016,0
0.881133,0
0.997631,0
0.715243,0
0.721868,1
0.721868,1
0.721868,1
0.802207,1
0.802207,1
0.985256,0
0.923945,0
0.890644,0
0.875435,0
0.853587,0
0.925842,0
0.910144,0
0.744705,0
-0.146686,1
0.563557,0
0.524568,1
0.524568,1
0.521263,0
0.932952,0
0.907757,1
0.973372,0
0.931539,0
0.75374,0
0.807929,0
0.428569,0
0.954826,0
0.741837,0
0.918229,0
0.929642,0
0.997631,0
0.44661,0
0.792235,0
0.522666,1
0.661493,0
0.825525,0
0.971946,0
0.887326,0
0.913958,0
0.93629,0
0.598749,0
0.864053,0
0.931054,0
0.929143,0
0.977172,0
0.757058,1
0.92774,0
0.576851,0
0.706178,1
0.957193,0
0.939149,0
0.396284,0
0.980978,0
0.99239,0
0.981468,0
0.973383,0
0.950094,0
0.657724,1
0.958171,0
0.913008,0
0.761319,0
0.838379,0
0.998102,0
0.934864,0
0.868305,0
0.459453,0
0.954829,0
0.957688,0
0.830294,0
0.989063,0
0.984309,0
0.985735,0
0.986207,0
0.967664,0
0.983834,0
0.948181,0
0.971474,0
0.964823,0
0.969576,0
0.941959,0
0.999528,0
0.989063,0
0.634389,1
0.980499,0
0.907279,0
0.9301,0
0.87258,1
0.978598,0
0.968612,0
0.928202,0
0.926297,1
0.547878,0
0.893009,0
0.999049,0
0.849742,0
0.542665,1
0.905374,0
0.96814,0
0.909194,0
0.857378,0
0.957206,0
0.610633,0
0.64393,0
0.976707,0
0.897293,0
0.49321,1
0.530289,0
0.999528,0
0.887326,1
0.848814,0
0.790347,0
0.761343,1
0.761343,1
0.657261,1
0.803647,0
0.982415,0
0.042056,1
0.903029,0
0.971946,0
0.066332,0
0.997155,0
0.952942,0
0.80794,0
0.784629,0
0.877359,0
0.246465,1
0.246465,1
0.246465,1
0.950558,0
0.984792,0
0.984796,0
0.999525,0
0.942469,1
0.846895,0
0.794596,0
0.867368,0
0.957681,0
0.836439,0
0.816463,0
0.844068,0
0.940096,0
0.918226,0
0.949128,0
0.923466,0
0.881166,0
0.798429,0
0.928687,0
0.911085,0
0.91775,0
0.880671,0
0.958639,0
0.949132,0
0.896834,0
0.920138,0
0.999532,0
0.989538,0
0.928219,0
0.993352,0
0.986697,0
0.999053,0
0.173311,0
0.700511,1
0.880203,0
0.983841,0
0.837881,0
0.403361,0
0.998102,0
0.996676,0
0.925371,0
0.953882,0
0.741867,0
0.281222,1
