@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-24,26-46'

@attribute 'd(LOC, Ce)' numeric
@attribute #Risk numeric

@data
4149.147623,0
2793.183309,0
4091.149716,0
3622.124239,0
4232.136576,0
3623.141317,0
4162.130824,0
4231.144762,0
3861.132606,0
3862.124415,0
3967.154396,0
3801.143249,0
3679.147999,0
3448.157914,0
4214.145346,0
3621.169148,0
4130.148302,0
4157.147339,0
3614.141669,0
4232.144728,0
3156.194069,0
31,0
2227.244486,0
2174.28172,0
3603.067166,8
4147.131298,0
4126.140085,0
4218.13703,0
4236.144591,0
4237.136415,0
4176.146669,0
4195.137781,0
4122.14859,0
4101.095585,0
4005.127838,3
4016.11205,0
4093.117394,0
4218.145209,0
4152.123312,0
4228.136705,0
4155.108302,0
4235.128569,0
4218.13703,0
4214.13716,0
4168.122839,0
4113.132383,0
4178.146599,0
4121.148626,0
4231.144762,0
4231.144762,0
4080.133454,0
3876.140477,0
4222.1369,0
4101.140939,0
4218.13703,0
2192.16628,4
4235.144626,0
4213.137192,0
4119.140323,0
3753.163199,0
3924.156088,0
4152.147517,0
4020.097511,0
3421.064454,12
3890.11568,0
3780.082671,4
3309.073133,3
4168.115282,0
4133.108878,0
3872.108599,0
4039.097053,0
3302.175041,0
4235.13648,0
4214.026697,0
4039.083683,0
4186.130074,0
4201.121874,0
4186.130074,0
4002.144425,4
3577.050461,4
4193.137847,4
4214.145346,4
4027.13521,4
4231.144762,4
4236.144591,4
4099.088923,0
4155.131045,0
4237.136415,0
4040.111385,0
3985.066373,0
4238.128478,0
4146.123491,0
3975.120879,0
4162.115448,0
3844.101976,0
3939.106752,0
4014.084204,0
4034.017848,0
4199.121932,0
4220.113861,0
4186.130074,0
4191.146144,0
4237.136415,0
4100.149388,0
4110.095376,2
4142.10152,0
4143.094616,3
4184.130137,4
3770.06419,0
3871.124126,0
3561.118083,0
3000.080666,0
4237.136415,0
4195.146005,0
3947.085634,0
4219.145174,0
4169.13864,0
3540.118783,0
4049.007903,0
4215.113996,0
4057.110918,0
4191.129919,0
4151.139241,0
4234.136512,0
4215.113996,0
4101.082418,0
4069.118086,0
3751.076779,0
3604.133322,0
4014.077852,0
4072.096266,0
3320.003765,0
4233.136544,0
2002.012238,0
3289.038917,2
4237.136415,0
4237.144557,0
4237.128509,0
4234.14466,0
3461.121495,0
4017.104679,0
4073.076724,0
4099.102585,0
3906.061955,0
4113.08862,0
4076.110401,0
4234.136512,0
4104.10246,0
4234.136512,0
3908.079963,0
4163.108094,0
4171.138574,0
4201.12961,0
3551.045621,0
3775.096555,0
3697.054098,0
4085.149936,0
3343.072389,6
4106.132609,0
3734.083689,0
4206.121729,0
4228.136705,0
4108.07607,0
4086.095936,0
4150.101324,0
4234.113485,0
4145.101446,0
3866.068416,0
3419.032904,0
3412.099061,0
4138.108747,0
3716.077502,0
3872.116217,0
4024.083995,0
4068.133847,0
3423.091293,0
3969.145626,2
4136.069632,3
3753.064481,0
3988.072216,0
3715.098114,0
4069.125827,0
3552.095156,0
4139.1237,0
3910.006266,0
3988.084753,0
4233.144694,0
3639.123658,0
3653.060361,8
3822.057692,5
4207.114213,0
4078.141734,0
4008.090942,0
3976.09859,0
3930.138547,0
4082.133388,0
4049.111137,0
3701.098486,0
1826,2
3320.043524,0
3238.026096,5
3231.074899,0
4097.088967,0
4044.090133,7
4182.114896,0
4094.117365,0
3720.105375,0
3834.095069,0
3036.08712,0
4143.101495,0
3695.065493,0
4066.118173,0
4090.125181,0
4233.144694,0
3074.036597,0
3801.082214,0
3234.026129,8
3526.056721,0
3871.108627,0
4179.114978,0
4001.11247,0
4057.13421,0
4104.109648,0
3394.071302,0
3952.154982,0
4093.095772,0
4089.076424,0
4190.107397,0
3727.083847,2
4086.125304,0
3348.007318,0
3620.055248,2
4148.081484,0
4110.124572,0
2968.172502,0
4198.114458,0
4222.121268,0
4199.145866,0
4182.138209,0
4133.148195,0
3518.127911,3
4150.139275,0
4055.134276,0
3736.048313,0
3898.148278,0
4234.136512,0
4101.109728,0
3961.098964,0
3101.052241,0
4143.108616,0
4149.123401,0
3881.140296,0
4215.121469,0
4205.121758,0
4208.121671,0
4209.114159,0
4170.107912,0
4204.121787,0
4129.123999,0
4178.122545,0
4164.130762,0
4174.130448,0
4116.035107,0
4237.136415,0
4215.121469,0
3469.041654,7
4197.107218,0
4043.0836,0
4091.089097,0
3970.091813,2
4193.10732,0
4172.10079,0
4087.095913,0
4083.089272,3
3287.060845,0
4013.06591,0
4236.128539,0
3922.050994,0
3276.095389,3
4039.07737,0
4171.107886,0
4047.111192,0
3938.11427,0
4148.108485,0
3419.07078,0
3489.112351,0
4189.129981,0
4022.077697,0
3172.063051,3
3250.061538,0
4237.136415,0
4001.11247,2
3920.099999,0
3797.110744,0
3736.097563,5
3517.154816,3
3825.088365,4
4201.137584,0
2223.032388,2
4034.14328,0
4179.114978,0
2274.096964,0
4232.144728,0
4139.139645,0
3834.117369,0
3785.082562,0
3980.145223,0
2653.018847,12
4134.123849,0
4206.13742,0
4206.145623,0
4237.128509,0
4117.109301,2
3916.061797,0
3806.047425,0
3959.129323,0
4149.108458,0
3894.067924,0
3852.046858,0
3910.115088,0
4112.116851,0
4066.110672,0
4131.116314,0
4077.133552,0
3988.153583,0
3814.11025,0
4088.117537,0
4051.089977,0
4065.1107,0
3987.112865,0
4151.123342,0
4131.123939,0
4021.111911,4
4070.133782,4
4237.144557,0
4216.12144,0
4087.133225,0
4224.145002,0
4210.145484,0
4236.136447,0
2499.13525,0
3608.133174,3
3986.128448,0
4204.137486,0
3897.100589,0
2983.060509,0
4234.136512,0
4231.136609,0
4081.141629,0
4141.116033,0
3695.130038,0
2726.133709,2
