@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-18,20-46'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Risk numeric

@data
4166.640133,0
2819.273843,0
4108.889144,0
3642.088412,0
4249.476321,0
3643.18789,0
4179.769013,0
4248.662142,0
3880.247028,0
3881.242069,0
3985.638468,0
3820.448403,0
3699.089888,0
3469.206393,0
4231.733096,0
3641.304299,0
4147.999036,0
4174.790294,0
3634.343407,0
4249.567037,0
3179.275389,0
384,0
2259.863934,0
2208.17685,0
3623.617667,8
4164.92557,0
4143.830595,0
4235.625101,0
4253.641381,0
4254.637235,0
4193.618008,0
4212.813074,0
4139.295592,0
4118.567834,0
4023.366874,3
4034.412101,0
4111.161028,0
4235.17237,0
4169.535706,0
4245.131918,0
4172.798821,0
4252.373572,0
4235.625101,0
4231.550661,0
4185.286609,0
4130.886709,0
4195.793131,0
4138.945035,0
4248.571172,0
4248.480434,0
4097.565253,0
3892.960955,0
4239.699636,0
4119.032168,0
4235.71635,0
2215.669876,4
4252.014229,0
4230.37327,0
4136.675598,0
3772.088281,0
3942.356656,0
4169.535706,0
4038.298652,0
3438.352222,12
3908.907264,0
3798.065297,4
3330.747814,3
4185.560058,0
4150.249752,0
3890.407177,0
4056.742782,0
3323.908091,0
4252.554644,0
4231.733096,0
4057.307728,0
4203.393867,0
4218.061403,0
4203.303106,0
4020.476216,4
3596.8122,4
4210.821535,4
4231.733096,4
4045.457329,4
4248.571172,4
4253.550517,4
4116.947534,0
4172.523098,0
4254.365405,0
4057.64513,0
4003.45863,0
4255.63309,0
4164.022694,0
3992.932381,0
4179.953708,0
3862.540615,0
3957.095526,0
4031.758921,0
4050.841518,0
4215.446003,0
4237.074462,0
4203.393867,0
4208.46409,0
4254.637235,0
4117.5721,0
4128.179865,2
4159.947115,0
4160.573638,3
4199.977619,4
3789.607499,0
3889.802694,0
3581.43058,0
3014.567299,0
4254.546392,0
4212.721329,0
3964.585476,0
4236.712169,0
4186.647465,0
3560.551081,0
4067.357496,0
4231.560114,0
4075.226865,0
4208.282548,0
4163.781574,0
4251.64968,0
4232.45567,0
4119.032168,0
4085.248707,0
3769.302588,0
3617.479786,0
4031.293217,0
4090.254271,0
3340.222897,0
4250.201525,0
2037.931549,0
3310.083081,2
4254.546392,0
4254.546392,0
4254.546392,0
4251.558773,0
3482.237355,0
4035.312256,0
4090.967856,0
4117.228437,0
3924.830187,0
4131.073105,0
4094.048363,0
4251.64968,0
4121.832723,0
4251.64968,0
3926.820597,0
4180.764763,0
4188.822866,0
4218.787741,0
3571.702255,0
3793.382923,0
3717.096313,0
4102.822078,0
3364.868199,6
4123.91707,0
3753.693115,0
4223.583905,0
4245.674622,0
4126.188677,0
4104.286174,0
4167.820174,0
4251.558773,0
4162.934182,0
3884.826894,0
3440.163078,0
3433.540447,0
4155.871629,0
3735.378963,0
3891.093548,0
4042.280544,0
4085.339643,0
3444.138499,0
3987.532696,2
4154.06608,3
3772.593935,0
4006.540777,0
3734.793301,0
4086.891851,0
3572.804081,0
4156.682571,0
3924.841525,0
4006.540777,0
4250.472209,0
3659.099616,0
3673.232092,8
3840.943244,5
4222.717727,0
4094.93199,0
4026.544424,0
3994.789732,0
3948.715741,0
4100.209751,0
4067.45252,0
3720.97111,0
1865.939978,2
3341.449386,0
3258.172494,5
3253.62106,0
4115.049696,0
4062.475231,7
4199.868212,0
4112.2506,0
3739.66429,0
3853.281848,0
3060.062908,0
4160.757743,0
3714.899864,0
4084.092555,0
4107.800385,0
4250.472209,0
3097.398263,0
3820.047382,0
3251.304507,8
3545.569066,0
3889.901027,0
4196.880985,0
4019.672872,0
4074.944539,0
4121.832723,0
3415.766532,0
3970.419121,0
4111.067258,0
4106.897856,0
4207.65077,0
3746.832529,2
4104.004386,0
3369.609028,0
3640.099449,2
4164.736846,0
4127.992854,0
2992.995155,0
4215.43509,0
4239.517543,0
4216.613096,0
4199.868212,0
4150.893157,0
3538.67885,3
4167.727918,0
4073.330456,0
3755.478665,0
3916.868647,0
4251.64968,0
4119.032168,0
3979.569952,0
3124.196057,0
4161.035688,0
4167.009719,0
3898.978969,0
4232.728907,0
4222.770891,0
4225.758275,0
4226.754074,0
4187.919412,0
4221.775101,0
4147.096575,0
4195.885246,0
4181.945122,0
4191.902313,0
4133.596134,0
4254.365405,0
4232.728907,0
3490.409288,7
4214.71292,0
4061.384616,0
4109.263924,0
3988.817995,2
4210.821535,0
4189.910858,0
4105.28172,0
4101.205311,3
3308.549229,0
4031.425802,0
4253.550517,0
3937.232531,0
3298.428717,3
4057.21296,0
4188.915134,0
4065.461597,0
3956.677899,0
4165.828729,0
3440.496621,0
3510.067948,0
4206.290765,0
4040.480169,0
3194.799681,3
3272.256255,0
4254.546392,0
4019.194571,2
3922.056731,0
3814.312258,0
3755.073901,5
3537.901214,3
3842.757604,4
4204.43825,0
2230.684648,2
4052.330317,0
4196.788892,0
2306.360986,0
4249.657986,0
4155.862967,0
3853.182062,0
3804.530194,0
3998.67428,0
2680.076305,12
4151.981696,0
4223.492867,0
4223.402065,0
4254.546392,0
4134.869405,2
3934.490691,0
3825.222216,0
3977.195117,0
4167.009719,0
3912.594663,0
3870.79643,0
3929.006999,0
4130.077481,0
4084.281087,0
4148.994698,0
4095.231984,0
4006.733458,0
3833.483012,0
4106.183143,0
4069.348474,0
4083.285564,0
4005.641646,0
4168.90837,0
4148.994698,0
4039.484744,4
4088.263201,4
4254.637235,0
4232.733396,0
4103.714049,0
4241.60017,0
4227.476316,0
4253.641381,0
2524.229982,0
3628.483016,3
4004.550037,0
4221.68355,0
3915.580417,0
3006.728787,0
4251.558773,0
4248.571172,0
4081,0
4157.854856,0
3714.386356,0
2751.265164,2
