@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-38,40-46'

@attribute 'd(LOC, RFC)' numeric
@attribute #Risk numeric

@data
17214440,0
7800997,0
16736520,0
13119060,0
17910065,0
13126299,0
17322478,0
17901608,0
14907529,0
14915249,0
15737322,0
14447811,0
13535247,0
11888878,0
17758043,0
13111853,0
17057128,0
17280887,0
13061175,0
17910068,0
9960575,0
203,0
4959736,0
4726522,0
12981782,8
17197843,0
17024101,0
17791765,0
17943941,0
17952415,0
17439211,0
17598264,0
16991107,0
16818430,0
16040234,3
16128481,0
16752876,0
17791767,0
17239339,0
17876225,0
17264259,0
17935471,0
17791765,0
17758038,0
17372450,0
16917006,0
17455915,0
16982866,0
17901605,0
17901605,0
16646615,0
15023597,0
17825526,0
16818433,0
17791764,0
4804965,4
17935469,0
17749610,0
16966389,0
14085214,0
15397987,0
17239338,0
16160620,0
11703399,12
15132297,0
14288602,4
10949619,3
17372454,0
17081914,0
14992603,0
16313734,0
10903409,0
17935469,0
17758019,0
16313742,0
17522829,0
17648637,0
17522829,0
16016209,4
12795105,4
17581483,4
17758038,4
16216951,4
17901601,4
17943941,4
16802025,0
17264257,0
17952415,0
16321824,0
15880436,0
17960891,0
17189549,0
15800846,0
17322480,0
14776545,0
15515938,0
16112414,0
16273358,0
17631840,0
17808642,0
17522829,0
17564720,0
17952415,0
16810228,0
16892315,2
17156397,0
17164673,3
17506092,4
14213080,0
14984854,0
12680900,0
9000145,0
17952415,0
17598264,0
15579014,0
17800201,0
17380795,0
12531776,0
16394610,0
17766463,0
16459463,0
17564719,0
17231034,0
17927001,0
17766463,0
16818424,0
16556979,0
14070169,0
12988998,0
16112405,0
16581400,0
11022524,0
17918531,0
4008082,0
10817675,2
17952415,0
17952415,0
17952415,0
17927000,0
11978688,0
16136508,0
16589543,0
16802030,0
15257044,0
16916990,0
16613997,0
17927001,0
16843037,0
17927001,0
15272672,0
17330801,0
17397478,0
17648640,0
12609761,0
14250823,0
13667968,0
16687461,0
11175799,6
16859463,0
13942942,0
17690673,0
17876226,0
16875888,0
16695621,0
17222733,0
17926999,0
17181253,0
14946147,0
11689699,0
11641901,0
17123272,0
13808851,0
14992595,0
16192789,0
16548848,0
11717086,0
15753175,2
17106724,3
14085208,0
15904353,0
13801420,0
16556984,0
12616901,0
17131551,0
15288251,0
15904355,0
17918534,0
13242494,0
13344579,8
14607869,5
17699087,0
16630313,0
16064270,0
15808785,0
15445108,0
16662949,0
16394618,0
13697592,0
3334296,2
11022526,0
10484740,5
10439509,0
16785631,0
16354151,7
17489358,0
16761062,0
13838590,0
14699769,0
9217459,0
17164678,0
13653211,0
16532585,0
16728324,0
17918531,0
9449646,0
14447794,0
10458892,8
12432817,0
14984844,0
17464273,0
16008208,0
16459470,0
16843043,0
11519394,0
15618536,0
16752873,0
16720137,0
17556337,0
13890743,2
16695625,0
11209253,0
13104574,2
17206124,0
16892329,0
8809241,0
17623439,0
17825527,0
17631841,0
17489360,0
17081925,0
12376511,3
17222729,0
16443247,0
13957865,0
15194614,0
17927001,0
16818424,0
15689729,0
9616351,0
17164680,0
17214435,0
15062385,0
17766465,0
17682264,0
17707505,0
17715921,0
17389133,0
17673857,0
17048873,0
17455918,0
17339132,0
17422514,0
16941678,0
17952415,0
17766465,0
12034114,7
17615045,0
16346070,0
16736504,0
15761119,2
17581482,0
17405818,0
16703796,0
16671108,3
10804518,0
16104388,0
17943941,0
15382273,0
10732332,3
16313724,0
17397473,0
16378431,0
15508056,0
17206136,0
11689739,0
12173307,0
17547956,0
16176686,0
10061713,3
10562642,0
17952415,0
16008222,2
15366595,0
14417399,0
13957877,5
12369486,3
14630804,4
17648640,0
4941729,2
16273386,0
17464272,0
5171210,0
17910069,0
17131549,0
14699750,0
14326403,0
15840629,0
7038556,12
17090184,0
17690675,0
17690676,0
17952415,0
16949914,2
15335240,0
14485810,0
15673881,0
17214429,0
15163444,0
14838111,0
15288317,0
16908773,0
16532577,0
17065391,0
16622169,0
15904368,0
14546804,0
16711969,0
16410819,0
16524446,0
15896391,0
17231035,0
17065389,0
16168660,4
16565127,4
17952415,0
17774896,0
16703795,0
17842409,0
17724339,0
17943941,0
6245129,0
13017853,3
15888413,0
17673858,0
15186817,0
8898404,0
17926999,0
17901601,0
16654781,0
17148113,0
13653227,0
7431197,2
