@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-31,33-46'

@attribute 'd(RFC, Ca)' numeric
@attribute #Risk numeric

@data
335.180548,0
279.415461,0
337.997041,0
296.006757,0
338.710791,0
291.665905,0
335.912191,0
345.09419,0
318.347295,0
317.15769,0
335.216348,0
319.657629,0
317.044161,0
294.82198,0
345.09419,0
320.224921,0
331.760456,0
338.710791,0
299.401069,0
342.95335,0
338.704886,0
314.338989,0
316.936902,0
343.680084,0
297.47773,8
335.912191,0
328.246858,0
341.533307,0
340.87241,0
342.982507,0
336.609566,0
340.124977,0
318.924756,0
328.841907,0
319.757721,3
328.975683,0
331.802652,0
342.947518,0
335.180548,0
334.522047,0
335.912191,0
340.898812,0
341.533307,0
340.124977,0
328.933124,0
335.876465,0
334.551939,0
329.70593,0
343.656806,0
342.95335,0
321.474727,0
316.096504,0
338.7226,0
332.367267,0
340.119097,0
220.49263,4
327.867351,0
338.008876,0
331.034741,0
316.395322,0
318.813425,0
334.480194,0
325.576412,0
274.934538,12
310.497987,0
312.166622,4
275.114522,3
332.415403,0
327.519465,0
322.691803,0
318.650279,0
313.359219,0
342.25137,0
326.879183,0
324.052465,0
332.352223,0
334.462255,0
331.639865,0
316.395322,4
295.20332,4
336.630361,4
341.533307,4
327.665989,4
339.411255,4
342.265978,4
328.292552,0
331.651926,0
334.731236,0
326.105811,0
317.316876,0
344.396574,0
333.066059,0
324.052465,0
334.462255,0
315.990506,0
321.337829,0
322.013975,0
310.644491,0
329.620994,0
336.630361,0
332.352223,0
336.585799,0
342.28643,0
326.710881,0
322.964394,2
335.216348,0
326.833291,3
315.241177,4
296.809703,0
320.140594,0
295.408192,0
248.654379,0
342.28643,0
323.488794,0
311.849323,0
340.828403,0
333.05405,0
293.600068,0
315.990506,0
320.062494,0
318.578091,0
335.876465,0
296.892236,0
344.367536,0
335.876465,0
328.344332,0
311.13984,0
292.957335,0
280.166022,0
318.24676,0
322.886977,0
249.92999,0
338.023668,0
251.406046,0
286.001748,2
344.379151,0
343.680084,0
344.379151,0
342.25137,0
294.02891,0
326.381678,0
323.047984,0
333.174129,0
318.347295,0
327.727021,0
326.252969,0
342.965013,0
326.989297,0
344.367536,0
319.104998,0
335.243195,0
338.7226,0
340.124977,0
290.110324,0
311.905434,0
289.560011,0
337.308464,0
283.867927,6
331.802652,0
305.221231,0
338.7226,0
342.239682,0
329.024315,0
329.70593,0
335.216348,0
340.837204,0
331.760456,0
305.16389,0
272.523393,0
286.790865,0
332.487594,0
309.232922,0
320.31547,0
322.386414,0
325.379778,0
285.119273,0
321.552484,2
332.487594,3
312.541197,0
319.757721,0
309.232922,0
327.61105,0
312.046471,0
333.862247,0
275.974636,0
321.068529,0
340.177895,0
295.04237,0
294.925414,8
301.444854,5
337.290676,0
326.695577,0
317.804972,0
319.757721,0
319.104998,0
329.70593,0
325.043074,0
307.509349,0
235.849528,2
263.129246,0
260.345924,5
281.964537,0
328.402192,0
323.711291,7
336.630361,0
331.119314,0
307.675153,0
322.386414,0
290.946731,0
333.174129,0
304.428974,0
333.174129,0
326.105811,0
333.174129,0
294.108823,0
308.755567,0
265.480696,8
276.631524,0
315.103158,0
335.243195,0
316.936902,0
324.784544,0
329.620994,0
288.175294,0
332.367267,0
329.757487,0
324.376325,0
338.7226,0
323.047984,2
333.174129,0
284.191837,0
294.82198,2
325.576412,0
333.174129,0
325.043074,0
336.609566,0
342.242604,0
339.411255,0
337.308464,0
337.308464,0
305.831653,3
331.001511,0
327.665989,0
295.169443,0
318.152479,0
344.367536,0
329.079018,0
319.104998,0
282.171933,0
334.551939,0
335.912191,0
321.054512,0
340.119097,0
339.414201,0
340.825468,0
340.119097,0
335.216348,0
340.825468,0
334.522047,0
335.912191,0
337.308464,0
338.710791,0
324.735277,0
332.031625,0
340.119097,0
284.6208,7
337.308464,0
326.989297,0
328.344332,0
325.640907,2
335.216348,0
335.912191,0
331.07401,0
325.640907,3
277.411247,0
325.640907,0
342.265978,0
307.058626,0
287.083612,3
315.868644,0
335.243195,0
328.402192,0
321.726592,0
335.243195,0
299.608077,0
305.221231,0
333.048045,0
314.459854,0
272.472017,3
278.861973,0
336.77292,0
326.252969,2
222.427516,0
286.174772,0
292.679005,5
310.497987,3
288.300191,4
264.796148,0
49,2
332.415403,0
334.551939,0
275.748073,0
344.367536,0
280.273081,0
310.161248,0
300.413049,0
333.174129,0
267.091745,12
332.487594,0
338.704886,0
337.296605,0
340.898812,0
328.975683,2
296.892236,0
292.40554,0
308.585483,0
332.487594,0
316.082268,0
313.918779,0
324.299244,0
332.448492,0
326.989297,0
333.138109,0
340.119097,0
329.757487,0
318.347295,0
329.70593,0
324.969229,0
326.989297,0
327.665989,0
335.912191,0
331.760456,0
326.381678,4
331.07401,4
332.031625,0
333.108091,0
318.201194,0
333.066059,0
338.704886,0
342.265978,0
249.359179,0
306.271122,3
324.299244,0
341.533307,0
314.579084,0
260.731663,0
340.136737,0
335.195465,0
220,0
328.805414,0
309.885463,0
254.59183,2
