@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-21,23-46'

@attribute 'd( WMC,CBO)' numeric
@attribute #Risk numeric

@data
253.663162,0
246.677928,0
257.388811,0
249.89998,0
255.890602,0
244.920395,0
256.320112,0
261.847284,0
256.095685,0
252.033728,0
258.897663,0
254.607541,0
254.275441,0
245.751907,0
261.847284,0
253.617823,0
259.978845,0
259.978845,0
247.800323,0
261.467015,0
258.321505,0
246.288449,0
248.485412,0
260.541743,0
244.859143,8
258.11819,0
257.388811,0
261.090023,0
257.386868,0
259.617026,0
259.6151,0
259.6151,0
247.541916,0
249.230817,0
257.029181,3
255.538647,0
257.188647,0
261.644797,0
255.331157,0
250.319795,0
255.704908,0
255.001961,0
261.090023,0
257.559702,0
254.230211,0
255.704908,0
259.48025,0
258.193726,0
262.017175,0
261.090023,0
253.402841,0
242.89298,0
255.704908,0
256.259634,0
259.416653,0
202.071769,4
240.435022,0
256.082018,0
256.672944,0
258.897663,0
255.970701,0
258.487911,0
251.288679,0
228.632893,12
252.936751,0
242.903273,4
238.503669,3
255.704908,0
252.174543,0
249.57564,0
247.776109,0
251.11352,0
258.860967,0
232.757384,0
247.163913,0
256.082018,0
255.156814,0
255.156814,0
256.563832,4
236.660094,4
260.345924,4
260.716321,4
257.388811,4
258.321505,4
259.237343,4
250.874471,0
255.704908,0
247.648945,0
250.505489,0
243.261177,0
259.077209,0
255.156814,0
251.803495,0
253.308113,0
247.552015,0
249.57564,0
247.541916,0
231.482181,0
243.846263,0
250.153953,0
256.082018,0
255.52495,0
257.769277,0
250.241883,0
253.663162,2
255.704908,0
250.319795,3
228.667881,4
238.882816,0
252.810205,0
243.813453,0
204.362423,0
257.769277,0
237.928561,0
243.823707,0
261.644797,0
255.331157,0
245.405786,0
223.933026,0
232.228336,0
249.57564,0
255.156814,0
205.718254,0
261.467015,0
253.308113,0
252.549005,0
234.917007,0
239.970832,0
223.257699,0
248.128999,0
250.710989,0
194.535344,0
254.403223,0
220.880058,0
234.682765,2
260.541743,0
260.541743,0
260.541743,0
259.788375,0
247.695377,0
254.230211,0
249.777901,0
254.593794,0
245.686792,0
253.852319,0
252.578701,0
259.617026,0
254.960781,0
261.467015,0
250.505489,0
255.890602,0
260.716321,0
260.16341,0
242.528349,0
249.89998,0
240.6512,0
259.978845,0
243.515913,6
257.256681,0
246.677928,0
258.860967,0
261.090023,0
250.697028,0
254.232177,0
255.156814,0
255.704908,0
255.156814,0
242.981481,0
224.116041,0
246.657657,0
256.259634,0
243.189227,0
251.445819,0
251.071703,0
249.89998,0
238.046214,0
257.963176,2
251.077677,3
244.859143,0
248.485412,0
248.567898,0
254.803846,0
251.803495,0
258.487911,0
212.084889,0
251.803495,0
256.846257,0
249.226804,0
245.86175,8
242.63759,5
255.538647,0
250.139961,0
253.475837,0
253.663162,0
257.963176,0
255.624725,0
257.386868,0
245.422085,0
208.540164,2
217.441946,0
227.03524,5
240.6512,0
252.733061,0
253.102746,7
258.311827,0
257.9341,0
252.578701,0
250.241883,0
245.122418,0
254.960781,0
246.050808,0
256.095685,0
252.003968,0
248.847343,0
234.029913,0
248.485412,0
220.41098,8
232.963516,0
253.513313,0
258.311827,0
255.156814,0
253.160028,0
248.89556,0
239.459809,0
256.095685,0
253.663162,0
250.505489,0
256.632032,0
251.246891,2
258.487911,0
222.948424,0
239.081576,2
248.128999,0
257.751819,0
257.751819,0
257.007782,0
258.311827,0
259.048258,0
258.683204,0
259.254701,0
253.747906,3
255.738147,0
258.487911,0
242.392244,0
254.686081,0
261.467015,0
255.890602,0
253.298243,0
233.430932,0
256.632032,0
257.559702,0
244.969386,0
259.237343,0
259.237343,0
257.9341,0
257.007782,0
255.704908,0
257.9341,0
257.559702,0
257.559702,0
257.751819,0
258.11819,0
236.915597,0
243.987705,0
259.237343,0
236.239285,7
256.462473,0
252.001984,0
253.692727,0
253.692727,2
256.462473,0
255.538647,0
254.232177,0
253.308113,3
233.754144,0
248.847343,0
258.311827,0
242.297338,0
245.405786,3
248.364651,0
257.386868,0
257.007782,0
255.890602,0
256.259634,0
242.571639,0
252.936751,0
253.475837,0
249.57564,0
238.436574,3
233.574399,0
250.401677,0
254.593794,2
126.194295,0
224.610774,0
237.52263,5
252.982213,3
234.785008,4
149.164339,0
41,2
258.860967,0
257.559702,0
241.598841,0
262.392835,0
187.171045,0
255.52495,0
250.874471,0
260.716321,0
224.243172,12
258.860967,0
258.860967,0
256.259634,0
255.001961,0
254.778335,2
240.875486,0
243.632921,0
244.468812,0
257.007782,0
245.120379,0
239.135945,0
253.513313,0
255.52495,0
254.230211,0
255.52495,0
258.487911,0
259.48025,0
251.525347,0
255.52495,0
251.435877,0
254.230211,0
253.513313,0
257.559702,0
257.188647,0
254.803846,4
258.11819,4
244.902021,0
248.308276,0
240.47661,0
254.001969,0
259.788375,0
258.311827,0
211.293634,0
253.001976,3
255.384025,0
259.788375,0
244.859143,0
231.603109,0
256.632032,0
251.803495,0
85,0
247.552015,0
245.405786,0
224.859956,2
