@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-19,21-30'

@attribute 'd(RFC, Ca)' numeric
@attribute #Severity {0,1,2}

@data
0.933037,0
0.556366,0
0.952062,0
0.668434,0
0.956883,0
0.639113,0
0.937979,0
1,0
0.819335,0
0.8113,0
0.933279,0
0.828186,0
0.810533,0
0.660431,0
1,0
0.832018,0
0.909936,0
0.956883,0
0.691361,0
0.985539,0
0.956843,0
0.792261,0
0.809809,0
0.990448,0
0.67837,2
0.937979,0
0.886203,0
0.975948,0
0.971484,0
0.985736,0
0.94269,0
0.966435,0
0.823236,0
0.890222,0
0.828862,1
0.891126,0
0.910221,0
0.9855,0
0.933037,0
0.928589,0
0.937979,0
0.971662,0
0.975948,0
0.966435,0
0.890838,0
0.937738,0
0.928791,0
0.896058,0
0.990291,0
0.985539,0
0.84046,0
0.804132,0
0.956962,0
0.914035,0
0.966395,0
0.158365,2
0.883639,0
0.952141,0
0.905034,0
0.80615,0
0.822484,0
0.928307,0
0.868165,0
0.526099,2
0.766316,0
0.777587,2
0.527315,1
0.91436,0
0.88129,0
0.848681,0
0.821382,0
0.785643,0
0.980798,0
0.876965,0
0.857871,0
0.913933,0
0.928185,0
0.909121,0
0.80615,2
0.663007,2
0.94283,2
0.975948,2
0.882279,2
0.961614,2
0.980897,2
0.886512,0
0.909203,0
0.930002,0
0.871741,0
0.812375,0
0.995288,0
0.918755,0
0.857871,0
0.928185,0
0.803416,0
0.839535,0
0.844102,0
0.767306,0
0.895485,0
0.94283,0
0.913933,0
0.942529,0
0.981035,0
0.875828,0
0.850522,1
0.933279,0
0.876655,1
0.798355,2
0.673857,0
0.831448,0
0.664391,0
0.348587,0
0.981035,0
0.854064,0
0.775444,0
0.971186,0
0.918674,0
0.652177,0
0.803416,0
0.830921,0
0.820894,0
0.937738,0
0.674415,0
0.995092,0
0.937738,0
0.886861,0
0.770652,0
0.647836,0
0.561436,0
0.818656,0
0.849999,0
0.357203,0
0.952241,0
0.367173,0
0.600854,1
0.99517,0
0.990448,0
0.99517,0
0.980798,0
0.655074,0
0.873604,0
0.851087,0
0.919485,0
0.819335,0
0.882692,0
0.872735,0
0.985618,0
0.877709,0
0.995092,0
0.824453,0
0.93346,0
0.956962,0
0.966435,0
0.628606,0
0.775823,0
0.624888,0
0.94741,0
0.586441,1
0.586441,1
0.910221,0
0.730674,0
0.956962,0
0.980719,0
0.891454,0
0.896058,0
0.933279,0
0.971246,0
0.909936,0
0.730287,0
0.509813,0
0.606184,0
0.914847,0
0.757771,0
0.832629,0
0.846618,0
0.866837,0
0.594893,0
0.840985,1
0.914847,1
0.780117,0
0.828862,0
0.757771,0
0.881908,0
0.776776,0
0.924133,0
0.533125,0
0.837716,0
0.966792,0
0.66192,0
0.66113,1
0.66113,1
0.66113,1
0.705166,1
0.705166,1
0.94729,0
0.875725,0
0.815672,0
0.828862,0
0.824453,0
0.896058,0
0.864563,0
0.746129,0
0.262095,1
0.446359,0
0.427559,1
0.427559,1
0.573584,0
0.887252,0
0.855567,2
0.94283,0
0.905605,0
0.747249,0
0.846618,0
0.634255,0
0.919485,0
0.725322,0
0.919485,0
0.871741,0
0.919485,0
0.655614,0
0.754547,0
0.462242,2
0.537562,0
0.797422,0
0.93346,0
0.809809,0
0.862816,0
0.895485,0
0.615535,0
0.914035,0
0.896407,0
0.860059,0
0.956962,0
0.851087,1
0.919485,0
0.588629,0
0.660431,1
0.868165,0
0.919485,0
0.864563,0
0.94269,0
0.980739,0
0.961614,0
0.94741,0
0.94741,0
0.734797,1
0.904809,0
0.882279,0
0.662778,0
0.818019,0
0.995092,0
0.891824,0
0.824453,0
0.574985,0
0.928791,0
0.937979,0
0.837621,0
0.966395,0
0.961634,0
0.971166,0
0.966395,0
0.933279,0
0.971166,0
0.928589,0
0.937979,0
0.94741,0
0.956883,0
0.862484,0
0.911768,0
0.966395,0
0.591526,2
0.94741,0
0.877709,0
0.886861,0
0.868601,1
0.933279,0
0.937979,0
0.905299,0
0.868601,1
0.542828,0
0.868601,0
0.980897,0
0.743085,0
0.608161,1
0.802593,0
0.93346,0
0.887252,0
0.842161,0
0.93346,0
0.692759,0
0.730674,0
0.918633,0
0.793077,0
0.509466,1
0.552627,0
0.943793,0
0.872735,1
0.171435,0
0.602022,0
0.645956,1
0.645956,1
0.766316,1
0.616379,2
0.457618,0
-1,1
0.91436,0
0.928791,0
0.531594,0
0.995092,0
0.562159,0
0.764042,0
0.698196,0
0.919485,0
0.473124,2
0.914847,0
0.956843,0
0.94733,0
0.971662,0
0.891126,1
0.674415,0
0.644109,0
0.753398,0
0.914847,0
0.804036,0
0.789422,0
0.859538,0
0.914583,0
0.877709,0
0.919241,0
0.966395,0
0.896407,0
0.819335,0
0.896058,0
0.864064,0
0.877709,0
0.882279,0
0.937979,0
0.909936,0
0.873604,2
0.905299,2
0.911768,0
0.919039,0
0.818348,0
0.918755,0
0.956843,0
0.980897,0
0.353348,0
0.737765,1
0.859538,0
0.975948,0
0.793882,0
0.430164,0
0.966514,0
0.933138,0
0.155038,0
0.889976,0
0.762179,0
0.388692,1
