@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.621368,0
0.964337,0
0.934117,0
0.94881,0
0.911186,0
0.955262,0
0.968764,0
0.54133,0
0.928317,0
0.990292,0
0.990292,0
0.923866,0
0.702037,0
0.761972,0
0.896551,0
0.94778,0
0.921431,0
0.852223,0
0.920023,0
0.896063,0
0.949298,0
0.954069,0
0.937045,0
0.931245,0
0.945883,0
0.95369,0
0.963883,0
0.558447,0
0.752712,0
0.929726,0
0.960034,0
0.580543,0
0.871978,0
0.562116,0
0.861185,0
0.9371,0
0.987477,0
0.94176,0
0.949568,0
0.940567,0
0.998006,0
0.900509,0
0.866366,0
0.924736,0
0.976626,0
0.99078,0
0.998878,0
0.759535,0
0.934172,0
0.933629,0
0.936557,0
0.933684,0
0.965402,0
0.997994,0
0.836503,0
0.949026,0
0.907283,0
0.980531,0
0.95613,0
0.858879,0
0.933455,0
0.496241,0
0.591543,0
0.945395,0
0.730542,0
0.934117,0
0.861205,0
0.490338,0
0.571652,0
0.646581,0
0.90359,0
0.9371,0
0.615653,0
0.948701,0
0.994196,0
0.760022,0
0.869928,0
0.606404,0
0.954178,0
0.810718,0
0.936124,0
0.672876,0
0.930049,0
0.620778,0
0.389359,0
0.24969,0
0.998917,0
0.894168,0
0.772652,0
0.681546,0
0.831742,0
0.930482,0
0.903103,0
0.720309,0
0.90603,0
0.833347,0
0.875294,0
0.61828,0
0.920511,0
0.962637,0
0.726771,0
0.895631,0
0.70009,0
0.8392,0
0.777081,0
0.994747,0
0.977226,0
0.694668,0
0.69948,0
0.815792,0
0.847417,0
0.312057,0
0.438188,0
0.503047,0
0.844134,0
0.739374,0
0.447563,0
0.573599,0
0.551082,0
0.444998,0
0.496307,0
-0.020738,0
0.700029,0
0.831742,0
0.772517,0
0.866252,0
0.373456,0
0.870642,0
0.823164,0
0.931733,0
0.933086,0
0.927663,0
0.814015,0
0.764469,0
0.818577,0
0.771232,0
0.879909,0
0.960094,0
0.895631,0
0.956021,0
0.905764,0
0.917584,0
0.930159,0
0.864415,0
0.882405,0
0.919535,0
0.97321,0
0.923383,0
0.964859,0
0.96589,0
0.962962,0
0.99078,0
0.982971,0
0.987851,0
0.381297,0
0.839334,0
0.463,0
0.166801,0
0.333992,0
0.808464,0
0.714035,0
0.611888,0
0.765675,0
0.804084,0
0.740836,0
0.430899,0
0.417306,0
0.405722,0
0.567048,0
0.877958,0
0.823709,0
0.851247,0
0.400939,0
0.748159,0
0.900231,0
0.858053,0
0.572466,0
0.86612,0
0.747243,0
0.599232,0
0.853287,0
0.585022,0
0.719033,0
0.84858,0
0.910155,0
-1,0
0.609876,0
0.909611,0
0.655156,0
0.90674,0
0.896007,0
0.846874,0
0.59271,0
0.902992,0
0.845858,0
0.825975,0
0.754662,0
0.882445,0
0.90711,0
-0.022958,0
0.795196,0
0.757158,0
0.899046,0
0.901429,0
0.868804,0
0.911558,0
0.830163,0
0.800421,0
0.886083,0
0.831942,0
0.780493,0
0.696255,0
0.902615,0
0.779888,0
0.947183,0
0.878559,0
0.509854,0
0.737485,0
0.875951,0
0.854921,0
0.907329,0
0.523956,0
0.919259,0
0.952226,0
0.934605,0
0.704474,0
0.778056,0
0.77172,0
0.88278,0
0.901373,0
0.955533,0
0.697593,0
0.962962,0
0.895352,0
0.669467,0
0.803497,0
0.743453,0
0.816627,0
0.827495,0
0.681093,0
0.808826,0
0.860399,0
0.868578,0
0.724023,0
0.65723,0
0.946749,0
0.824858,0
0.82199,0
0.842957,0
0.816139,0
0.837593,0
0.945989,0
0.849297,0
0.850272,0
0.85271,0
0.921321,0
0.608058,0
0.871017,0
0.838453,0
0.871731,0
0.897736,0
0.911452,0
0.930049,0
0.954069,0
0.928421,0
0.910643,0
0.877096,0
0.878221,0
0.861001,0
0.854433,0
0.93981,0
0.826866,0
0.831684,0
0.882461,0
0.811751,0
0.88777,0
0.93097,0
0.938887,0
0.923651,0
0.885875,0
0.814677,0
0.928317,0
0.885819,0
0.714279,0
0.938995,0
0.838511,0
0.910266,0
0.948159,0
0.923816,0
0.940406,0
0.917473,0
0.82004,0
0.901373,0
0.95369,0
0.910964,0
0.873194,0
0.951906,0
0.816139,0
0.928695,0
0.927445,0
0.963179,0
0.894168,0
0.946649,0
0.891129,0
0.913193,0
0.862464,0
0.947237,0
0.947237,0
0.947237,0
0.842412,0
0.930159,0
0.890753,0
0.872593,0
0.862952,0
0.880453,0
0.929238,0
0.921919,0
0.956943,0
0.863382,0
0.854661,0
0.937045,0
0.849297,0
0.873194,0
0.667519,0
0.874169,0
0.946044,0
0.952171,0
0.965402,0
0.783965,0
0.946423,0
0.959437,0
0.941491,0
0.803834,0
0.920345,0
0.958787,0
0.805414,0
0.906851,0
0.971816,0
0.93341,0
0.923926,0
0.913625,0
0.938887,0
0.925657,0
0.922407,0
0.900941,0
0.916553,0
0.956075,0
0.815652,0
0.897039,0
0.967733,0
0.887339,0
0.802859,0
0.879534,0
0.974839,0
0.928805,0
0.946859,0
0.956455,0
0.836073,0
0.931245,0
0.933141,0
0.974674,0
0.974674,0
0.918937,0
0.89216,0
0.979232,0
0.962419,0
0.839974,0
0.962907,0
0.976411,0
0.972234,0
0.977548,0
0.962149,0
0.867772,0
0.460619,0
0.91856,0
0.877527,0
0.923871,0
0.978256,0
0.978744,0
0.89216,0
0.904844,0
0.901429,0
0.974078,0
0.965946,0
0.994959,0
0.916065,0
0.925823,0
0.935148,0
0.90939,0
0.935093,0
0.943876,0
0.8849,0
0.971638,0
0.900021,0
0.976138,0
0.897526,0
0.893624,0
0.949244,0
0.948756,0
0.9049,0
0.818031,0
0.974839,0
0.963883,0
0.965673,0
0.926798,0
0.894599,0
0.992953,0
0.934117,0
0.941924,0
0.952659,0
0.950653,0
0.97077,0
0.974244,0
0.986607,0
0.974351,0
0.974351,0
0.988678,0
0.938509,0
0.959979,0
0.94778,0
0.938723,0
0.878333,0
0.877583,0
0.912705,0
0.961443,0
0.961443,0
0.958082,0
0.997293,0
0.980762,0
0.960467,0
0.966812,0
0.947292,0
0.983786,0
0.972668,0
0.980477,0
0.934605,0
0.996752,0
0.990841,0
0.755089,0
0.978471,0
0.900397,0
0.948268,0
0.964859,0
0.980911,0
0.923871,0
0.870585,0
0.920944,0
0.949084,0
0.911186,0
0.962907,0
0.968939,0
0.962907,0
0.977801,0
0.985738,0
