Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.tar.TarEntry,1,0,0,0,0,0,0,0,0,35,8,73,6,2,776,0.29855443,5,3788.576118,422.000583,430.4753187,498.3031206,491.000501,3796.881088,3765.162679,3797.010535,91.92388155,499.2884938,0,8,800.5183865,536.9255069,3765.190304,3803.092689,776.8950265,3765.959373,777.5479536,6445529.046,14175440,7440,0,0,0,0,0,0,0
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,6,64,17,59,5,67,0.000162232,13,4493.113842,414.0012073,429.408896,449.6898931,435.0011491,4495.097441,4474.114438,4495.486292,118.4060809,453.5603598,0,8,280.564027,515.9089067,4474.387322,4503.647189,89.20562107,4475.452156,89.29030774,604022.0072,20016947,13267,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.JakartaOroMatcher,1,0,0,0,0,0,0,0,0,9,8,21,1,7,135,0.950135183,2,4426.450158,425.0000029,439.2561895,503.3905045,491.0000025,4433.273847,4406.102132,4433.942377,114.9826074,509.2445385,0,8,298.8172411,564.1790496,4406.012755,4441.974111,135.4482953,4407.397985,135.6023658,1207866.007,19413103,12588,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.JakartaOroRegexp,1,0,0,0,0,0,0,0,0,3,10,16,0,10,105,0.984771837,1,4456.407971,426.0000003,441.7748295,502.802148,489.0000002,4462.870937,4436.082168,4463.866037,120.0749766,511.5593807,0,8,291.2940034,567.4398647,4436.006074,4472.145346,105.308889,4437.542676,105.2988026,942601.0058,19678368,13961,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.AntStructure,1,0,0,0,0,0,0,0,0,8,6,36,1,6,182,0.926489586,1,4379.766775,426.0000063,440.4770142,505.5620635,493.0000055,4386.790398,4359.11023,4387.24173,116.211015,509.4634432,0,11,310.1930808,557.2369334,4359.035305,4394.47312,182.868153,4360.438625,182.9895932,1619836.01,19001133,12796,0,0,0,0,0,0,0
org.apache.tools.ant.util.LoaderUtils,1,0,0,0,0,0,0,0,0,10,10,29,7,3,91,0.878833576,9,4469.588795,418.0000176,432.2314195,501.2195128,489.000015,4476.786906,4450.129886,4477.005807,115.1347037,503.1709451,0,13,274.5581743,555.1234097,4450.043417,4484.491275,93.10382967,4451.359343,93.31980044,818210.0053,19802759,12359,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Contains,1,0,0,0,0,0,0,0,0,5,3,9,1,2,64,0.982259664,0,4497.316756,427.0000004,442.2148799,509.1571467,496.0000003,4504.391746,4477.136808,4504.50197,120.2081528,510.1313556,0,13,286.1604991,569.9561387,4477.0026,4513.134055,64.17967617,4478.47675,64.28981941,577161.0035,20043808,13504,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.email.EmailTask,1,0,0,0,0,0,0,0,0,32,16,97,2,14,941,0.002551098,3,3624.882895,424.0011732,433.0357953,490.9511177,483.0010299,3632.256737,3600.073471,3634.008255,90.95603333,503.7459677,0,14,953.4356552,531.5044685,3600.260108,3639.024182,942.0559528,3601.075395,942.5039531,7660778.057,12960191,7935,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,18,0,3,147,0.942401755,2,4414.505748,425.0000039,440.5462518,509.3839416,496.0000033,4421.905924,4394.131541,4422.130708,120.8801059,511.331595,0,14,306.939577,566.4838921,4394.007833,4430.365673,147.2372944,4395.530912,147.2882391,1313463.008,19307506,13726,0,0,0,0,0,0,0
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4541.025985,426,442.0407221,511.789019,498,4548.345304,4521.143329,4548.345304,123.3693641,511.789019,0,15,282.6922484,572.3006203,4521.00068,4557.078999,20.14481456,4522.539663,20.19846752,181246.0011,20439723,14206,0,0,0,0,0,0,0
