@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #Bugs numeric

@data
0,3788.576118,422.000583,430.475319,498.303121,491.000501,3796.881088,3765.162679,3797.010535,91.923882,499.288494,0
0,4493.113842,414.001207,429.408896,449.689893,435.001149,4495.097441,4474.114438,4495.486292,118.406081,453.56036,0
0,4426.450158,425.000003,439.25619,503.390505,491.000002,4433.273847,4406.102132,4433.942377,114.982607,509.244538,0
0,4456.407971,426,441.77483,502.802148,489,4462.870937,4436.082168,4463.866037,120.074977,511.559381,0
0,4379.766775,426.000006,440.477014,505.562064,493.000005,4386.790398,4359.11023,4387.24173,116.211015,509.463443,0
0,4469.588795,418.000018,432.23142,501.219513,489.000015,4476.786906,4450.129886,4477.005807,115.134704,503.170945,0
0,4497.316756,427,442.21488,509.157147,496,4504.391746,4477.136808,4504.50197,120.208153,510.131356,0
0,3624.882895,424.001173,433.035795,490.951118,483.00103,3632.256737,3600.073471,3634.008255,90.956033,503.745968,0
0,4414.505748,425.000004,440.546252,509.383942,496.000003,4421.905924,4394.131541,4422.130708,120.880106,511.331595,0
0,4541.025985,426,442.040722,511.789019,498,4548.345304,4521.143329,4548.345304,123.369364,511.789019,0
0,4541.025985,426,442.040722,511.789019,498,4548.345304,4521.143329,4548.345304,123.369364,511.789019,0
0,4405.684056,416.000019,429.540452,498.616085,487.000016,4412.954226,4386.139647,4413.064695,112.578861,499.592834,0
0,3953.37337,420.001191,430.831754,487.54487,478.001046,3959.955177,3931.073263,3961.29802,98.954535,498.334225,0
0,4075.326367,426.000015,438.989749,503.289181,492.000013,4082.753115,4053.118552,4083.358667,110.440029,508.178118,0
0,4349.909999,426.000006,439.972726,505.122757,493.000005,4356.981753,4329.118271,4357.436173,114.560028,509.027504,0
0,4454.417134,426.000002,441.249363,509.157147,496.000002,4461.655746,4434.138135,4461.767027,120.208153,510.131356,0
0,4400.667677,426.000013,441.511042,509.383942,496.000011,4407.994555,4380.139838,4408.10719,121.165177,510.357718,0
0,4259.356759,426.001172,439.476962,496.879261,485.001029,4265.661613,4238.062411,4267.159242,110.421918,509.576295,0
0,4397.681776,426.000001,441.511042,506.463227,493.000001,4404.676833,4377.109777,4405.239267,120.070812,511.331595,0
0,4348.816966,425.000015,438.507697,507.621907,496.000013,4356.32873,4328.141518,4356.4427,113.529732,508.599056,0
0,4457.403392,426.000005,440.989796,506.983234,494.000004,4464.415415,4437.115392,4464.859796,118.406081,510.881591,0
0,4467.072643,423.000342,438.353738,506.235123,493.000293,4474.243847,4447.108049,4474.575399,119.104996,509.157147,0
0,4432.422475,425.000006,439.004556,505.122757,493.000006,4439.458638,4412.116046,4439.904616,114.560028,509.027504,0
0,4420.574171,426.001174,440.477014,505.562064,493.001014,4427.53306,4400.109203,4428.092592,116.211015,510.439027,0
0,4450.339875,425.000003,440.546252,509.383942,496.000003,4457.680563,4430.130472,4457.903543,120.880106,511.331595,0
0,4466.362278,426.000001,441.77483,507.666229,494.000001,4473.360258,4446.115158,4473.803751,121.297156,511.559381,0
0,4487.362031,427.000001,441.95588,508.932215,496,4494.452692,4467.137115,4494.56316,119.251834,509.906854,0
0,3660.177045,420.001191,433.169713,480.829492,469.001066,3666.122884,3636.026953,3668.86849,106.920531,501.33422,0
0,4056.326047,425.001002,436.378276,496.960763,487.000875,4063.289923,4034.077466,4064.500584,102.107786,506.764245,0
0,4417.491822,425.001176,440.283999,504.287616,491.001018,4424.329328,4397.095632,4424.999209,118.600169,510.131356,0
0,4479.303182,426,441.77483,506.693201,493,4486.170973,4459.107758,4486.723192,121.037184,511.559381,0
0,3704.208013,414.001206,424.099045,494.631176,486.001027,3712.944519,3681.114233,3713.867257,96.462428,501.510718,0
0,4299.784181,412.001214,425.92018,492,480.001042,4306.831782,4280.105139,4307.391902,112.08925,496.879261,0
0,3667.360495,422.000306,429.147993,486.296206,480.000269,3674.486223,3643.066428,3676.341252,81.043198,500.119986,0
0,4280.069626,414.000032,428.622211,480.010417,467.000028,4285.520855,4260.160678,4285.411999,117.004273,479.037577,0
0,4432.518471,426.000001,441.511042,507.436696,494.000001,4439.569799,4412.116046,4440.016667,120.332872,511.331595,0
0,4535.7673,423,438.882672,504.747462,491,4542.613455,4516.143488,4542.613455,122.413235,504.747462,0
0,4442.090499,422.000005,436.354214,506.317094,494.000004,4449.507838,4422.146538,4449.507838,116.691902,506.317094,0
0,4457.923844,421.001188,435.901365,502.860816,490.00102,4464.968533,4438.115366,4465.409276,117.443603,506.759312,0
0,4440.194703,423.000003,437.068645,503.170945,491.000002,4447.187988,4420.154862,4447.077692,116.056021,502.195181,0
0,4557.764803,424,440.382788,500.356873,486,4563.950044,4538.134969,4564.056639,124.040316,501.328236,0
0,4357.773973,425.001176,437.778483,501.123737,490.00102,4364.59265,4337.090384,4365.498024,108.669223,508.948917,0
0,4288.113105,425.000996,439.509954,506.537264,494.000857,4295.500553,4267.119989,4295.962407,116.481758,510.439027,0
0,4407.345913,423.000003,437.068645,508.051178,496.000002,4414.95017,4387.156026,4414.837936,116.056021,507.074945,0
0,4513.15023,426.000308,441.511042,508.410267,495.000265,4520.185173,4493.121187,4520.514683,120.602653,511.331595,0
0,4542.115476,427,442.739201,512.532926,499,4549.448868,4522.151369,4549.339293,122.711043,511.559381,0
0,4559.942543,426,442.308716,499.385623,485,4565.832345,4540.142729,4565.832345,124.326184,499.385623,0
