@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.621534,0
0.964216,0
0.933873,0
0.948399,0
0.911059,0
0.955229,0
0.968777,0
0.540736,0
0.928294,0
0.99035,0
0.99035,0
0.9239,0
0.70157,0
0.761839,0
0.896429,0
0.947803,0
0.921466,0
0.851609,0
0.919838,0
0.896109,0
0.949157,0
0.953981,0
0.936908,0
0.931055,0
0.945852,0
0.953547,0
0.963899,0
0.557358,0
0.752286,0
0.929483,0
0.959835,0
0.580338,0
0.871816,0
0.561463,0
0.861356,0
0.936963,0
0.987536,0
0.941841,0
0.949429,0
0.940702,0
0.998008,0
0.900164,0
0.866254,0
0.92488,0
0.976529,0
0.990891,0
0.998932,0
0.759284,0
0.934091,0
0.933768,0
0.93653,0
0.933604,0
0.965255,0
0.998048,0
0.836689,0
0.948995,0
0.907047,0
0.980593,0
0.95604,0
0.858604,0
0.933539,0
0.496048,0
0.590773,0
0.944984,0
0.729656,0
0.934037,0
0.861379,0
0.489876,0
0.571904,0
0.646232,0
0.903523,0
0.937127,0
0.615567,0
0.948669,0
0.994145,0
0.759478,0
0.869597,0
0.606129,0
0.954035,0
0.810743,0
0.936042,0
0.672035,0
0.929754,0
0.620119,0
0.389549,0
0.249138,0
0.998971,0
0.894102,0
0.772755,0
0.681643,0
0.8317,0
0.930461,0
0.902871,0
0.719952,0
0.905798,0
0.833421,0
0.875294,0
0.617874,0
0.920325,0
0.962547,0
0.72642,0
0.895509,0
0.699794,0
0.839101,0
0.776477,0
0.994803,0
0.977184,0
0.694681,0
0.699428,0
0.815644,0
0.8471,0
0.310849,0
0.436864,0
0.502786,0
0.843529,0
0.738895,0
0.447112,0
0.573269,0
0.550374,0
0.444334,0
0.496051,0
-0.021236,0
0.700098,0
0.831758,0
0.772033,0
0.865973,0
0.373653,0
0.870474,0
0.822561,0
0.931434,0
0.932843,0
0.92775,0
0.814154,0
0.763806,0
0.818367,0
0.771332,0
0.880075,0
0.960166,0
0.895509,0
0.955932,0
0.905639,0
0.917509,0
0.930299,0
0.864417,0
0.882456,0
0.919405,0
0.973168,0
0.923252,0
0.964659,0
0.965635,0
0.962924,0
0.990784,0
0.982871,0
0.987803,0
0.379921,0
0.838118,0
0.462378,0
0.166258,0
0.333319,0
0.808532,0
0.713619,0
0.611169,0
0.765689,0
0.804068,0
0.740782,0
0.430178,0
0.416778,0
0.405192,0
0.566585,0
0.877844,0
0.823615,0
0.850802,0
0.400549,0
0.74792,0
0.899404,0
0.858004,0
0.571745,0
0.86597,0
0.746772,0
0.598893,0
0.85324,0
0.585076,0
0.719037,0
0.848421,0
0.909864,0
-1,0
0.609473,0
0.909486,0
0.654686,0
0.90564,0
0.89572,0
0.846504,0
0.592888,0
0.902118,0
0.845535,0
0.825768,0
0.753769,0
0.882277,0
0.906669,0
-0.022625,0
0.795287,0
0.756613,0
0.898867,0
0.901306,0
0.868692,0
0.911653,0
0.829668,0
0.800392,0
0.885856,0
0.831902,0
0.780296,0
0.696142,0
0.902603,0
0.779344,0
0.946882,0
0.878499,0
0.50939,0
0.7376,0
0.875949,0
0.854815,0
0.90609,0
0.523029,0
0.918968,0
0.951922,0
0.93447,0
0.704604,0
0.777684,0
0.771466,0
0.882442,0
0.901195,0
0.955336,0
0.697848,0
0.962654,0
0.895177,0
0.66893,0
0.803586,0
0.743266,0
0.816418,0
0.827062,0
0.681295,0
0.80862,0
0.860291,0
0.8683,0
0.723422,0
0.657254,0
0.94661,0
0.824819,0
0.821895,0
0.842797,0
0.81593,0
0.837321,0
0.945799,0
0.849078,0
0.850053,0
0.85249,0
0.921466,0
0.607463,0
0.870738,0
0.837957,0
0.871505,0
0.897397,0
0.911492,0
0.929916,0
0.953873,0
0.928453,0
0.910516,0
0.876868,0
0.877888,0
0.860778,0
0.854611,0
0.939784,0
0.826654,0
0.831471,0
0.882232,0
0.811544,0
0.887763,0
0.930892,0
0.938914,0
0.923794,0
0.885645,0
0.814526,0
0.928074,0
0.885925,0
0.713979,0
0.938915,0
0.838296,0
0.910029,0
0.947804,0
0.923739,0
0.940052,0
0.917344,0
0.819658,0
0.90114,0
0.953493,0
0.911114,0
0.872856,0
0.951929,0
0.815587,0
0.928836,0
0.927153,0
0.963196,0
0.893991,0
0.946679,0
0.890954,0
0.912955,0
0.862298,0
0.94726,0
