@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.626656,0.922809,0.621534,0.655669,0.432412,0
0.967174,0.916509,0.964216,0.97026,0.879087,0
0.934954,0.974684,0.933873,0.94008,0.821343,0
0.949433,0.989563,0.948399,0.953384,0.907236,0
0.912391,0.981896,0.911059,0.919228,0.842063,0
0.955804,0.933184,0.955229,0.959617,0.823909,0
0.969205,0.992163,0.968777,0.971601,0.909483,0
0.547539,0.937936,0.540736,0.582413,0.416087,0
0.929181,0.982305,0.928294,0.934769,0.920817,0
0.990331,0.991134,0.99035,0.991129,0.962803,0
0.990331,0.991134,0.99035,0.991129,0.962803,0
0.924917,0.917286,0.9239,0.931222,0.780799,0
0.706306,0.924915,0.70157,0.729291,0.550998,0
0.765248,0.97311,0.761839,0.783447,0.744724,0
0.89796,0.978917,0.896429,0.90592,0.814216,0
0.948471,0.986459,0.947803,0.952521,0.909483,0
0.922493,0.988005,0.921466,0.92856,0.925625,0
0.854194,0.975988,0.851609,0.865514,0.744418,0
0.921049,0.988005,0.919838,0.927215,0.907166,0
0.897432,0.970262,0.896109,0.905486,0.796838,0
0.949914,0.984926,0.949157,0.953842,0.879087,0
0.954588,0.969353,0.953981,0.958276,0.890876,0
0.93784,0.973198,0.936908,0.942749,0.814216,0
0.932114,0.981896,0.931055,0.937421,0.842063,0
0.9465,0.982305,0.945852,0.950743,0.920817,0
0.954244,0.989563,0.953547,0.957836,0.927851,0
0.964394,0.990633,0.963899,0.967164,0.893353,0
0.564598,0.938727,0.557358,0.598367,0.68536,0
0.756065,0.957682,0.752286,0.774998,0.604184,0
0.930624,0.980756,0.929483,0.936084,0.882361,0
0.960499,0.989563,0.959835,0.963601,0.923466,0
0.585879,0.88514,0.580338,0.618374,0.508963,0
0.873733,0.895899,0.871816,0.88417,0.772541,0
0.568069,0.914968,0.561463,0.60149,0.248887,0
0.864205,0.911862,0.861356,0.87532,0.855443,0
0.937887,0.988005,0.936963,0.942749,0.911586,0
0.987789,0.972477,0.987536,0.98891,0.946676,0
0.942513,0.95754,0.941841,0.9472,0.850174,0
0.950166,0.954865,0.949429,0.954286,0.862853,0
0.941597,0.961761,0.940702,0.946316,0.839449,0
0.998421,0.98134,0.998008,0.998669,0.97412,0
0.901761,0.965954,0.900164,0.909457,0.714856,0
0.868093,0.976183,0.866254,0.878408,0.84663,0
0.92572,0.961761,0.92488,0.931673,0.839449,0
0.976858,0.988005,0.976529,0.978694,0.916137,0
0.990857,0.995261,0.990891,0.991576,0.951699,0
0.999474,0.992717,0.998932,0.99956,0.978942,0
0.762744,0.966001,0.759284,0.781222,0.784392,0
0.935,0.984926,0.934091,0.94009,0.883711,0
0.934473,0.971724,0.933768,0.93966,0.823469,0
0.937359,0.974684,0.93653,0.942312,0.84003,0
0.934519,0.989563,0.933604,0.939646,0.932365,0
0.965791,0.989563,0.965255,0.968485,0.927851,0
0.998075,0.998408,0.998048,0.998229,0.978942,0
0.838709,0.971986,0.836689,0.851355,0.88229,0
0.949368,0.916509,0.948995,0.953849,0.888467,0
0.908543,0.981896,0.907047,0.915672,0.833335,0
0.980753,0.998408,0.980593,0.982254,0.978942,0
0.95665,0.986459,0.95604,0.960058,0.899919,0
0.860078,0.871543,0.858604,0.87174,0.747471,0
0.934341,0.571415,0.933539,0.942319,0.850174,0
0.502965,0.960388,0.496048,0.541165,0.654332,0
0.597359,0.908766,0.590773,0.628548,0.133731,0
0.946112,0.993706,0.944984,0.950278,0.890805,0
0.734233,0.945904,0.729656,0.755013,0.71206,0
0.934907,0.973514,0.934037,0.940087,0.879087,0
0.86314,0.959049,0.861379,0.873989,0.871452,0
0.497207,0.953719,0.489876,0.535827,0.555169,0
0.577507,0.928711,0.571904,0.610414,0.722291,0
0.651314,0.965954,0.646232,0.67827,0.710582,0
0.904617,0.913398,0.903523,0.912579,0.85133,0
0.93784,0.973198,0.937127,0.942759,0.828956,0
0.621054,0.946142,0.615567,0.650315,0.466802,0
0.949387,0.977695,0.948669,0.953405,0.872309,0
0.994226,0.996828,0.994145,0.994672,0.95321,0
0.760855,0.676198,0.759478,0.781649,0.711438,0
0.871421,0.911862,0.869597,0.881946,0.812817,0
0.611767,0.922809,0.606129,0.641888,0.39141,0
0.954679,0.979219,0.954035,0.95828,0.879087,0
0.813322,0.983405,0.810743,0.82783,0.872309,0
0.936925,0.984926,0.936042,0.941865,0.883711,0
0.676682,0.889045,0.672035,0.702211,0.51603,0
0.930691,0.923276,0.929754,0.936528,0.817011,0
0.625911,0.950708,0.620119,0.654738,0.428278,0
0.39752,0.984926,0.389549,0.443567,0.888467,0
0.259519,0.949873,0.249138,0.315734,0.501954,0
0.998992,0.991134,0.998971,0.999113,0.957944,0
0.895555,0.9804,0.894102,0.903704,0.835157,0
0.775952,0.815619,0.772755,0.794555,0.732773,0
0.686727,0.524641,0.681643,0.714229,0.477179,0
0.833997,0.96478,0.8317,0.846907,0.6581,0
0.931928,0.95754,0.930461,0.937431,0.84003,0
0.90446,0.954865,0.902871,0.912125,0.853929,0
0.724139,0.934673,0.719952,0.745706,0.596236,0
0.907533,0.970262,0.905798,0.914788,0.772541,0
0.835727,0.953089,0.833421,0.848686,0.791705,0
0.876713,0.914947,0.875294,0.886846,0.872309,0
0.623456,0.956348,0.617874,0.652531,0.592082,0
0.921068,0.926348,0.920325,0.927659,0.858324,0
0.963248,0.972477,0.962547,0.96627,0.932365,0
0.730565,0.877649,0.72642,0.751927,0.316817,0
0.896951,0.973198,0.895509,0.905032,0.814216,0
0.704161,0.967378,0.699794,0.727081,0.726923,0
0.841116,0.913398,0.839101,0.854003,0.84663,0
0.7801,0.957682,0.776477,0.797179,0.596236,0
0.994918,0.956403,0.994803,0.995566,0.898367,0
0.977192,0.90512,0.977184,0.979585,0.888467,0
0.698892,0.904567,0.694681,0.72266,0.620788,0
0.703577,0.953068,0.699428,0.726654,0.71726,0
0.818029,0.904373,0.815644,0.832701,0.744724,0
0.84968,0.891463,0.8471,0.861975,0.710582,0
0.321146,0.933362,0.310849,0.37295,0.404266,0
0.445129,0.792579,0.436864,0.48876,-0.086007,0
0.509682,0.941351,0.502786,0.547374,0.40744,0
0.846307,0.943149,0.843529,0.858408,0.618578,0
0.742885,0.91357,0.738895,0.763017,0.327877,0
0.455,0.87295,0.447112,0.497222,0.056582,0
0.579482,0.919754,0.573269,0.612148,0.489968,0
0.5569,0.849999,0.550374,0.591726,0.228125,0
0.452417,0.931297,0.444334,0.494551,0.477446,0
0.504672,0.440115,0.496051,0.546917,0.38792,0
-0.006531,0.899648,-0.021236,0.068979,0.323641,0
0.704109,0.939143,0.700098,0.727105,0.488906,0
0.83342,0.900036,0.831758,0.846911,0.711438,0
0.775673,0.933362,0.772033,0.793186,0.432412,0
0.867666,0.905928,0.865973,0.878399,0.621933,0
0.382058,0.944102,0.373653,0.429368,0.552105,0
0.871306,0.834637,0.870474,0.882399,0.793343,0
0.825628,0.947332,0.822561,0.839329,0.671504,0
0.930361,0.677125,0.931434,0.937859,0.68678,0
0.933853,0.945925,0.932843,0.939193,0.691424,0
0.934931,0.908828,0.92775,0.940544,0.818114,0
0.816589,0.964537,0.814154,0.830944,0.802105,0
0.767601,0.964544,0.763806,0.78564,0.674918,0
0.820966,0.967378,0.818367,0.834916,0.74006,0
0.774331,0.965954,0.771332,0.791892,0.748767,0
0.881464,0.963254,0.880075,0.890851,0.855443,0
0.954901,-0.641055,0.960166,0.96672,0.828956,0
0.896951,0.976183,0.895509,0.905032,0.84663,0
0.956558,0.971986,0.955932,0.960055,0.862853,0
0.907005,0.975054,0.905639,0.91435,0.895332,0
0.918597,0.976183,0.917509,0.925003,0.85133,0
0.931059,0.971986,0.930299,0.936554,0.887474,0
0.866217,0.983405,0.864417,0.87664,0.872309,0
0.884012,0.986459,0.882456,0.893062,0.909483,0
0.920568,0.981896,0.919405,0.926775,0.84663,0
0.97349,0.983405,0.973168,0.975592,0.872309,0
0.924417,0.988005,0.923252,0.930325,0.911586,0
0.96531,0.984926,0.964659,0.968039,0.874595,0
0.966272,0.986459,0.965635,0.968923,0.886552,0
0.963386,0.988005,0.962924,0.966273,0.920817,0
0.990857,0.993706,0.990784,0.991569,0.925625,0
0.983159,0.995261,0.982871,0.984463,0.932365,0
0.98797,0.996828,0.987803,0.988903,0.95321,0
0.389479,0.916021,0.379921,0.436399,0.396678,0
0.839691,0.55581,0.838118,0.854843,0.210576,0
0.471071,0.671185,0.462378,0.514058,0.371012,0
0.177844,0.866053,0.166258,0.240734,0.293328,0
0.342864,0.902029,0.333319,0.39338,0.395551,0
0.811255,-0.354392,0.808532,0.833582,0.492885,0
0.717039,0.819878,0.713619,0.739946,0.397336,0
0.616621,0.883865,0.611169,0.646746,0.453462,0
0.770311,0.56763,0.765689,0.790994,0.508963,0
0.805449,0.506668,0.804068,0.823826,0.583494,0
0.74488,0.821744,0.740782,0.765695,0.514114,0
0.43863,0.900562,0.430178,0.482124,0.522979,0
0.42502,0.920585,0.416778,0.469261,0.416087,0
0.413512,0.919383,0.405192,0.458612,0.399774,0
0.572871,0.894595,0.566585,0.605936,-0.083666,0
0.876653,0.563663,0.877844,0.889058,0.588752,0
0.823611,0.625316,0.823615,0.839804,0.636829,0
0.850409,0.607238,0.850802,0.864635,0.657379,0
0.408717,0.925525,0.400549,0.454184,0.494473,0
0.751867,0.912082,0.74792,0.771457,0.552446,0
0.900885,0.839026,0.899404,0.909427,0.45156,0
0.859969,0.900562,0.858004,0.871312,0.578219,0
0.578152,0.935131,0.571745,0.610804,0.519421,0
0.867324,0.675195,0.86597,0.879736,0.615626,0
0.750806,0.90869,0.746772,0.770561,0.63691,0
0.604617,0.929771,0.598893,0.635229,0.402302,0
0.855349,0.919754,0.85324,0.866875,0.530503,0
0.591007,0.926238,0.585076,0.622826,0.61012,0
0.722975,0.911676,0.719037,0.74485,0.64209,0
0.850021,0.874293,0.848421,0.862431,0.728541,0
0.910827,0.89288,0.909864,0.918335,0.67055,0
-1,0.921855,-1,-1,0.332592,0
0.615183,0.940895,0.609473,0.644982,0.534639,0
0.909026,0.722732,0.909486,0.917897,0.696213,0
0.659907,0.926587,0.654686,0.686249,0.258428,0
0.907781,0.921025,0.90564,0.915196,0.468237,0
0.895631,0.741951,0.89572,0.905464,0.763793,0
0.849105,0.880016,0.846504,0.861528,0.706455,0
0.598375,0.947529,0.592888,0.629478,0.652886,0
0.904367,0.917843,0.902118,0.912091,0.504148,0
0.848182,0.94302,0.845535,0.860192,0.698642,0
0.828368,0.927307,0.825768,0.842016,0.675236,0
0.757937,0.942842,0.753769,0.776754,0.459965,0
0.883883,0.901614,0.882277,0.893486,0.768097,0
0.908466,0.905845,0.906669,0.916108,0.739217,0
-0.009931,0.938332,-0.022625,0.065527,0.552105,0
0.798122,0.938727,0.795287,0.814058,0.735538,0
0.76029,0.954485,0.756613,0.778989,0.698642,0
0.899852,0.905769,0.898867,0.908135,0.696213,0
0.902489,0.937288,0.901306,0.910357,0.733388,0
0.870402,0.939607,0.868692,0.880627,0.556783,0
0.91637,-1,0.911653,0.932113,0.754169,0
0.832457,0.947957,0.829668,0.845551,0.555169,0
0.803126,0.949268,0.800392,0.818509,0.61012,0
0.887529,0.934455,0.885856,0.896595,0.756295,0
0.834332,0.951664,0.831902,0.847351,0.706221,0
0.783266,0.945904,0.780296,0.800306,0.756295,0
0.700213,0.957357,0.696142,0.723544,0.760919,0
0.903701,0.911565,0.902603,0.911691,0.770584,0
0.782934,0.961646,0.779344,0.799842,0.711438,0
0.947353,0.892929,0.946882,0.952058,0.735538,0
0.880069,0.949268,0.878499,0.889505,0.61012,0
0.5164,0.939034,0.50939,0.553576,0.360178,0
0.741063,0.954485,0.7376,0.761275,0.748767,0
0.877616,0.953068,0.875949,0.88729,0.727462,0
0.856935,0.953068,0.854815,0.868203,0.71726,0
0.90893,0.946659,0.90609,0.916079,0.495003,0
0.530317,0.944925,0.523029,0.566425,0.413489,0
0.920336,0.941596,0.918968,0.926766,0.703021,0
0.950588,0.683497,0.951922,0.956496,0.751812,0
0.933624,0.739489,0.93447,0.94053,0.814216,0
0.708709,0.943122,0.704604,0.731546,0.81289,0
0.781011,0.964537,0.777684,0.798075,0.755612,0
0.774762,0.961646,0.771466,0.792315,0.735538,0
0.884303,0.95456,0.882442,0.893483,0.780125,0
0.902536,0.94884,0.901195,0.910354,0.793343,0
0.953878,0.673773,0.955336,0.959608,0.777125,0
0.701707,0.951929,0.697848,0.724898,0.664575,0
0.961184,0.686766,0.962654,0.966258,0.784392,0
0.89667,0.935923,0.895177,0.905029,0.777125,0
0.673892,0.956348,0.66893,0.699117,0.583744,0
0.806871,0.894407,0.803586,0.822509,0.780799,0
0.746933,0.951142,0.743266,0.766582,0.546218,0
0.819042,0.944925,0.816418,0.833142,0.466083,0
0.829907,0.951827,0.827062,0.843335,0.804844,0
0.685422,0.963146,0.681295,0.709808,0.722291,0
0.811349,0.951142,0.80862,0.826042,0.546218,0
0.862273,0.960219,0.860291,0.873084,0.733388,0
0.870449,0.963085,0.8683,0.880612,0.743272,0
0.727708,0.965954,0.723422,0.748812,0.694958,0
0.661882,0.959029,0.657254,0.688053,0.6581,0
0.947325,0.948752,0.94661,0.951624,0.733388,0
0.827168,0.967479,0.824819,0.840691,0.814216,0
0.824332,0.956348,0.821895,0.838029,0.620788,0
0.845009,0.961761,0.842797,0.857106,0.680068,0
0.818562,0.959029,0.81593,0.832698,0.642898,0
0.839719,0.956348,0.837321,0.852219,0.605752,0
0.946706,0.938898,0.945799,0.951174,0.805066,0
0.85126,0.953719,0.849078,0.862871,0.578386,0
0.852222,0.956348,0.850053,0.863759,0.610614,0
0.854627,0.957682,0.85249,0.865978,0.626749,0
0.922399,0.960219,0.921466,0.928567,0.759707,0
