@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.937438,0
0.712741,0
0.98636,0
0.997734,0
0.987435,0
0.956515,0
0.990717,0
0.959341,0
0.996615,0
0.998863,0
0.998863,0
0.938933,0
0.932749,0
0.981119,0
0.985293,0
0.990717,0
0.991829,0
0.98799,0
0.996615,0
0.983188,0
0.994404,0
0.98593,0
0.985293,0
0.992229,0
0.996615,0
0.997734,0
0.989614,0
0.94749,0
0.974172,0
0.990717,0
0.997734,0
0.948357,0
0.9256,0
0.941524,0
0.83793,0
0.996615,0
0.964262,0
0.971975,0
0.974148,0
0.951721,0
0.947461,0
0.984907,0
0.992229,0
0.975699,0
0.996615,0
0.997734,0
0.937915,0
0.984236,0
0.994404,0
0.984236,0
0.98636,0
0.997734,0
0.997734,0
0.990443,0
0.983729,0
0.97046,0
0.987435,0
1,0
0.995505,0
0.972542,0
0.699555,0
0.980926,0
0.917651,0
0.996615,0
0.962938,0
0.989614,0
0.968265,0
0.971334,0
0.949224,0
0.984907,0
0.963473,0
0.990091,0
0.951408,0
0.983729,0
0.998863,0
0.981119,0
0.962387,0
0.947123,0
0.994404,0
0.98852,0
0.994404,0
0.975234,0
0.971975,0
0.969878,0
0.994404,0
0.973411,0
0.984521,0
0.991155,0
0.854183,0
0.59366,0
0.979954,0
0.924056,0
0.964569,0
0.954899,0
0.959185,0
0.959185,0
0.964569,0
0.973217,0
0.993312,0
0.969042,0
0.909929,0
0.990091,0
0.981119,0
0.963473,0
0.974172,0
0.9561,0
0.960887,0
0.929843,0
0.96947,0
0.957096,0
0.908032,0
0.960204,0
0.900026,0
0.967327,0
0.956852,0
0.944666,0
0.912888,0
0.938697,0
0.916489,0
0.958019,0
0.480063,0
0.869678,0
0.960204,0
0.982898,0
0.950532,0
0.969353,0
0.949264,0
0.979436,0
0.959853,0
0.982898,0
0.973275,0
0.28065,0
0.973585,0
0.983898,0
0.985925,0
0.980099,0
0.981564,0
0.674533,0
0.992229,0
0.983729,0
0.98593,0
0.992229,0
0.983729,0
0.993312,0
0.990717,0
0.992229,0
0.993312,0
0.991829,0
0.989614,0
0.995505,0
0.996615,0
0.996615,0
0.997734,0
0.998863,0
0.950532,0
0.859048,0
0.707252,0
0.900235,0
0.934292,0
0.104627,0
0.947961,0
0.961959,0
0.562116,0
0.778654,0
0.832528,0
0.926984,0
0.954503,0
0.958487,0
0.931881,0
0.96651,0
0.959716,0
0.981907,0
0.967682,0
0.917338,0
0.948357,0
0.931807,0
0.965581,0
0.828762,0
0.927977,0
0.957643,0
0.938697,0
0.924061,0
0.930816,0
0.965678,0
0.97228,0
0.947147,0
0.960755,0
0.968464,0
0.946377,0
0.963751,0
0.978386,0
0.903232,0
0.955871,0
0.936631,0
0.941651,0
0.94822,0
0.967682,0
0.944788,0
0.924536,0
0.958921,0
0.94749,0
0.984907,0
0.982898,0
0.980099,0
0.974317,0
-1,0
0.96651,0
0.967448,0
0.962938,0
0.958843,0
0.982149,0
0.986953,0
0.958136,0
0.971509,0
0.971509,0
0.977094,0
0.965673,0
0.970485,0
0.96947,0
0.964661,0
0.931807,0
0.969878,0
0.959853,0
0.986953,0
0.985293,0
0.945853,0
0.983188,0
0.981119,0
0.974637,0
0.979436,0
0.978386,0
0.969353,0
0.989036,0
0.963985,0
0.978038,0
0.86699,0
0.969489,0
0.969878,0
0.962387,0
0.978086,0
0.974317,0
0.975292,0
0.96774,0
0.984907,0
0.975137,0
0.975292,0
0.985293,0
0.978038,0
0.981907,0
0.979954,0
0.978038,0
0.956515,0
0.976159,0
0.978038,0
0.978991,0
0.970485,0
0.983188,0
0.974148,0
0.97228,0
0.979954,0
0.964569,0
0.965041,0
0.961666,0
0.979436,0
0.956515,0
0.977346,0
0.980926,0
0.961311,0
0.979954,0
0.970902,0
0.929947,0
0.986953,0
0.98636,0
0.982898,0
0.985925,0
0.981119,0
0.969358,0
0.965503,0
0.967181,0
0.983898,0
0.989036,0
0.992229,0
0.983188,0
0.991155,0
0.945416,0
0.982149,0
0.986953,0
0.978938,0
0.980496,0
0.983729,0
0.984825,0
0.986953,0
0.977346,0
0.992229,0
0.966106,0
0.989036,0
0.917085,0
0.992229,0
0.978386,0
0.95978,0
0.967181,0
0.989036,0
0.699555,0
0.978386,0
0.989036,0
0.98799,0
0.983729,0
0.983729,0
0.983729,0
0.98636,0
0.982642,0
0.989036,0
0.984825,0
0.992229,0
0.985293,0
0.98636,0
0.989614,0
0.976769,0
0.989614,0
0.986953,0
0.985293,0
0.989036,0
0.993312,0
0.983898,0
0.993312,0
0.963473,0
0.989614,0
0.991155,0
0.984907,0
0.953892,0
0.984825,0
0.991155,0
0.975292,0
0.980036,0
0.97046,0
0.974317,0
0.993312,0
0.913048,0
0.968265,0
0.991155,0
0.98636,0
0.980036,0
0.977476,0
0.98636,0
0.983188,0
0.990717,0
0.98636,0
0.985925,0
0.989614,0
0.983729,0
0.98799,0
0.981564,0
0.989036,0
0.966787,0
0.995505,0
0.995505,0
0.977849,0
0.987435,0
0.995505,0
0.990717,0
0.996615,0
0.996615,0
0.980496,0
0.985293,0
0.964569,0
0.990717,0
0.985293,0
0.985293,0
0.976358,0
0.996615,0
0.991829,0
0.96791,0
0.987435,0
0.982642,0
0.992229,0
0.985293,0
0.983188,0
0.96791,0
0.964569,0
0.991829,0
0.989614,0
0.989614,0
0.98593,0
0.957218,0
0.970902,0
0.987435,0
0.987435,0
0.992229,0
0.962002,0
0.987435,0
0.98852,0
0.994404,0
0.984825,0
0.994404,0
0.996615,0
0.98852,0
0.98852,0
0.98852,0
0.98852,0
0.994404,0
0.98852,0
0.96791,0
0.989614,0
0.975248,0
0.98852,0
0.990717,0
0.9619,0
0.989614,0
0.991829,0
0.991829,0
0.98593,0
0.991155,0
0.959482,0
0.972693,0
0.969042,0
0.969042,0
0.939224,0
0.98852,0
0.992951,0
0.98852,0
0.96791,0
0.976358,0
0.997734,0
0.996615,0
0.991829,0
0.991829,0
0.993312,0
0.966787,0
0.930816,0
0.990717,0
0.991829,0
0.990717,0
0.98226,0
0.98852,0
0.992951,0
0.990717,0
0.960887,0
0.958346,0
0.987045,0
0.988168,0
0.988168,0
0.992951,0
0.98852,0
0.98593,0
0.992951,0
0.984521,0
0.991829,0
0.936749,0
0.992951,0
0.990717,0
0.918965,0
0.992951,0
0.878447,0
0.98226,0
0.988168,0
0.992951,0
0.98593,0
0.996615,0
0.991829,0
0.992951,0
0.983729,0
0.983386,0
0.992951,0
0.997734,0
0.991829,0
0.996615,0
0.988168,0
0.997734,0
0.98226,0
0.997734,0
0.992951,0
0.969042,0
0.669048,0
0.969042,0
0.992951,0
0.994081,0
0.816352,0
0.997734,0
0.987045,0
0.991829,0
0.992951,0
0.992951,0
0.847333,0
0.962002,0
0.996615,0
0.98226,0
0.992951,0
0.992951,0
0.997734,0
0.992951,0
0.992951,0
0.992951,0
0.992951,0
0.994081,0
0.997734,0
0.997734,0
0.997734,0
0.997734,0
0.991829,0
0.994081,0
0.972693,0
0.98226,0
0.98226,0
0.987045,0
0.979741,0
0.997734,0
0.992951,0
0.988168,0
0.989301,0
0.998863,0
0.998863,0
0.994081,0
0.998863,0
0.984521,0
0.912884,0
0.988168,0
0.988168,0
0.988168,0
0.994081,0
0.989301,0
0.989301,0
0.994081,0
0.985925,0
0.970184,0
0.979741,0
0.984521,0
0.98799,0
0.98799,0
0.982149,0
0.986953,0
0.98799,0
0.995221,0
0.989036,0
0.956862,0
0.990091,0
0.993312,0
0.990717,0
0.991155,0
0.989614,0
0.949102,0
0.995505,0
0.994404,0
0.987435,0
0.971334,0
0.994404,0
0.992229,0
0.995505,0
0.98636,0
0.995505,0
0.995505,0
0.996615,0
0.995221,0
0.989614,0
0.995505,0
0.990717,0
0.971572,0
0.994404,0
0.977476,0
0.996615,0
0.992951,0
0.996615,0
0.994404,0
0.989614,0
0.989614,0
0.991829,0
0.997734,0
0.995221,0
0.997734,0
0.994404,0
0.983729,0
0.991829,0
0.994404,0
0.996615,0
0.996615,0
0.921487,0
0.995505,0
0.991829,0
0.991829,0
0.833068,0
0.899756,0
0.996615,0
0.997734,0
0.996615,0
0.997734,0
0.991829,0
0.981144,0
0.997734,0
0.996615,0
0.88069,0
0.980887,0
0.998863,0
0.994081,0
0.991829,0
0.996615,0
0.994081,0
0.992951,0
0.989301,0
0.992951,0
0.992951,0
0.997734,0
0.963128,0
0.998863,0
0.994081,0
0.998863,0
0.998863,0
0.992951,0
0.992951,0
0.961783,0
0.980887,0
0.980887,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.985665,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.990443,0
0.992951,0
0.992951,0
0.994081,0
0.994081,0
0.994081,0
0.992951,0
0.992951,0
0.997734,0
0.994081,0
0.992951,0
0.994081,0
0.994081,0
0.978604,0
0.998863,0
0.998863,0
0.998863,0
0.994081,0
0.998863,0
0.998863,0
0.998863,0
0.979741,0
0.989301,0
0.998863,0
0.970184,0
0.979741,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0.990443,0
1,0
1,0
1,0
1,0
0.890222,0
0.961783,0
0.980887,0
0.985665,0
0.990443,0
0.990443,0
0.995221,0
1,0
0.991594,0
0.99637,0
0.991594,0
0.99637,0
0.99637,0
0.991594,0
0.99637,0
0.99637,0
0.989036,1
0.948255,1
0.991829,1
0.98852,1
0.979954,1
0.771023,1
0.977476,1
0.969839,1
0.994404,1
0.975234,1
0.973057,1
0.973217,1
0.934779,1
0.975137,1
0.98636,1
0.97228,1
0.950987,1
0.924472,1
0.976159,1
0.939268,1
0.977094,1
0.940526,1
-0.798536,1
0.969489,1
0.871681,1
0.966792,1
0.905506,1
0.298423,1
0.698291,1
0.878029,1
0.927557,1
0.977094,1
0.984236,1
0.955446,1
0.895724,1
0.979954,1
0.981119,1
0.994404,1
0.996615,1
0.971509,1
0.963654,1
0.94001,1
0.933375,1
0.931817,1
0.895324,1
0.967327,1
0.944416,1
0.943409,1
0.961077,1
0.967448,1
0.960872,1
0.949224,1
0.962626,1
0.979088,1
0.926208,1
0.976314,1
0.970407,1
0.993312,1
0.978938,1
0.981564,1
0.98636,1
0.987045,1
0.991155,1
0.990717,1
0.993312,1
0.991829,1
0.996615,1
0.994081,1
0.992229,1
0.988168,1
