@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-20,22-27'

@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.656052,0
0.970468,0
0.940155,0
0.953452,0
0.919328,0
0.959675,0
0.971627,0
0.582932,0
0.934832,0
0.991133,0
0.991133,0
0.931311,0
0.7297,0
0.783679,0
0.906022,0
0.952567,0
0.928623,0
0.865704,0
0.927301,0
0.905587,0
0.953897,0
0.95833,0
0.942814,0
0.937497,0
0.950793,0
0.957885,0
0.967194,0
0.59892,0
0.775271,0
0.936167,0
0.963651,0
0.618831,0
0.884325,0
0.602024,0
0.875527,0
0.942816,0
0.98892,0
0.94725,0
0.954345,0
0.946363,0
0.998674,0
0.909577,0
0.878541,0
0.931728,0
0.978721,0
0.991577,0
0.999563,0
0.781468,0
0.940155,0
0.939712,0
0.94237,0
0.939709,0
0.968527,0
0.998227,0
0.851499,0
0.953902,0
0.915778,0
0.982267,0
0.960102,0
0.871898,0
0.942566,0
0.541671,0
0.629099,0
0.95035,0
0.755367,0
0.940158,0
0.874098,0
0.536391,0
0.610827,0
0.678645,0
0.912675,0
0.942813,0
0.650774,0
0.953455,0
0.99468,0
0.781931,0
0.882094,0
0.642337,0
0.958329,0
0.828005,0
0.941925,0
0.702607,0
0.936616,0
0.655203,0
0.444066,0
0.316543,0
0.999114,0
0.903804,0
0.794831,0
0.715081,0
0.847065,0
0.937516,0
0.912234,0
0.746047,0
0.914899,0
0.848844,0
0.886963,0
0.652926,0
0.927746,0
0.966312,0
0.752315,0
0.905143,0
0.727435,0
0.854161,0
0.797452,0
0.995571,0
0.979612,0
0.72299,0
0.726977,0
0.832892,0
0.862184,0
0.373819,0
0.489635,0
0.547918,0
0.858603,0
0.76332,0
0.497871,0
0.612676,0
0.592331,0
0.495238,0
0.548592,0
