@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-19,21-27'

@attribute 'd(RFC, Ca)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.823428,0
0.725399,0
0.950549,0
0.965759,0
0.918168,0
0.90831,0
0.977496,0
0.798142,0
0.9613,0
0.988431,0
0.988431,0
0.889411,0
0.769402,0
0.891315,0
0.933096,0
0.954977,0
0.982075,0
0.877636,0
0.937234,0
0.91187,0
0.954659,0
0.955336,0
0.95276,0
0.941551,0
0.9613,0
0.965759,0
0.972942,0
0.773744,0
0.867557,0
0.939593,0
0.952458,0
0.805857,0
0.874854,0
0.773004,0
0.790069,0
0.94372,0
0.960069,0
0.942679,0
0.936016,0
0.94447,0
0.95567,0
0.911883,0
0.916041,0
0.964797,0
0.979287,0
0.986136,0
0.947637,0
0.881294,0
0.948076,0
0.946147,0
0.954977,0
0.95908,0
0.956866,0
0.989588,0
0.914009,0
0.934128,0
0.926659,0
0.986136,0
0.967998,0
0.90144,0
0.705257,0
0.829203,0
0.747511,0
0.956866,0
0.811219,0
0.937421,0
0.945315,0
0.792594,0
0.830511,0
0.841761,0
0.925591,0
0.956866,0
0.784427,0
0.950876,0
0.990733,0
0.852282,0
0.901655,0
0.796228,0
0.963526,0
0.907705,0
0.963526,0
0.817009,0
0.922864,0
0.78736,0
0.930807,0
0.773478,0
0.985549,0
0.939389,0
0.80186,0
0.524071,0
0.913959,0
0.892799,0
0.918984,0
0.822142,0
0.905948,0
0.901655,0
0.92118,0
0.848534,0
0.932942,0
0.950309,0
0.764158,0
0.911883,0
0.814394,0
0.908104,0
0.846671,0
0.956025,0
0.950826,0
0.827469,0
0.830715,0
0.886841,0
0.838891,0
0.717928,0
0.652331,0
0.792128,0
0.891011,0
0.841377,0
0.757114,0
0.763112,0
0.73074,0
0.739817,0
0.344574,0
0.682275,0
0.846133,0
0.877636,0
0.820942,0
0.901453,0
0.77841,0
0.887112,0
0.86044,0
0.930807,0
0.918248,0
0.354538,0
0.899355,0
0.864119,0
0.901605,0
0.91187,0
0.942032,0
0.705143,0
0.935085,0
0.946441,0
0.935467,0
0.952458,0
0.959821,0
0.935085,0
0.907705,0
0.95908,0
0.965759,0
0.924527,0
0.961666,0
0.970243,0
0.965759,0
0.988431,0
0.977017,0
0.986136,0
