@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-23,25-27'

@attribute 'd(LOC, WMC)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.652017,0
0.96992,0
0.939427,0
0.952934,0
0.918385,0
0.959124,0
0.971275,0
0.578137,0
0.934109,0
0.991018,0
0.991018,0
0.930424,0
0.726492,0
0.781252,0
0.904925,0
0.952014,0
0.927839,0
0.864141,0
0.926495,0
0.904454,0
0.953346,0
0.957837,0
0.942103,0
0.93675,0
0.950234,0
0.957413,0
0.966784,0
0.594478,0
0.772662,0
0.935441,0
0.963236,0
0.614464,0
0.882954,0
0.597297,0
0.87403,0
0.942172,0
0.988767,0
0.946593,0
0.953783,0
0.945686,0
0.998644,0
0.908453,0
0.877177,0
0.930905,0
0.978453,0
0.991454,0
0.99954,0
0.779048,0
0.939461,0
0.938956,0
0.941666,0
0.939048,0
0.968163,0
0.998197,0
0.849866,0
0.953346,0
0.914802,0
0.982072,0
0.959629,0
0.870401,0
0.941666,0
0.536637,0
0.624568,0
0.949786,0
0.752598,0
0.939461,0
0.872698,0
0.531199,0
0.606533,0
0.675086,0
0.911667,0
0.942103,0
0.646694,0
0.952887,0
0.994601,0
0.779461,0
0.880749,0
0.63813,0
0.957826,0
0.826127,0
0.941253,0
0.699157,0
0.935843,0
0.651163,0
0.438295,0
0.309011,0
0.999081,0
0.902697,0
0.792427,0
0.711188,0
0.845239,0
0.936739,0
0.91123,0
0.743099,0
0.913861,0
0.84712,0
0.885699,0
0.649023,0
0.926908,0
0.965923,0
0.749187,0
0.904029,0
0.724368,0
0.852542,0
0.795059,0
0.995451,0
0.979326,0
0.719795,0
0.723896,0
0.830972,0
0.860524,0
0.366734,0
0.483351,0
0.542729,0
0.856896,0
0.760396,0
0.491904,0
0.608193,0
0.587432,0
0.489495,0
0.542281,0
0.059901,0
0.724178,0
0.845272,0
0.790924,0
0.877033,0
0.423666,0
0.881173,0
0.837668,0
0.9371,0
0.938444,0
0.939852,0
0.829203,0
0.783469,0
0.833211,0
0.789751,0
0.889707,0
0.966291,0
0.904052,0
0.959606,0
0.913493,0
0.924208,0
0.935866,0
0.875397,0
0.891994,0
0.926,0
0.975283,0
0.92963,0
0.96768,0
0.968587,0
0.965911,0
0.991443,0
0.984288,0
0.988779,0
0.430783,0
0.853094,0
0.509145,0
0.233161,0
0.387312,0
0.831709,0
0.737139,0
0.643121,0
0.788704,0
0.821904,0
0.763181,0
0.476991,0
0.463916,0
0.453154,0
0.601596,0
0.887753,0
0.838062,0
0.863178,0
0.448736,0
0.769036,0
0.908321,0
0.869825,0
0.606884,0
0.878366,0
0.768205,0
0.631421,0
0.865316,0
0.619001,0
0.742203,0
0.860972,0
0.91738,0
-1,0
0.641374,0
0.916942,0
0.682859,0
0.914154,0
0.904454,0
0.860076,0
0.625755,0
0.911037,0
0.858732,0
0.840334,0
0.77438,0
0.89236,0
0.915194,0
0.056449,0
0.812159,0
0.776762,0
0.907087,0
0.909349,0
0.879222,0
0.931298,0
0.843854,0
0.816539,0
0.895485,0
0.84572,0
0.798285,0
0.720796,0
0.910714,0
0.797825,0
0.951466,0
0.888211,0
0.548978,0
0.758845,0
0.886045,0
0.866784,0
0.915069,0
0.562023,0
0.925912,0
0.955956,0
0.939863,0
0.728883,0
0.796057,0
0.790211,0
0.892372,0
0.909393,0
0.959102,0
0.722046,0
0.965832,0
0.904006,0
0.696055,0
0.820681,0
0.764098,0
0.831241,0
0.84178,0
0.706863,0
0.824123,0
0.871722,0
0.879359,0
0.746303,0
0.68488,0
0.951007,0
0.839081,0
0.836259,0
0.855563,0
0.830905,0
0.850594,0
0.950614,0
0.861324,0
0.86224,0
0.86449,0
0.927714,0
0.63974,0
0.881668,0
0.851532,0
0.881971,0
0.906303,0
0.918799,0
0.935735,0
0.95777,0
0.934488,0
0.917881,0
0.886909,0
0.888352,0
0.872116,0
0.866404,0
0.945261,0
0.840837,0
0.845363,0
0.891857,0
0.82694,0
0.896817,0
0.936762,0
0.943788,0
0.93002,0
0.895004,0
0.829663,0
0.934063,0
0.895048,0
0.737418,0
0.944377,0
0.851588,0
0.917433,0
0.952439,0
0.930009,0
0.945272,0
0.924232,0
0.834566,0
0.909371,0
0.957355,0
0.918363,0
0.883413,0
0.956426,0
0.831042,0
0.934466,0
0.933626,0
0.966302,0
0.902674,0
0.95376,0
0.899975,0
0.920143,0
0.873547,0
0.951543,0
0.951543,0
0.951543,0
0.855217,0
0.935855,0
0.899538,0
0.883023,0
0.874042,0
0.890143,0
0.934947,0
0.928263,0
0.960479,0
0.874513,0
0.866369,0
0.942103,0
0.861465,0
0.88346,0
0.694334,0
0.884355,0
0.950636,0
0.956034,0
0.968094,0
0.801397,0
0.951084,0
0.962753,0
0.946146,0
0.819762,0
0.926919,0
0.962305,0
0.820987,0
0.914366,0
0.974847,0
0.93899,0
0.93002,0
0.920614,0
0.94394,0
0.93187,0
0.928676,0
0.908934,0
0.923348,0
0.959583,0
0.830524,0
0.905419,0
0.970356,0
0.896392,0
0.818936,0
0.889236,0
0.977098,0
0.934545,0
0.951118,0
0.960043,0
0.849406,0
0.936785,0
0.938577,0
0.976661,0
0.976661,0
0.92553,0
0.900894,0
0.981106,0
0.965452,0
0.852966,0
0.965843,0
0.978442,0
0.974422,0
0.979349,0
0.965463,0
0.878521,0
0.504094,0
0.925104,0
0.887456,0
0.929987,0
0.980245,0
0.980659,0
0.900964,0
0.912586,0
0.90945,0
0.976202,0
0.969035,0
0.995407,0
0.922865,0
0.931823,0
0.940334,0
0.917077,0
0.940334,0
0.948408,0
0.894221,0
0.973951,0
0.908107,0
0.978005,0
0.905855,0
0.902272,0
0.953335,0
0.952887,0
0.912586,0
0.832846,0
0.977109,0
0.966784,0
0.968576,0
0.932731,0
0.903191,0
0.993573,0
0.939461,0
0.946651,0
0.956505,0
0.954702,0
0.973021,0
0.976673,0
0.98786,0
0.976673,0
0.976673,0
0.990099,0
0.943481,0
0.963236,0
0.951991,0
0.943963,0
0.88841,0
0.887539,0
0.919776,0
0.964568,0
0.964568,0
0.961398,0
0.997702,0
0.982944,0
0.96366,0
0.969495,0
0.951566,0
0.985172,0
0.974835,0
0.982048,0
0.93992,0
0.997243,0
0.991891,0
0.775105,0
0.980256,0
0.90859,0
0.952486,0
0.967669,0
0.982473,0
0.93009,0
0.88128,0
0.927391,0
0.953841,0
0.918444,0
0.9659,0
0.972171,0
0.965923,0
0.980659,0
0.986964,0
0.978017,0
0.950246,0
0.966796,0
0.951578,0
0.956953,0
0.948006,0
0.996784,0
0.987871,0
0.935017,0
0.945767,0
0.960984,0
0.963672,0
0.967715,0
0.946215,0
0.989203,0
0.962788,0
0.954725,0
0.991007,0
0.998621,0
0.992798,0
0.973986,0
0.845001,0
0.998621,0
0.977569,0
0.981141,0
0.98338,0
0.990111,0
0.992798,0
0.997702,0
0.997702,0
0.988307,0
0.984276,0
0.980256,0
0.979809,0
0.976225,0
0.988767,0
0.988767,0
0.988767,0
0.988767,0
0.964143,0
0.975329,0
0.975329,0
0.985631,0
0.969954,0
0.992339,0
0.991466,0
0.998162,0
0.998162,0
0.998162,0
0.998162,0
0.995497,0
0.993694,0
0.984736,0
0.991454,0
0.995945,0
0.990122,0
0.966831,0
0.978476,0
0.988779,0
0.994154,0
0.999081,0
0.998621,0
0.998173,0
0.998621,0
0.993706,0
0.994154,0
0.996841,0
0.996841,0
0.794242,0
0.999081,0
0.999081,0
0.999081,0
0.826963,0
0.922372,0
0.872192,0
0.869057,0
0.941633,0
0.948478,0
0.945227,0
0.988993,0
0.883425,0
0.95871,0
0.866463,0
0.944802,0
0.944836,0
0.954667,0
0.920212,0
0.957826,0
0.91301,0
0.997749,0
0.952451,0
0.945261,0
0.968139,0
0.975709,0
0.93365,0
0.96366,0
0.948443,0
0.997301,0
0.968576,0
0.960973,0
0.963212,0
0.95291,0
0.968576,0
0.952474,0
0.966807,0
0.892018,0
0.955161,0
0.974847,0
0.977086,0
0.976191,0
0.943068,0
0.917101,0
0.997749,0
0.909486,0
0.976639,0
0.98469,0
0.952922,0
0.98067,0
0.969495,0
0.97487,0
0.996784,0
0.989192,0
0.96188,0
0.979797,0
0.99954,0
0.99954,0
0.975318,0
0.963236,0
0.962328,0
0.9601,0
0.983828,0
0.989192,0
0.977121,0
0.979797,0
0.99954,0
0.99954,0
0.918456,0
0.933237,0
0.990995,0
0.984724,0
0.926967,0
0.9816,0
0.942643,0
0.987871,0
0.987871,0
0.985184,0
0.992787,0
0.962799,0
0.951602,0
0.967279,0
0.973997,0
0.986975,0
0.99235,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.984736,0
0.986527,0
0.970414,0
0.978476,0
0.978924,0
0.995038,0
0.989215,0
0.99459,0
0.985195,0
0.993694,0
0.989674,0
0.989674,0
0.996382,0
0.995049,0
0.992362,0
0.995497,0
0.994601,0
0.994601,0
0.991018,0
0.991018,0
0.996393,0
0.994601,0
0.994601,0
0.999081,0
0.999081,0
0.991926,0
0.995061,0
0.996853,0
0.996853,0
0.998197,0
0.998197,0
0.997749,0
0.998197,0
0.988342,0
0.992822,0
0.998197,0
0.993269,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.99954,0
0.075753,0
0.999092,0
0.99954,0
1,0
1,0
0.990146,0
0.988354,0
0.9785,0
1,0
0.988802,0
0.996865,0
0.912528,1
0.969495,1
0.904959,1
0.795966,1
0.916193,1
0.859225,1
0.918409,1
0.680792,1
0.4515,1
0.81829,1
0.76909,1
0.645602,1
0.767321,1
0.667813,1
0.541928,1
0.605942,1
0.535775,1
-0.032291,1
0.596514,1
0.874903,1
0.566302,1
0.907504,1
0.827836,1
0.96188,1
0.843928,1
0.437803,1
0.826895,1
0.681592,1
0.550086,1
0.534711,1
0.793312,1
0.691116,1
0.917849,1
0.901297,1
0.793673,1
0.781785,1
0.949752,1
0.746376,1
0.845363,1
0.966359,1
0.91703,1
0.830183,1
0.916605,1
0.974422,1
0.863292,1
0.887987,1
0.506769,1
0.917042,1
