@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.976573,0
0.939097,0
0.990625,0
0.99531,0
0.99531,0
0.957831,0
0.999995,0
0.985945,0
0.990625,0
0.99531,0
0.99531,0
0.948461,0
0.967206,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.995315,0
0.99531,0
0.990625,0
0.99531,0
0.981257,0
0.990625,0
0.995315,0
0.990625,0
0.99531,0
0.999995,0
0.967206,0
0.990629,0
0.99063,0
0.99531,0
0.939097,0
0.929727,0
0.976571,0
0.939091,0
0.99531,0
0.981255,0
0.97657,0
0.971891,0
0.981255,0
0.98594,0
0.99063,0
0.990629,0
0.981255,0
0.995311,0
0.999995,0
0.99531,0
0.98594,0
0.99531,0
0.990625,0
0.990625,0
0.99531,0
0.99531,0
0.999995,0
0.98594,0
0.939091,0
0.995315,0
0.999995,0
0.995315,0
0.910987,0
0.657997,0
0.990627,0
0.976576,0
1,0
0.971891,0
0.98594,0
0.97657,0
0.99063,0
0.962516,0
0.990627,0
0.939092,0
0.990625,0
0.990625,0
0.990625,0
0.999995,0
0.751701,0
0.939096,0
0.976576,0
0.990625,0
0.99531,0
0.99531,0
0.939096,0
0.948466,0
0.995315,0
0.99531,0
0.99063,0
0.99531,0
0.99531,0
0.868818,0
0.648628,0
0.99531,0
0.97657,0
0.971888,0
0.971891,0
0.99063,0
0.97657,0
0.939091,0
0.99063,0
0.948466,0
0.981255,0
0.943781,0
0.990625,0
0.990628,0
0.939091,0
0.99063,0
0.971885,0
0.929722,0
0.948466,0
0.981255,0
0.939092,0
0.929727,0
0.98126,0
0.892248,0
0.99063,0
0.97657,0
0.971888,0
0.953146,0
0.967206,0
0.925042,0
0.976576,0
0.583046,0
0.957836,0
0.985943,0
0.939096,0
0.98126,0
0.948466,0
0.985944,0
0.878193,0
0.976575,0
0.756386,0
0.976576,0
0.939091,0
0.98594,0
0.990627,0
0.99063,0
0.990626,0
0.981255,0
-0.419523,0
0.99063,0
0.985945,0
0.98594,0
0.99063,0
0.98594,0
0.99531,0
0.99531,0
0.99531,0
0.995315,0
0.99531,0
0.99531,0
0.995315,0
0.995311,0
0.999995,0
0.999996,0
0.999995,0
0.967206,0
0.686113,0
0.770438,0
0.934412,0
0.957835,0
-0.091577,0
0.892248,0
0.939097,0
0.681428,0
0.62521,0
0.887563,0
0.948466,0
0.971891,0
0.971891,0
0.976575,0
0.672058,0
0.718907,0
0.700167,0
0.971891,0
0.957834,0
0.901614,0
0.948466,0
0.976575,0
0.761071,0
0.948461,0
0.98126,0
0.967201,0
0.967201,0
0.953147,0
0.915672,0
0.934408,0
0.981258,0
0.981257,0
0.793865,0
0.985945,0
0.9672,0
0.803235,0
0.920357,0
0.981255,0
0.962521,0
0.971885,0
0.962515,0
0.985944,0
0.934411,0
0.939097,0
0.981256,0
0.967201,0
0.981255,0
0.943778,0
0.967203,0
0.981256,0
-1,0
0.985945,0
0.985945,0
0.962521,0
0.98126,0
0.971887,0
0.981255,0
0.943781,0
0.985945,0
0.929727,0
0.98594,0
0.990626,0
0.981256,0
0.98126,0
0.981255,0
0.985943,0
0.99063,0
0.971891,0
0.756386,0
0.79855,0
0.967201,0
0.98594,0
0.985945,0
0.97657,0
0.971888,0
0.747016,0
0.98594,0
0.756386,0
0.962519,0
0.99063,0
0.929721,0
0.99063,0
0.990627,0
0.971885,0
0.990625,0
0.99063,0
0.985945,0
0.98594,0
0.99063,0
0.990625,0
0.976574,0
0.985944,0
0.990625,0
0.990625,0
0.990626,0
0.990625,0
0.962521,0
0.990625,0
0.990625,0
0.990625,0
0.98594,0
0.99063,0
0.97657,0
0.990625,0
0.990625,0
0.939096,0
0.976572,0
0.981255,0
0.98126,0
0.920351,0
0.985943,0
0.990625,0
0.985945,0
0.990625,0
0.9672,0
0.948465,0
0.99063,0
0.985943,0
0.990625,0
0.99063,0
0.990625,0
0.934411,0
0.98594,0
0.971885,0
0.990625,0
0.990625,0
0.981259,0
0.990625,0
0.99063,0
0.953146,0
0.99063,0
0.990625,0
0.9672,0
0.98594,0
0.976573,0
0.953149,0
0.99063,0
0.99063,0
0.981256,0
0.9672,0
0.99063,0
0.943776,0
0.99063,0
0.98594,0
0.967204,0
0.976575,0
0.99063,0
0.9063,0
0.990625,0
0.990625,0
0.99063,0
0.967206,0
0.967206,0
0.967206,0
0.990625,0
0.985943,0
0.990625,0
0.981255,0
0.990625,0
0.990625,0
0.990625,0
0.97657,0
0.98594,0
0.990625,0
0.990625,0
0.990625,0
0.990625,0
0.990625,0
0.995315,0
0.99063,0
0.97189,0
0.981256,0
0.98594,0
0.99531,0
0.953146,0
0.981255,0
0.990625,0
0.99531,0
0.985943,0
0.967203,0
0.99531,0
0.990625,0
0.925036,0
0.98594,0
0.990625,0
0.990625,0
0.971885,0
0.97657,0
0.990625,0
0.99531,0
0.99063,0
0.99063,0
0.995313,0
0.990625,0
0.98594,0
0.995315,0
0.99531,0
0.99531,0
0.962518,0
0.990626,0
0.990625,0
0.990626,0
0.995311,0
0.990625,0
0.99063,0
0.953147,0
0.953147,0
0.995315,0
0.99531,0
0.971885,0
0.98594,0
0.99531,0
0.990625,0
0.971885,0
0.98126,0
0.967203,0
0.957834,0
0.990625,0
0.98594,0
0.995312,0
0.99531,0
0.99531,0
0.943778,0
0.981255,0
0.990625,0
0.990625,0
0.990625,0
0.98594,0
0.98594,0
0.990625,0
0.99531,0
0.995315,0
0.995313,0
0.981255,0
0.995311,0
0.99531,0
0.99531,0
0.990625,0
0.995314,0
0.98594,0
0.995313,0
0.99531,0
0.995312,0
0.990625,0
0.99531,0
0.99531,0
0.9672,0
0.990625,0
0.990625,0
0.99531,0
0.995315,0
0.99531,0
0.99531,0
0.990628,0
0.990626,0
0.98594,0
0.99531,0
0.948464,0
0.97657,0
0.957834,0
0.957834,0
0.943776,0
0.99531,0
0.98594,0
0.99531,0
0.98594,0
0.99531,0
0.98594,0
0.995311,0
0.990625,0
0.990625,0
0.99531,0
0.97657,0
0.920351,0
0.990625,0
0.990625,0
0.99531,0
0.981258,0
0.99531,0
0.981255,0
0.99531,0
0.990625,0
0.9672,0
0.98594,0
0.97657,0
0.990625,0
0.990625,0
0.995315,0
0.990625,0
0.990625,0
0.98594,0
0.99531,0
0.939091,0
0.995315,0
0.99531,0
0.995313,0
0.990626,0
0.99531,0
0.990625,0
0.985941,0
0.995315,0
0.995313,0
0.99531,0
0.99531,0
0.995315,0
0.99531,0
0.98594,0
0.995315,0
0.99531,0
0.99531,0
0.99531,0
0.995315,0
0.99531,0
0.990625,0
0.99531,0
0.99531,0
0.971885,0
0.868817,0
0.97657,0
0.990625,0
0.995315,0
0.962515,0
0.995315,0
0.995311,0
0.99531,0
0.990625,0
0.990625,0
0.99531,0
0.99531,0
0.995315,0
0.99531,0
0.995315,0
0.990625,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.98126,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.98594,0
0.995315,0
0.99531,0
0.99531,0
0.990625,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.990625,0
0.98594,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.99531,0
0.999995,0
0.99531,0
0.99531,0
0.99531,0
0.999995,0
0.999995,0
0.999995,0
0.999995,0
0.999996,0
0.99531,0
0.999996,0
0.999995,0
