@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-6,8-10'

@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.808301,1
0.965817,0
0.91233,1
0.839711,1
0.974701,1
0.797754,1
0.794555,0
0.889058,0
0.541919,1
0.953405,0
0.7681,1
0.685459,1
0.944534,0
0.46149,1
0.999556,0
0.917897,0
0.208586,1
0.822509,0
0.739952,0
0.886846,0
0.871312,0
0.970274,0
0.919228,0
0.994682,0
0.995566,0
0.803909,1
0.905669,1
0.605733,1
0.82315,1
0.624072,1
0.93893,1
0.796266,1
0.994235,0
0.879758,0
0.699382,1
0.816601,1
0.917222,1
0.994679,0
0.961392,0
0.471786,1
0.660169,1
0.497593,1
-0.0438,1
0.082424,1
0.48876,0
0.864646,1
0.980469,0
0.757145,1
0.978694,0
0.436399,0
0.479519,1
0.888618,0
0.985354,0
0.672822,1
0.51217,1
0.966707,0
0.78564,0
0.956798,1
0.982254,0
0.997775,0
-0.115898,1
0.910374,0
0.999113,0
0.874855,0
0.907982,1
0.915973,1
0.918338,0
0.826986,1
0.99956,0
0.917213,1
0.963611,0
0.30728,1
0.514058,0
0.726654,0
0.477829,1
0.918806,1
0.863203,1
0.909907,0
0.073768,1
0.979585,0
0.559504,1
0.952085,0
0.910768,1
0.109551,1
0.697345,0
0.910354,0
0.210047,1
0.995116,0
0.861528,0
0.867777,0
0.98891,0
-0.006542,1
0.999563,0
0.771131,1
0.91346,1
0.037515,1
0.98491,0
0.989351,0
0.992453,0
0.870415,0
0.950306,1
0.900598,1
0.99956,0
0.867749,0
0.240734,0
0.946119,1
0.968045,0
0.98136,0
0.985357,0
0.932547,0
0.917528,1
0.91435,0
0.182606,1
0.778721,1
0.798075,0
0.560266,1
0.846911,0
0.98891,0
0.880174,1
-0.104949,1
0.916108,0
0.823591,1
0.878399,0
0.541884,1
0.91702,1
0.888164,0
0.856321,1
0.905032,0
0.870418,1
0.956434,1
0.68469,1
0.932543,0
0.911691,0
0.833707,1
0.503813,1
0.626324,1
0.948052,1
0.770223,1
0.919219,1
0.957833,0
0.326512,1
0.689405,1
0.941865,0
0.99956,0
0.958209,1
0.901349,1
0.952071,0
0.676387,1
0.964929,0
-0.129839,1
0.930325,0
0.935219,0
0.994675,0
0.836239,0
0.999563,0
0.684025,1
0.577148,1
0.977801,0
0.860677,1
0.998229,0
0.952071,0
0.884608,0
0.995122,0
0.539751,1
0.982244,0
0.976926,0
0.312709,1
0.60149,0
0.084182,0
0.954286,0
0.644982,0
0.762805,1
0.905032,0
0.980923,0
-0.021923,1
0.93966,0
0.47722,1
0.479629,1
0.706021,1
0.688252,1
0.9179,1
0.971523,1
0.896172,0
0.976926,0
0.95742,1
0.856618,1
0.909622,1
0.84246,0
0.901035,0
0.725093,1
0.757685,1
0.600603,1
0.847513,1
0.969446,1
0.87532,0
0.068979,0
0.964293,1
0.184089,1
0.963692,1
0.756445,1
0.790446,1
0.828701,1
0.54153,1
0.542454,1
0.194156,1
0.784414,1
0.842594,1
0.999556,0
0.986685,0
0.968039,0
0.609443,1
0.996901,0
0.71355,1
0.994235,0
-0.121784,1
0.889505,0
0.861502,1
0.952518,0
-0.218039,1
0.918798,1
0.799842,0
0.638167,1
0.671159,1
0.805424,1
0.997788,0
0.72304,1
0.898618,1
0.614677,1
0.97426,0
0.991576,0
0.942281,1
0.618343,1
0.268535,1
0.777181,1
0.83181,1
0.778715,1
0.609723,1
0.999113,0
0.929997,1
0.755875,1
0.641794,1
0.783447,0
0.628548,0
0.882405,0
0.989305,0
0.684582,1
0.845396,1
0.666278,1
0.968485,0
0.644622,1
0.716997,1
0.729291,0
0.64012,1
0.655669,0
-0.068763,1
0.946739,0
-0.099957,1
0.948968,0
0.482124,0
0.983128,0
0.173413,1
0.535827,0
0.944538,0
0.936531,0
0.606953,1
0.604947,1
1,0
0.987125,0
0.561711,1
0.163036,1
0.963157,0
0.950743,0
0.903459,1
0.929777,1
0.760087,1
0.610414,0
0.975592,0
0.511825,1
0.974267,0
0.00813,1
0.927662,0
0.864453,1
-0.246245,1
0.968339,1
0.982702,0
0.913457,0
0.684812,1
0.74359,1
0.998676,0
0.990245,0
0.948979,0
0.833582,0
0.936528,0
0.773453,1
0.616694,1
0.182912,1
0.994672,0
0.773135,1
0.991129,0
0.824255,1
0.943406,1
0.734637,1
0.854471,1
0.953526,1
0.827949,1
0.845537,1
-0.033088,1
0.820662,1
-0.044408,1
0.975588,0
0.993795,0
0.873989,0
-1,0
0.005674,1
0.962214,1
0.966179,1
0.952058,0
0.55807,1
0.950721,0
0.981371,0
0.795064,1
0.966838,1
0.967171,0
0.771113,1
0.945846,0
0.946619,1
0.731546,0
0.713789,1
0.37295,0
0.839329,0
0.880627,0
0.98891,0
0.678792,1
-0.01245,1
0.795881,1
-0.186134,1
0.557566,1
0.756361,1
0.497222,0
0.896069,1
0.99956,0
0.831305,1
0.815875,1
0.16569,1
0.976926,0
0.821542,1
0.483947,1
-0.11502,1
0.87664,0
0.78369,1
0.469261,0
0.593696,1
0.828698,0
0.896151,0
0.956955,0
0.82566,1
0.654224,1
0.972489,0
0.971392,1
0.639872,1
0.554501,1
0.549716,1
0.545767,1
0.839787,1
0.967087,1
0.807078,1
0.783875,1
0.478204,1
0.820556,1
0.794624,1
0.842732,1
