@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.800543,1
0.962813,0
0.903761,1
0.827183,1
0.972527,1
0.779891,1
0.775952,0
0.876653,0
0.501809,1
0.949479,0
0.738754,1
0.622795,1
0.939719,0
0.415331,1
0.999474,0
0.910995,0
0.130517,1
0.806871,0
0.718097,0
0.876713,0
0.859969,0
0.967716,0
0.912438,0
0.994226,0
0.995052,0
0.787885,1
0.900455,1
0.531436,1
0.797331,1
0.636631,1
0.924446,1
0.780279,1
0.993654,0
0.869535,0
0.682594,1
0.784649,1
0.908922,1
0.994226,0
0.958139,0
0.404446,1
0.63878,1
0.457131,1
-0.131472,1
-0.025719,1
0.445129,0
0.853281,1
0.978783,0
0.741043,1
0.976858,0
0.389479,0
0.418226,1
0.879202,0
0.984121,0
0.615268,1
0.500002,1
0.963684,0
0.767601,0
0.950811,1
0.980753,0
0.997549,0
-0.148523,1
0.902723,0
0.999038,0
0.864245,0
0.900177,1
0.909423,1
0.911382,0
0.813389,1
0.999474,0
0.910348,1
0.960545,0
0.250427,1
0.471071,0
0.703577,0
0.496813,1
0.91206,1
0.853035,1
0.902289,0
0.075075,1
0.977192,0
0.508771,1
0.94799,0
0.902133,1
0.069136,1
0.672023,0
0.902536,0
0.122823,1
0.994707,0
0.849105,0
0.856311,0
0.987925,0
-0.040188,1
0.999474,0
0.735465,1
0.905997,1
0.014804,1
0.98364,0
0.988451,0
0.99182,0
0.859532,0
0.945973,1
0.896353,1
0.999474,0
0.856647,0
0.177844,0
0.942597,1
0.96531,0
0.979745,0
0.983939,0
0.926636,0
0.910538,1
0.907005,0
0.115005,1
0.778227,1
0.781011,0
0.548897,1
0.83342,0
0.987925,0
0.867335,1
-0.121751,1
0.908466,0
0.811404,1
0.867666,0
0.550065,1
0.910033,1
0.878674,0
0.8316,1
0.896951,0
0.859532,1
0.949252,1
0.657843,1
0.926822,0
0.903701,0
0.820996,1
0.441914,1
0.598428,1
0.946321,1
0.729086,1
0.912344,1
0.954106,0
0.223114,1
0.64922,1
0.936925,0
0.999474,0
0.950984,1
0.857713,1
0.947714,0
0.62592,1
0.961896,0
-0.238369,1
0.924417,0
0.929615,0
0.994226,0
0.822408,0
0.999474,0
0.657612,1
0.524926,1
0.975896,0
0.848711,1
0.99803,0
0.947714,0
0.874826,0
0.994707,0
0.502531,1
0.980571,0
0.974482,0
0.353123,1
0.568069,0
0.010401,0
0.950166,0
0.615183,0
0.740943,1
0.896951,0
0.979309,0
-0.105884,1
0.934473,0
0.44543,1
0.473494,1
0.661311,1
0.65017,1
0.910948,1
0.968185,1
0.887331,0
0.974571,0
0.95746,1
0.83386,1
0.899282,1
0.82914,0
0.892622,0
0.737032,1
0.748514,1
0.565344,1
0.888581,1
0.967213,1
0.864205,0
-0.006531,0
0.964116,1
0.119296,1
0.970795,1
0.703525,1
0.762867,1
0.813462,1
0.501664,1
0.503717,1
0.133016,1
0.787641,1
0.818135,1
0.999474,0
0.985564,0
0.96531,0
0.577133,1
0.996586,0
0.681988,1
0.993699,0
-0.175496,1
0.880069,0
0.850353,1
0.948471,0
-0.295378,1
0.911399,1
0.782934,0
0.590475,1
0.643045,1
0.802172,1
0.997549,0
0.70585,1
0.874014,1
0.579321,1
0.972092,0
0.990857,0
0.936315,1
0.535375,1
0.16051,1
0.754137,1
0.817649,1
0.768965,1
0.577261,1
0.998992,0
0.917267,1
0.705015,1
0.652099,1
0.765248,0
0.597359,0
0.872373,0
0.988451,0
0.633403,1
0.826953,1
0.636778,1
0.965837,0
0.62939,1
0.681004,1
0.706306,0
0.6099,1
0.626656,0
-0.148131,1
0.94217,0
-0.264581,1
0.944668,0
0.43863,0
0.980955,0
0.018168,1
0.497207,0
0.93958,0
0.931059,0
0.577728,1
0.568713,1
1,0
0.986046,0
0.606938,1
0.034996,1
0.95988,0
0.9465,0
0.897507,1
0.911449,1
0.731695,1
0.577507,0
0.97349,0
0.471007,1
0.972001,0
-0.012319,1
0.921437,0
0.857675,1
-0.332118,1
0.966204,1
0.981143,0
0.906137,0
0.658328,1
0.718091,1
0.998198,0
0.989323,0
0.944622,0
0.811255,0
0.930691,0
0.767167,1
0.581143,1
0.115596,1
0.994226,0
0.763008,1
0.990331,0
0.783616,1
0.939046,1
0.712073,1
0.833269,1
0.95871,1
0.813343,1
0.832555,1
-0.115852,1
0.780831,1
-0.141291,1
0.97349,0
0.993263,0
0.86314,0
-1,0
-0.358694,1
0.947551,1
0.960684,1
0.947353,0
0.529782,1
0.946546,0
0.979518,0
0.764089,1
0.966025,1
0.964302,0
0.751784,1
0.941301,0
0.939528,1
0.708709,0
0.690134,1
0.321146,0
