@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.966355,1
0.98594,0
0.985175,1
0.99531,1
0.99531,1
0.990625,1
0.868818,0
0.672058,0
0.872432,1
0.999995,0
0.949192,1
0.983547,1
0.98594,0
0.971147,1
0.99531,0
0.999995,0
0.746834,1
0.929721,0
0.99063,0
0.939091,0
0.948466,0
0.99531,0
0.999995,0
0.999995,0
0.98594,0
0.97557,1
0.985124,1
0.985943,1
0.967236,1
0.961575,1
0.995315,1
0.986938,1
0.990625,0
0.990625,0
0.984181,1
0.99063,1
0.994751,1
0.999995,0
0.999996,0
0.923421,1
0.979215,1
0.943336,1
0.45297,1
0.970962,1
0.892248,0
0.999995,1
0.995315,0
0.986712,1
0.995311,0
0.967206,0
0.941671,1
0.99531,0
0.999995,0
0.98157,1
0.938031,1
0.976575,0
0.990627,0
0.985941,1
0.999995,0
0.99531,0
0.967186,1
0.990625,0
0.999995,0
0.99063,0
0.98671,1
0.987271,1
0.990625,0
0.927961,1
0.99531,0
0.99515,1
0.999995,0
0.990625,1
0.770438,0
0.981255,0
0.932997,1
0.994896,1
0.997443,1
0.99531,0
0.973047,1
0.929722,0
0.985944,1
0.99531,0
0.98211,1
0.96221,1
0.995315,0
0.971888,0
0.571022,1
0.999995,0
0.920357,0
0.9672,0
0.99531,0
0.963452,1
0.99531,0
0.939706,1
0.98126,1
0.908486,1
0.999995,0
0.999995,0
0.999995,0
0.999995,0
0.98594,1
0.996618,1
0.99531,0
0.999995,0
0.934412,0
0.999113,1
0.995315,0
0.995311,0
0.981258,0
0.97657,0
0.992385,1
0.98594,0
0.920357,1
0.990625,1
0.98594,0
0.907387,1
0.939096,0
0.99531,0
1,1
0.905849,1
0.939097,0
0.972223,1
0.948466,0
0.988969,1
0.999995,1
0.990625,0
0.99242,1
0.99063,0
1,1
0.987878,1
0.991054,1
0.995315,0
0.943781,0
0.992829,1
0.967201,1
0.980286,1
0.995312,1
0.982525,1
0.990626,1
0.981256,0
0.948117,1
0.939999,1
0.99531,0
0.99531,0
0.985941,1
0.990628,1
0.967206,0
0.990347,1
0.990625,0
0.978568,1
0.99531,0
0.98594,0
0.999999,0
0.99063,0
0.99531,0
0.995315,1
0.980527,1
0.995315,0
0.97657,1
0.99531,0
0.967206,0
0.990625,0
0.999995,0
0.971599,1
0.981255,0
0.948464,0
0.970005,1
0.976571,0
0.999995,0
0.971891,0
0.981257,0
0.958183,1
0.990625,0
0.999995,0
0.859452,1
0.990625,0
0.972206,1
0.961759,1
0.986793,1
0.971149,1
0.995311,1
0.998839,1
0.990625,0
0.957834,0
0.998081,1
0.980902,1
0.964118,1
0.99063,0
0.990625,0
0.986291,1
0.991977,1
0.821974,1
0.993675,1
0.993695,1
0.939091,0
0.957836,0
0.995392,1
0.95132,1
0.998402,1
0.989226,1
0.990627,1
0.915672,1
0.978329,1
0.934411,1
0.844641,1
0.99531,1
0.99476,1
0.99531,0
0.999995,0
0.99531,0
0.986869,1
0.99531,0
0.983171,1
0.99531,0
0.962189,1
0.98594,0
0.982085,1
0.99531,0
0.956848,1
0.943776,1
0.985945,0
0.981888,1
0.939093,1
0.984148,1
0.99531,0
0.985587,1
0.984964,1
0.966553,1
0.999995,0
0.999995,0
0.995315,1
0.945848,1
0.927438,1
0.990628,1
0.99531,1
0.990629,1
0.990472,1
0.99531,0
0.999066,1
0.987988,1
0.98126,1
0.99531,0
0.976576,0
0.98594,0
0.999995,0
0.984537,1
0.99063,1
0.960814,1
0.999995,0
0.980278,1
0.990223,1
0.967206,0
0.98126,1
0.976573,0
0.984651,1
0.990625,0
0.149347,1
0.999995,0
0.948466,0
0.920351,0
0.866154,1
0.99063,0
0.971885,0
0.985943,0
0.840475,1
0.978042,1
0.999995,0
1,0
0.985237,1
0.975544,1
0.981255,0
0.990625,0
0.982004,1
0.995781,1
0.976414,1
0.962516,0
0.995315,0
0.967205,1
0.990625,0
0.968591,1
0.985943,0
0.895339,1
0.977436,1
0.986361,1
0.990625,0
0.99531,0
0.981691,1
0.975876,1
0.962515,0
0.990625,0
0.99531,0
-0.091577,0
0.948466,0
0.990625,1
0.960997,1
0.946854,1
0.999995,0
0.985696,1
0.99531,0
0.968532,1
0.999871,1
0.9672,1
0.985451,1
0.99676,1
0.959029,1
0.99531,1
0.962521,1
0.99388,1
0.454781,1
0.99531,0
0.999995,0
0.97657,0
0.981258,0
0.975983,1
0.993338,1
0.994234,1
0.929727,0
0.968876,1
0.995315,0
