@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-3,5-10'

@attribute 'd( WMC,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.871221,1
0.957325,0
0.959872,1
0.955131,1
0.977534,1
0.929431,1
0.844976,0
0.942573,0
0.780098,1
0.957325,0
0.918381,1
0.945236,1
0.956012,0
0.853196,1
0.976165,0
0.969117,0
0.657154,1
0.857758,0
0.948146,0
0.950331,0
0.912767,0
0.992971,0
0.970254,0
0.998867,0
0.975021,0
0.936246,1
0.943189,1
0.861469,1
0.909019,1
0.903686,1
0.956028,1
0.925568,1
0.97979,0
0.987479,0
0.943837,1
0.911403,1
0.952214,1
0.992971,0
0.981196,0
0.795132,1
0.9167,1
0.818209,1
-0.373523,1
0.808232,1
0.778771,0
0.958792,1
0.973887,0
0.953697,1
0.977534,0
0.830189,0
0.828403,1
0.966203,0
0.983428,0
0.908248,1
0.832435,1
0.957709,0
0.912029,0
0.971122,1
0.995232,0
0.943009,0
0.77094,1
0.989649,0
0.970254,0
0.959302,0
0.945533,1
0.952657,1
0.953468,0
0.912597,1
0.985697,0
0.966093,1
0.983428,0
0.842536,1
0.63107,0
0.945588,0
0.818513,1
0.957304,1
0.94569,1
0.949726,0
0.895126,1
0.946663,0
0.917938,1
0.990747,0
0.953052,1
0.843587,1
0.926409,0
0.950784,0
0.296111,1
0.978657,0
0.855609,0
0.970989,0
0.9882,0
0.883484,1
0.980931,0
0.897857,1
0.960356,1
0.699034,1
0.978657,0
0.985971,0
0.978657,0
0.953468,0
0.979,1
0.954751,1
0.933295,0
0.952552,0
0.837704,0
0.963073,1
0.969441,0
0.972762,0
0.972762,0
0.958447,0
0.969834,1
0.962098,0
0.703697,1
0.94249,1
0.935366,0
0.817861,1
0.968571,0
0.9882,0
0.962836,1
0.684917,1
0.872102,0
0.921859,1
0.931017,0
0.822071,1
0.963218,1
0.947385,0
0.969823,1
0.968353,0
0.965763,1
0.946519,1
0.90521,1
0.968353,0
0.943888,0
0.914304,1
0.833117,1
0.91539,1
0.957347,1
0.910555,1
0.951437,1
0.963572,0
0.833537,1
0.934472,1
0.975316,0
0.980931,0
0.949831,1
0.873082,1
0.97422,0
0.890031,1
0.958447,0
0.769079,1
0.96799,0
0.97846,0
0.989327,0
0.939099,0
0.985697,0
0.903146,1
0.928211,1
0.969117,0
0.96993,1
0.96799,0
0.97422,0
0.950331,0
0.995232,0
0.854171,1
0.973887,0
0.954811,0
0.844872,1
0.86913,0
0.990464,0
0.950331,0
0.907956,0
0.92192,1
0.966203,0
0.989649,0
0.650485,1
0.984294,0
0.888507,1
0.837033,1
0.902621,1
0.919333,1
0.967274,1
0.970272,1
0.97846,0
0.964348,0
0.974533,1
0.879313,1
0.917323,1
0.953468,0
0.949726,0
0.923241,1
0.950953,1
0.830189,1
0.912976,1
0.954995,1
0.838317,0
0.81215,0
0.960393,1
0.781266,1
0.975495,1
0.897432,1
0.895345,1
0.866836,1
0.842614,1
0.817551,1
0.635755,1
0.966684,1
0.89695,1
0.985697,0
0.978657,0
0.960987,0
0.855617,1
0.983779,0
0.924495,1
0.984558,0
0.767621,1
0.957947,0
0.963927,1
0.97422,0
0.794384,1
0.916822,1
0.90932,0
0.916644,1
0.908903,1
0.897863,1
0.995232,0
0.89919,1
0.968522,1
0.915077,1
0.984558,0
0.997744,0
0.955246,1
0.939772,1
0.745578,1
0.90716,1
0.962098,1
0.92297,1
0.854247,1
0.97979,0
0.959741,1
0.941996,1
0.917387,1
0.952431,0
0.835507,0
0.970254,0
0.860835,0
0.918905,1
0.896545,1
0.914115,1
0.971646,0
0.916842,1
0.898553,1
0.875251,0
0.916644,1
0.927989,0
0.723186,1
0.962491,0
0.541023,1
0.982307,0
0.850256,0
0.907158,0
0.66371,1
0.913712,0
0.975316,0
0.949234,0
0.832606,1
0.944222,1
0.982081,0
0.973887,0
0.921326,1
0.860123,1
0.956212,0
0.982307,0
0.944811,1
0.95566,1
0.893976,1
0.944577,0
0.979,0
0.769217,1
0.980093,0
0.745259,1
0.956212,0
0.954,1
0.787892,1
0.950429,1
0.985971,0
0.960987,0
0.912655,1
0.931109,1
0.816772,0
0.992971,0
0.995232,0
0.092573,0
0.933806,0
0.937979,1
0.915955,1
0.793799,1
0.984558,0
0.941048,1
0.994097,0
0.918792,1
0.958882,1
0.920595,1
0.964177,1
0.967594,1
0.888814,1
0.896622,1
0.772066,1
0.958338,1
0.155273,1
0.978657,0
0.992971,0
0.968353,0
0.932824,0
0.83619,1
0.970166,1
0.960782,1
0.933266,0
0.935485,1
0.945276,0
0.964663,0
0.936716,1
0.96799,1
0.989649,0
0.898129,1
0.950784,0
0.952552,1
0.936429,0
0.900183,1
0.854276,0
0.892862,0
0.950345,0
0.959579,0
0.9059,1
0.812287,1
0.929071,1
0.669843,1
0.819185,1
0.924381,1
0.854885,0
0.961608,1
0.985697,0
0.900632,1
0.910828,1
0.857362,1
0.964348,0
0.896864,1
0.899083,1
0.733644,1
0.979,0
0.912835,1
0.891949,0
0.919064,1
0.944939,0
0.950384,0
0.907733,0
0.898446,1
0.94654,1
0.909622,0
0.977911,1
0.916511,1
0.933977,1
0.925588,1
0.777721,1
0.961952,1
0.949196,1
0.93615,1
0.940778,1
0.87383,1
0.903474,1
0.924105,1
0.96253,1
0.873998,1
0.97642,0
0.923364,1
0.675247,1
0.928476,0
0.972762,0
0.962491,0
0.898378,1
0.962968,1
0.925355,1
0.977534,0
0.813363,1
0.96993,0
0.105071,1
0.905157,1
0.954013,0
0.97381,1
0.948678,0
0.8959,0
0.934012,1
0.983428,0
0.886851,0
0.916307,1
0.822525,1
0.922899,1
0.858426,1
0.96528,1
0.87534,1
0.948678,0
0.913864,1
0.984871,0
0.797674,1
0.956063,1
0.964348,0
0.969441,0
0.967274,0
0.909124,1
0.654038,1
0.970539,0
0.821331,1
0.912421,1
-0.533931,1
0.989327,0
0.973887,0
0.935536,1
0.824839,1
0.944138,1
0.751256,1
0.972762,0
0.957888,1
0.904459,1
0.666231,1
0.824012,1
0.807017,0
0.966872,0
0.903563,0
0.944577,0
0.967274,0
0.973134,0
0.767576,1
0.971646,0
0.982697,0
0.925971,1
0.986846,0
0.771308,1
0.921856,1
0.958447,0
0.9359,0
0.983428,0
0.936003,0
0.776309,1
0.976732,1
0.996376,0
0.969466,0
0.978657,0
0.950463,1
0.879099,0
0.97684,0
0.950784,0
0.957548,1
0.805159,1
0.892832,0
0.839385,1
0.944455,0
0.962789,1
0.965763,0
0.910962,1
0.958211,1
0.954173,0
0.985697,0
0.957947,1
0.690753,0
0.908385,1
0.975316,0
0.745819,1
0.975316,0
0.960875,1
0.77308,1
0.978657,0
0.953516,1
0.980093,0
0.960987,0
0.895909,1
0.917394,1
0.965647,1
0.950784,1
0.915636,1
0.909914,0
0.958447,0
-0.77087,1
0.88829,1
0.989327,0
0.972057,0
0.894575,1
0.979,0
0.977534,0
0.915367,1
0.948678,0
0.963572,0
0.962595,1
0.839313,0
0.966203,0
0.991193,0
0.898296,1
0.916221,1
0.940546,1
0.93223,0
0.958447,0
0.890471,0
0.841346,1
0.960987,0
0.42805,1
0.961419,0
0.984558,0
0.984558,0
0.930688,1
0.86627,1
0.96799,0
0.675548,1
0.939677,0
0.876206,0
0.983428,0
0.888606,1
0.980093,0
0.97367,0
0.905053,0
0.968976,1
0.933234,1
0.980931,0
0.906842,1
0.85453,1
0.816146,1
0.989327,0
0.963489,1
0.984558,0
0.96223,1
0.89869,1
0.9882,0
0.97422,0
0.90326,1
0.911802,0
0.277597,0
0.842728,1
0.919622,0
0.915631,0
0.960906,1
0.952552,0
0.958792,0
0.963218,0
0.960726,1
0.916644,1
0.950784,0
0.805989,1
0.973573,1
0.919428,1
0.952927,0
0.994097,0
0.909914,0
0.918093,1
0.972057,0
0.798183,1
0.837945,1
0.940793,0
0.851287,1
0.909989,0
0.954638,1
0.940251,1
-0.681963,1
0.950784,1
0.96799,1
0.967274,0
0.966203,0
0.956197,0
0.806228,1
0.865181,0
0.924001,0
0.981196,0
0.764825,1
0.835121,1
0.92048,1
0.995232,0
0.915794,0
0.904141,1
0.9882,0
0.959579,0
0.963572,0
0.973887,0
0.883698,1
0.933977,0
0.921787,1
0.930066,1
0.899994,1
0.964408,1
0.95694,1
0.960264,1
0.96888,0
0.957578,1
0.977534,0
0.801569,1
0.894398,1
0.963218,0
0.94136,1
0.9882,0
0.933798,1
0.952552,0
0.914805,0
0.992971,0
0.939677,0
0.779008,1
0.956837,1
0.970539,0
0.987081,0
0.93408,1
0.96072,1
0.916542,1
0.914709,1
0.842708,1
0.944138,0
0.80042,0
0.966872,0
0.972762,0
0.97408,1
0.950606,1
0.97642,0
0.983779,0
0.995232,0
0.942583,0
0.962981,1
0.925034,1
0.961321,1
0.798868,1
0.926523,1
0.948448,1
0.939551,1
0.972762,0
0.978972,1
0.969117,0
0.955556,1
0.943365,1
0.888717,0
0.927882,1
0.962098,0
0.994097,0
0.962283,1
0.83776,1
0.960614,1
0.895034,1
0.97979,0
0.909518,0
0.944616,0
0.7626,1
0.971399,0
0.77962,1
0.939982,1
0.966872,0
0.85316,1
0.883567,1
0.96107,1
0.978657,0
0.951869,1
0.973134,0
0.963594,1
0.695503,0
0.717471,1
0.958547,1
0.88049,1
0.995232,0
0.970539,0
0.975494,1
0.951437,0
0.995232,0
0.896973,1
0.943888,0
0.973887,0
0.872102,0
0.982307,0
0.977534,0
0.94227,1
0.989327,0
0.937482,1
0.970583,0
0.899897,1
0.983428,0
0.893631,1
0.948433,1
0.96799,1
0.966655,1
0.937022,0
0.95469,1
0.996376,0
0.820058,1
0.940152,0
0.969441,0
0.952927,0
0.908696,1
0.984558,0
0.955954,0
0.932141,1
0.261462,1
0.916644,1
0.996376,0
0.963798,1
0.994097,0
0.79204,1
0.831419,1
0.870607,0
0.89967,1
0.930734,1
0.922646,0
0.893586,1
0.958447,0
0.919173,1
0.987081,0
0.914496,1
0.891949,0
0.903841,0
0.929017,1
0.898948,0
0.907832,0
0.953677,0
0.936797,1
0.968353,0
0.91016,1
0.992971,0
0.94778,0
0.949922,1
0.975774,0
0.907568,1
0.925918,1
0.990464,0
0.983428,0
0.970254,0
0.944905,1
0.953677,1
0.860815,1
0.971646,0
0.900193,1
0.957647,1
0.947831,1
0.947182,1
0.983428,0
0.984871,0
-0.857841,1
0.965523,1
0.957709,0
0.853979,1
0.948886,1
0.977534,0
0.96878,1
0.896409,1
0.97367,0
0.957721,1
0.950043,0
0.935822,0
0.916176,1
0.912248,1
0.772918,1
0.965487,0
0.954054,1
0.943933,1
0.908822,1
0.936233,0
0.901416,1
0.980931,0
0.763015,1
0.920298,1
0.989327,0
0.952552,0
0.964356,1
0.916224,0
0.963,1
0.949726,0
0.963218,0
0.979,0
0.995232,0
0.931294,1
0.961419,0
0.967092,1
0.9882,0
0.876282,0
0.918897,0
0.92168,0
0.970539,0
0.959795,1
0.92971,1
0.670541,0
0.788006,1
0.981196,0
0.969117,0
0.96799,1
0.964358,1
0.9653,1
0.9142,1
1,0
0.960092,1
0.428652,1
0.967274,0
0.969414,1
0.931646,0
0.921408,0
0.860417,1
0.967422,1
0.962213,1
0.866617,1
0.900584,1
0.992971,0
0.990747,0
0.873702,0
0.921024,1
0.972057,0
0.808672,1
0.960723,1
0.969454,1
0.943301,1
0.961052,1
0.977534,0
0.784689,1
0.815588,1
0.956207,1
0.964,1
0.973887,0
0.853559,1
0.946404,0
0.959602,1
0.844941,1
0.975316,0
0.980931,0
0.833905,1
0.977534,0
0.958401,1
0.961419,0
0.940778,0
0.956003,1
0.949726,0
0.805692,1
0.919603,1
0.970539,0
0.920045,1
0.922799,0
0.957249,1
1,0
0.91615,1
0.914279,1
0.962401,1
0.995232,0
0.964537,1
0.946113,1
0.851486,1
0.934311,0
0.818407,1
0.970254,0
0.968353,0
0.931502,1
0.943576,1
0.929523,0
0.994097,0
0.929833,0
0.932377,1
0.970254,0
0.980931,0
0.966305,1
0.739097,1
0.953176,0
0.9882,0
0.984558,0
0.959302,0
0.913215,1
0.946395,1
0.936797,1
0.964663,0
0.982307,0
0.970736,1
0.940449,1
0.930123,0
0.9553,1
0.941185,1
0.953726,1
0.967427,1
0.958447,0
0.957106,0
0.930516,1
0.951188,0
0.889791,0
0.923212,1
0.945881,0
0.958004,1
0.962235,1
0.922372,1
0.92004,1
0.666852,1
0.788751,1
0.943754,1
0.962671,1
0.932732,1
0.960987,0
0.975774,0
0.96072,0
0.991855,0
0.651041,1
0.838315,1
0.823437,1
0.989327,0
0.737345,1
0.931896,1
0.968353,0
0.978657,0
0.891654,1
0.944455,0
0.984558,0
0.97979,0
0.831949,1
0.905289,1
0.931228,0
0.906133,1
0.938056,0
0.669799,0
0.968396,1
0.941815,0
0.980093,0
0.956635,0
0.952784,1
0.97684,0
0.984558,0
0.951851,0
0.964663,0
0.964559,1
0.956211,1
0.941706,1
0.955089,1
0.959486,1
0.428653,0
0.980093,0
0.955161,0
0.954514,0
0.544033,0
0.972762,0
0.960992,0
0.943466,1
0.97422,0
0.862205,1
0.994097,0
0.972762,0
0.975571,1
0.947068,0
0.908815,1
0.933787,1
0.890725,0
0.949865,1
0.83248,1
0.995232,0
0.934983,0
0.904532,1
0.960468,1
0.84172,1
0.778533,1
0.963572,0
0.956212,0
0.941214,0
0.917855,0
0.879469,1
0.921184,1
0.685764,1
0.960068,1
0.966634,0
0.981196,0
0.927438,1
0.96799,0
0.97422,1
0.984558,0
0.97422,0
0.813361,1
0.981624,0
0.970539,0
0.94319,1
0.847803,1
0.941288,1
0.950784,0
0.888487,0
0.978065,1
0.96072,0
0.964106,1
-1,0
0.920535,1
0.951403,0
0.71477,1
0.989327,0
0.982307,0
0.989327,0
0.960038,1
0.926454,0
0.955181,0
0.959872,1
0.916224,0
0.899736,1
0.940509,0
0.952343,0
0.936083,1
0.831235,1
0.935366,0
0.964663,0
0.962076,1
0.954174,1
0.938056,0
0.973887,0
0.959579,1
0.914667,1
0.966809,0
0.956101,1
0.961419,0
0.978657,0
0.914786,0
0.922646,1
0.806485,1
0.781381,1
0.954086,0
0.992971,0
0.972057,0
0.948171,1
0.930123,0
0.936003,0
0.91799,1
0.972057,0
0.969441,0
0.960356,0
0.973134,0
0.946404,0
0.934991,1
0.950934,1
0.956159,1
0.897091,0
0.990464,0
0.961651,1
0.922809,1
0.960324,1
0.90271,1
