@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P865.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.880066,1
0.975054,0
0.971355,1
0.983309,1
0.988005,1
0.955914,1
0.815619,0
0.563663,0
0.837881,1
0.992163,0
0.9487,1
0.945906,1
0.953279,0
0.910244,1
0.992717,0
0.995261,0
0.712814,1
0.894407,0
0.974684,0
0.914947,0
0.900562,0
0.989563,0
0.996828,0
0.996828,0
0.97975,0
0.958806,1
0.957392,1
0.947805,1
0.946199,1
0.930504,1
0.990479,1
0.951916,1
0.985441,0
0.976183,0
0.946776,1
0.962361,1
0.977492,1
0.995261,0
0.992163,0
0.814579,1
0.929149,1
0.860782,1
0.086413,1
0.89804,1
0.792579,0
0.98761,1
0.989563,0
0.976922,1
0.988005,0
0.916021,0
0.869687,1
0.978917,0
0.995261,0
0.943558,1
0.866448,1
0.95754,0
0.964544,0
0.975828,1
0.998408,0
0.986459,0
0.885202,1
0.979219,0
0.996828,0
0.970262,0
0.956663,1
0.978663,1
0.968814,0
0.935115,1
0.992717,0
0.988528,1
0.995261,0
0.935657,1
0.671185,0
0.953068,0
0.803255,1
0.979509,1
0.983947,1
0.975988,0
0.934872,1
0.90512,0
0.940587,1
0.986459,0
0.967027,1
0.87005,1
0.970282,0
0.94884,0
0.820649,1
0.995261,0
0.880016,0
0.944612,0
0.989563,0
0.917327,1
0.992717,0
0.935495,1
0.96028,1
0.813599,1
0.995261,0
0.992163,0
0.995261,0
0.980273,0
0.971986,1
0.989477,1
0.992717,0
0.992163,0
0.866053,0
0.991529,1
0.983405,0
0.988005,0
0.970909,0
0.965212,0
0.980354,1
0.975054,0
0.831179,1
0.959603,1
0.964537,0
0.836848,1
0.900036,0
0.989563,0
0.995146,1
0.877025,1
0.905845,0
0.94822,1
0.905928,0
0.927594,1
0.993706,1
0.960388,0
0.96482,1
0.976183,0
0.990633,1
0.977017,1
0.94062,1
0.981896,0
0.911565,0
0.967814,1
0.90216,1
0.897597,1
0.988005,1
0.945569,1
0.979219,1
0.96476,0
0.904309,1
0.922375,1
0.984926,0
0.992717,0
0.974756,1
0.965219,1
0.94916,0
0.92661,1
0.982305,0
0.894802,1
0.988005,0
0.964537,0
0.996828,0
0.968814,0
0.992717,0
0.95819,1
0.937372,1
0.989563,0
0.95456,1
0.988005,0
0.94916,0
0.977695,0
0.998408,0
0.911441,1
0.972477,0
0.932644,0
0.929099,1
0.914968,0
0.998408,0
0.954865,0
0.940895,0
0.952948,1
0.973198,0
0.990633,0
0.749098,1
0.971724,0
0.928606,1
0.888855,1
0.958268,1
0.92043,1
0.9804,1
0.99044,1
0.970262,0
0.94402,0
0.993044,1
0.951141,1
0.914083,1
0.968814,0
0.970262,0
0.95933,1
0.970561,1
0.737166,1
0.968858,1
0.989745,1
0.911862,0
0.899648,0
0.99028,1
0.883397,1
0.992147,1
0.958948,1
0.953182,1
0.869945,1
0.902818,1
0.864923,1
0.559543,1
0.984008,1
0.961118,1
0.992717,0
0.995261,0
0.984926,0
0.946433,1
0.983405,0
0.958472,1
0.991134,0
0.75124,1
0.949268,0
0.982409,1
0.983405,0
0.761531,1
0.907199,1
0.961646,0
0.940467,1
0.890373,1
0.953753,1
0.992717,0
0.956721,1
0.979128,1
0.921737,1
0.996828,0
0.995261,0
0.988987,1
0.932396,1
0.832241,1
0.958395,1
0.986459,1
0.959029,1
0.9456,1
0.991134,0
0.99218,1
0.961297,1
0.943106,1
0.97311,0
0.908766,0
0.97975,0
0.965246,0
0.944329,1
0.967378,1
0.918022,1
0.992163,0
0.935212,1
0.958366,1
0.924915,0
0.939607,1
0.922809,0
0.751161,1
0.974684,0
0.121756,1
0.993706,0
0.900562,0
0.89854,0
0.782025,1
0.953719,0
0.956403,0
0.970471,0
0.877534,1
0.952055,1
1,0
0.995261,0
0.939842,1
0.92728,1
0.967809,0
0.982305,0
0.956291,1
0.99115,1
0.952423,1
0.928711,0
0.983405,0
0.899143,1
0.979219,0
0.865283,1
0.973514,0
0.796736,1
0.904091,1
0.986456,1
0.980756,0
0.984926,0
0.950593,1
0.965218,1
0.94971,0
0.983867,0
0.992717,0
-0.354392,0
0.923276,0
0.958919,1
0.921005,1
0.880738,1
0.996828,0
0.960904,1
0.991134,0
0.946101,1
0.989448,1
0.934448,1
0.966733,1
0.990591,1
0.926811,1
0.968888,1
0.877816,1
0.981839,1
0.31841,1
0.989563,0
0.995261,0
0.959049,0
0.921855,0
0.906288,1
0.978339,1
0.977175,1
0.892929,0
0.929997,1
0.989563,0
0.954865,0
0.95969,1
0.993706,1
0.979219,0
0.961437,1
0.98317,0
0.985244,1
0.943122,0
0.951406,1
0.933362,0
0.947332,0
0.939607,0
0.972477,0
0.936577,1
0.905877,1
0.959029,1
0.817581,1
0.8693,1
0.898616,1
0.87295,0
0.983366,1
0.998408,0
0.968591,1
0.963529,1
0.933263,1
0.94402,0
0.9666,1
0.950506,1
0.837494,1
0.983405,0
0.954151,1
0.920585,0
0.939996,1
0.981715,0
0.964544,0
0.914541,0
0.941464,1
0.95032,1
0.986459,0
0.978742,1
0.935168,1
0.927307,1
0.928825,1
0.791982,1
0.986733,1
0.992027,1
0.957663,1
0.971986,1
0.929786,1
0.964994,1
0.959029,1
0.988331,1
0.854158,1
0.992163,0
0.951796,1
0.874711,1
0.904373,0
0.988005,0
0.9804,0
0.95668,1
0.989535,1
0.936103,1
0.953821,0
0.890372,1
0.971724,0
-0.187744,1
0.954085,1
0.981896,0
0.976331,1
0.968814,0
0.919383,0
0.964334,1
0.978172,0
0.91357,0
0.906298,1
0.761878,1
0.930559,1
0.887564,1
0.980009,1
0.940017,1
0.945904,0
0.892966,1
0.990633,0
0.870035,1
0.982174,1
0.966784,0
0.983405,0
0.974684,0
0.932626,1
0.392962,1
0.979219,0
0.891798,1
0.949657,1
-0.259497,1
0.996828,0
0.995261,0
0.960184,1
0.879798,1
0.976607,1
0.846285,1
0.988005,0
0.77583,1
0.832369,1
0.870297,1
0.860538,1
0.946659,0
0.980756,0
0.97975,0
0.677125,0
0.95754,0
0.98761,0
0.76575,1
0.992163,0
0.976183,0
0.940838,1
1,0
0.894098,1
0.911692,1
0.953821,0
0.951142,0
0.983867,0
0.960571,0
0.831647,1
0.988533,1
1,0
0.951929,0
0.995261,0
0.936358,1
0.912082,0
0.974684,0
0.834637,0
0.981594,1
0.874653,1
0.933362,0
0.779698,1
0.981896,0
0.832477,1
0.950701,0
0.952291,1
0.989554,1
0.905769,0
0.992717,0
0.94351,1
0.871942,0
0.956022,1
0.979219,0
0.838665,1
0.990633,0
0.99135,1
0.89706,1
0.989563,0
0.976145,1
0.990633,0
0.933601,0
0.945425,1
0.95398,1
0.987477,1
0.94884,1
0.944521,1
0.951827,0
0.976607,0
0.094386,1
0.923124,1
0.991134,0
0.974684,0
0.955463,1
0.983405,0
0.988005,0
0.893986,1
0.683497,0
0.98761,0
0.971905,1
0.849999,0
0.967479,0
0.9804,0
0.968817,1
0.906758,1
0.987524,1
0.97169,0
0.925361,0
0.998408,0
0.90958,1
0.967809,0
0.522839,1
0.973198,0
0.991134,0
0.996828,0
0.941699,1
0.964969,1
0.988005,0
0.804886,1
0.913398,0
0.987028,0
0.995261,0
0.865622,1
0.990633,0
0.970262,0
0.926238,0
0.98122,1
0.909549,1
0.992717,0
0.960216,1
0.94718,1
0.86318,1
0.991134,0
0.97663,1
0.996828,0
0.993173,1
0.94609,1
0.989563,0
0.983405,0
0.957739,1
0.911676,0
0.908828,0
0.910415,1
0.919754,0
0.956348,0
0.962601,1
0.980756,0
0.981896,0
0.993706,0
0.983405,1
0.945374,1
0.96028,0
0.902972,1
0.990731,1
0.918468,1
0.974684,0
0.991134,0
0.95754,0
0.941754,1
0.968969,0
0.897015,1
0.906562,1
0.953068,0
0.947373,1
0.88514,0
0.977045,1
0.972886,1
0.180696,1
0.698115,1
0.993706,1
0.951827,0
0.973198,0
0.937288,0
0.921798,1
0.891463,0
0.941351,0
0.992163,0
0.758411,1
0.859822,1
0.924497,1
0.992717,0
0.924805,0
0.964666,1
0.989563,0
0.989563,0
0.981896,0
0.989563,0
0.953676,1
0.89288,0
0.929245,1
0.967745,1
0.966511,1
0.973713,1
0.981356,1
0.987108,1
0.964537,0
0.942562,1
0.936742,0
0.770128,1
0.955363,1
0.942434,0
0.984329,1
0.989563,0
0.956523,1
0.975054,0
0.925525,0
0.978172,0
0.981896,0
0.818009,1
0.964928,1
0.967809,0
0.993706,0
0.911483,1
0.991134,1
0.90182,1
0.959638,1
0.845498,1
0.982305,0
0.675195,0
0.986459,0
0.993706,0
0.983405,1
0.979656,1
0.986459,0
0.971986,0
0.998408,0
0.960388,0
0.981619,1
0.934406,1
0.986509,1
0.862141,1
0.930882,1
0.987268,1
0.960443,1
0.988005,0
0.982163,1
0.989563,0
0.994045,1
0.968969,1
0.935131,0
0.94199,1
0.963652,0
0.996828,0
0.991375,1
0.90599,1
0.991805,1
0.955075,1
0.991134,0
0.929771,0
0.938332,0
0.905279,1
0.987028,0
0.888403,1
0.902814,1
0.986459,0
0.935871,1
0.967378,1
0.991301,1
0.989563,0
0.947023,1
0.976183,0
0.976387,1
0.571415,0
0.854399,1
0.978434,1
0.942153,1
0.998408,0
0.990633,0
0.98054,1
0.956403,0
0.998408,0
0.96869,1
0.980273,0
0.995261,0
0.945904,0
0.993706,0
0.988005,0
0.958403,1
0.985441,0
0.956874,1
0.960219,0
0.936258,1
0.983867,0
0.938609,1
0.949349,1
0.993706,1
0.988005,1
0.874293,0
0.959411,1
1,0
0.861708,1
0.741951,0
0.983405,0
0.968969,0
0.956846,1
0.996828,0
0.996828,0
0.948236,1
0.453667,1
0.942465,1
1,0
0.969634,1
0.996828,0
0.83336,1
0.906841,1
0.90869,0
0.959029,1
0.956337,1
0.946142,0
0.959029,1
0.993706,0
0.923982,1
0.993706,0
0.92261,1
0.937936,0
0.922809,0
0.977743,1
0.899427,0
0.939034,0
0.988005,0
0.959029,1
0.981896,0
0.940976,1
0.989563,0
0.980756,0
0.967727,1
0.961761,0
0.952906,1
0.962016,1
0.992717,0
0.989563,0
0.996828,0
0.966925,1
0.988005,1
0.946883,1
0.992163,0
0.886987,1
0.936329,1
0.955186,1
0.958195,1
0.989563,0
0.990633,0
-0.273353,1
0.978501,1
0.974684,0
0.9096,1
0.977472,1
0.936742,0
0.992393,1
0.908196,1
0.975988,0
0.973957,1
0.972477,0
0.625316,0
0.927217,1
0.9343,1
0.76554,1
0.996828,0
0.976564,1
0.957284,1
0.960475,1
0.944925,0
