@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.626656,0.976573,0.922809,0.927989,0.967932,0.621534,0.655669,0.621368,0.432412,0.937438,0
0.967174,0.939097,0.916509,0.689685,0.743441,0.964216,0.97026,0.964337,0.879087,0.712741,0
0.934954,0.990625,0.974684,0.952927,0.96793,0.933873,0.94008,0.934117,0.821343,0.98636,0
0.949433,0.99531,0.989563,0.950043,0.959912,0.948399,0.953384,0.94881,0.907236,0.997734,0
0.912391,0.99531,0.981896,0.963572,0.975947,0.911059,0.919228,0.911186,0.842063,0.987435,0
0.955804,0.957831,0.933184,0.942285,0.959912,0.955229,0.959617,0.955262,0.823909,0.956515,0
0.969205,0.999995,0.992163,0.981196,0.987974,0.968777,0.971601,0.968764,0.909483,0.990717,0
0.547539,0.985945,0.937936,0.891949,0.935863,0.540736,0.582413,0.54133,0.416087,0.959341,0
0.929181,0.990625,0.982305,0.982307,0.987974,0.928294,0.934769,0.928317,0.920817,0.996615,0
0.990331,0.99531,0.991134,0.994097,0.995991,0.99035,0.991129,0.990292,0.962803,0.998863,0
0.990331,0.99531,0.991134,0.994097,0.995991,0.99035,0.991129,0.990292,0.962803,0.998863,0
0.924917,0.948461,0.917286,0.929523,0.951894,0.9239,0.931222,0.923866,0.780799,0.938933,0
0.706306,0.967206,0.924915,0.875251,0.915819,0.70157,0.729291,0.702037,0.550998,0.932749,0
0.765248,0.99531,0.97311,0.952431,0.971938,0.761839,0.783447,0.761972,0.744724,0.981119,0
0.89796,0.99531,0.978917,0.961419,0.975947,0.896429,0.90592,0.896551,0.814216,0.985293,0
0.948471,0.99531,0.986459,0.981196,0.987974,0.947803,0.952521,0.94778,0.909483,0.990717,0
0.922493,0.99531,0.988005,0.982307,0.987974,0.921466,0.92856,0.921431,0.925625,0.991829,0
0.854194,0.995315,0.975988,0.921009,0.943881,0.851609,0.865514,0.852223,0.744418,0.98799,0
0.921049,0.99531,0.988005,0.96799,0.975947,0.919838,0.927215,0.920023,0.907166,0.996615,0
0.897432,0.990625,0.970262,0.97367,0.987974,0.896109,0.905486,0.896063,0.796838,0.983188,0
0.949914,0.99531,0.984926,0.970539,0.979956,0.949157,0.953842,0.949298,0.879087,0.994404,0
0.954588,0.981257,0.969353,0.966872,0.975948,0.953981,0.958276,0.954069,0.890876,0.98593,0
0.93784,0.990625,0.973198,0.961419,0.975947,0.936908,0.942749,0.937045,0.814216,0.985293,0
0.932114,0.995315,0.981896,0.963572,0.975951,0.931055,0.937421,0.931245,0.842063,0.992229,0
0.9465,0.990625,0.982305,0.982307,0.987974,0.945852,0.950743,0.945883,0.920817,0.996615,0
0.954244,0.99531,0.989563,0.973887,0.979956,0.953547,0.957836,0.95369,0.927851,0.997734,0
0.964394,0.999995,0.990633,0.980093,0.987974,0.963899,0.967164,0.963883,0.893353,0.989614,0
0.564598,0.967206,0.938727,0.842332,0.87974,0.557358,0.598367,0.558447,0.68536,0.94749,0
0.756065,0.990629,0.957682,0.921408,0.951898,0.752286,0.774998,0.752712,0.604184,0.974172,0
0.930624,0.99063,0.980756,0.957325,0.967934,0.929483,0.936084,0.929726,0.882361,0.990717,0
0.960499,0.99531,0.989563,0.969117,0.975947,0.959835,0.963601,0.960034,0.923466,0.997734,0
0.585879,0.939097,0.88514,0.909989,0.94789,0.580338,0.618374,0.580543,0.508963,0.948357,0
0.873733,0.929727,0.895899,0.897091,0.923837,0.871816,0.88417,0.871978,0.772541,0.9256,0
0.568069,0.976571,0.914968,0.86913,0.923834,0.561463,0.60149,0.562116,0.248887,0.941524,0
0.864205,0.939091,0.911862,0.838317,0.871719,0.861356,0.87532,0.861185,0.855443,0.83793,0
0.937887,0.99531,0.988005,0.972762,0.979956,0.936963,0.942749,0.9371,0.911586,0.996615,0
0.987789,0.981255,0.972477,0.959579,0.96793,0.987536,0.98891,0.987477,0.946676,0.964262,0
0.942513,0.97657,0.95754,0.967274,0.979956,0.941841,0.9472,0.94176,0.850174,0.971975,0
