@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-6,8-10'

@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.655669,0
0.97026,0
0.94008,0
0.953384,0
0.919228,0
0.959617,0
0.971601,0
0.582413,0
0.934769,0
0.991129,0
0.991129,0
0.931222,0
0.729291,0
0.783447,0
0.90592,0
0.952521,0
0.92856,0
0.865514,0
0.927215,0
0.905486,0
0.953842,0
0.958276,0
0.942749,0
0.937421,0
0.950743,0
0.957836,0
0.967164,0
0.598367,0
0.774998,0
0.936084,0
0.963601,0
0.618374,0
0.88417,0
0.60149,0
0.87532,0
0.942749,0
0.98891,0
0.9472,0
0.954286,0
0.946316,0
0.998669,0
0.909457,0
0.878408,0
0.931673,0
0.978694,0
0.991576,0
0.99956,0
0.781222,0
0.94009,0
0.93966,0
0.942312,0
0.939646,0
0.968485,0
0.998229,0
0.851355,0
0.953849,0
0.915672,0
0.982254,0
0.960058,0
0.87174,0
0.942319,0
0.541165,0
0.628548,0
0.950278,0
0.755013,0
0.940087,0
0.873989,0
0.535827,0
0.610414,0
0.67827,0
0.912579,0
0.942759,0
0.650315,0
0.953405,0
0.994672,0
0.781649,0
0.881946,0
0.641888,0
0.95828,0
0.82783,0
0.941865,0
0.702211,0
0.936528,0
0.654738,0
0.443567,0
0.315734,0
0.999113,0
0.903704,0
0.794555,0
0.714229,0
0.846907,0
0.937431,0
0.912125,0
0.745706,0
0.914788,0
0.848686,0
0.886846,0
0.652531,0
0.927659,0
0.96627,0
0.751927,0
0.905032,0
0.727081,0
0.854003,0
0.797179,0
0.995566,0
0.979585,0
0.72266,0
0.726654,0
0.832701,0
0.861975,0
0.37295,0
0.48876,0
0.547374,0
0.858408,0
0.763017,0
0.497222,0
0.612148,0
0.591726,0
0.494551,0
0.546917,0
0.068979,0
0.727105,0
0.846911,0
0.793186,0
0.878399,0
0.429368,0
0.882399,0
0.839329,0
0.937859,0
0.939193,0
0.940544,0
0.830944,0
0.78564,0
0.834916,0
0.791892,0
0.890851,0
0.96672,0
0.905032,0
0.960055,0
0.91435,0
0.925003,0
0.936554,0
0.87664,0
0.893062,0
0.926775,0
0.975592,0
0.930325,0
0.968039,0
0.968923,0
0.966273,0
0.991569,0
0.984463,0
0.988903,0
0.436399,0
0.854843,0
0.514058,0
0.240734,0
0.39338,0
0.833582,0
0.739946,0
0.646746,0
0.790994,0
0.823826,0
0.765695,0
0.482124,0
0.469261,0
0.458612,0
0.605936,0
0.889058,0
0.839804,0
0.864635,0
0.454184,0
0.771457,0
0.909427,0
0.871312,0
0.610804,0
0.879736,0
0.770561,0
0.635229,0
0.866875,0
0.622826,0
0.74485,0
0.862431,0
0.918335,0
-1,0
0.644982,0
0.917897,0
0.686249,0
0.915196,0
0.905464,0
0.861528,0
0.629478,0
0.912091,0
0.860192,0
0.842016,0
0.776754,0
0.893486,0
0.916108,0
0.065527,0
0.814058,0
0.778989,0
0.908135,0
0.910357,0
0.880627,0
0.932113,0
0.845551,0
0.818509,0
0.896595,0
0.847351,0
0.800306,0
0.723544,0
0.911691,0
0.799842,0
0.952058,0
0.889505,0
0.553576,0
0.761275,0
0.88729,0
0.868203,0
0.916079,0
0.566425,0
0.926766,0
0.956496,0
0.94053,0
0.731546,0
0.798075,0
0.792315,0
0.893483,0
0.910354,0
0.959608,0
0.724898,0
0.966258,0
0.905029,0
0.699117,0
0.822509,0
0.766582,0
0.833142,0
0.843335,0
0.709808,0
0.826042,0
0.873084,0
0.880612,0
0.748812,0
0.688053,0
0.951624,0
0.840691,0
0.838029,0
0.857106,0
0.832698,0
0.852219,0
0.951174,0
0.862871,0
0.863759,0
0.865978,0
0.928567,0
0.643204,0
0.882836,0
0.853095,0
0.883283,0
0.907238,0
0.919685,0
0.936537,0
0.958273,0
0.935216,0
0.918788,0
0.888164,0
0.889489,0
0.873521,0
0.867777,0
0.945862,0
0.84246,0
0.846894,0
0.893045,0
0.828704,0
0.897939,0
0.937428,0
0.944534,0
0.930786,0
0.896151,0
0.83137,0
0.934756,0
0.896172,0
0.739952,0
0.944948,0
0.853106,0
0.918338,0
0.952943,0
0.930772,0
0.945843,0
0.925,0
0.836239,0
0.910351,0
0.957833,0
0.919249,0
0.884608,0
0.956955,0
0.832681,0
0.935219,0
