@relation 'Ant17BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P420.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.967932,0
0.743441,0
0.96793,0
0.959912,0
0.975947,0
0.959912,0
0.987974,0
0.935863,0
0.987974,0
0.995991,0
0.995991,0
0.951894,0
0.915819,0
0.971938,0
0.975947,0
0.987974,0
0.987974,0
0.943881,0
0.975947,0
0.987974,0
0.979956,0
0.975948,0
0.975947,0
0.975951,0
0.987974,0
0.979956,0
0.987974,0
0.87974,0
0.951898,0
0.967934,0
0.975947,0
0.94789,0
0.923837,0
0.923834,0
0.871719,0
0.979956,0
0.96793,0
0.979956,0
0.963925,0
0.96793,0
0.947886,0
0.963925,0
0.979959,0
0.987974,0
0.983966,0
1,0
0.943877,0
0.963921,0
0.983965,0
0.995991,0
0.983965,0
0.983965,0
0.979956,0
0.987974,0
0.991982,0
0.96793,0
0.967934,0
0.995991,0
0.983969,0
0.955907,0
0.751454,0
0.967931,0
0.899784,0
0.959916,0
0.903793,0
0.979956,0
0.979956,0
0.94789,0
0.96793,0
0.959914,0
0.959913,0
0.991982,0
0.959912,0
0.979956,0
0.987974,0
0.943881,0
0.939872,0
0.94789,0
0.979956,0
0.983965,0
0.983965,0
0.927846,0
0.951899,0
0.939872,0
0.987974,0
0.94789,0
0.983965,0
0.983965,0
0.883745,0
0.675288,0
0.983965,0
0.93185,0
0.947888,0
0.939872,0
0.94789,0
0.96793,0
0.963921,0
0.951899,0
0.975951,0
0.959912,0
0.915819,0
0.979956,0
0.959914,0
0.955904,0
0.939872,0
0.963921,0
0.959913,0
0.943881,0
0.96793,0
0.951895,0
0.899784,0
0.903793,0
0.859696,0
0.963925,0
0.923833,0
0.935861,0
0.919825,0
0.931855,0
0.899784,0
0.927846,0
0.55102,0
0.871723,0
0.979959,0
0.987977,0
0.935863,0
0.959916,0
0.967932,0
0.967934,0
0.923837,0
0.967934,0
0.963925,0
0.39868,0
0.983965,0
0.93987,0
0.971942,0
0.987974,0
0.991982,0
0.731412,0
0.97996,0
0.975951,0
0.971938,0
0.983969,0
0.991982,0
0.987974,0
0.987974,0
0.979956,0
0.987978,0
0.975947,0
0.971938,0
0.971942,0
0.987975,0
0.991982,0
0.983966,0
0.987974,0
0.883749,0
0.811591,0
0.719386,0
0.895775,0
0.91181,0
0.262386,0
0.939872,0
0.927846,0
0.643222,0
0.819608,0
0.863705,0
0.895775,0
0.935863,0
0.939872,0
0.939872,0
0.971942,0
0.963925,0
0.955907,0
0.951899,0
0.919827,0
0.9078,0
0.94789,0
0.927845,0
0.851679,0
0.907798,0
0.951899,0
0.955903,0
0.939868,0
0.943878,0
0.959916,0
0.959914,0
0.97595,0
0.943878,0
